"Step","110-dynamic","110-dynamic - dead-1__MIN","110-dynamic - dead-1__MAX","110-ofb","110-ofbt - dead-1__MIN","110-ofbt - dead-1__MAX","110-static-1","110-static-1 - dead-1__MIN","110-static-1 - dead-1__MAX","110-every-100","110-every-100 - dead-1__MIN","110-every-100 - dead-1__MAX","110-every-10","110-every-10 - dead-1__MIN","110-every-10 - dead-1__MAX"
"40636","","","","","","","","","","","","","1","1","1"
"40642","","","","0","0","0","","","","0","0","0","","",""
"40645","","","","","","","0","0","0","","","","","",""
"40648","","","","","","","","","","","","","7","7","7"
"40651","","","","","","","1","1","1","","","","","",""
"40653","","","","","","","","","","","","","0","0","0"
"40654","","","","","","","","","","0","0","0","","",""
"40655","","","","0","0","0","","","","","","","","",""
"40660","","","","","","","","","","","","","5","5","5"
"40661","0","0","0","","","","","","","","","","","",""
"40665","0","0","0","","","","","","","","","","","",""
"40666","","","","","","","","","","0","0","0","","",""
"40674","0","0","0","","","","","","","","","","","",""
"40683","","","","0","0","0","","","","","","","","",""
"40684","0","0","0","0","0","0","","","","","","","","",""
"40686","0","0","0","","","","","","","","","","","",""
"40691","","","","0","0","0","","","","","","","","",""
"40692","0","0","0","","","","","","","","","","","",""
"40694","","","","","","","","","","0","0","0","","",""
"40701","0","0","0","0","0","0","","","","","","","","",""
"40712","","","","0","0","0","","","","","","","","",""
"40713","","","","","","","","","","0","0","0","","",""
"40714","","","","","","","0","0","0","","","","","",""
"40718","","","","","","","","","","0","0","0","","",""
"40721","","","","0","0","0","","","","","","","","",""
"40722","","","","","","","0","0","0","","","","","",""
"40723","0","0","0","","","","","","","0","0","0","","",""
"40726","","","","","","","","","","0","0","0","","",""
"40729","","","","","","","0","0","0","","","","","",""
"40730","","","","","","","0","0","0","","","","","",""
"40731","","","","","","","","","","0","0","0","","",""
"40734","","","","","","","1","1","1","","","","","",""
"40744","","","","0","0","0","","","","","","","","",""
"40746","","","","","","","","","","","","","0","0","0"
"40747","","","","","","","","","","","","","0","0","0"
"40750","0","0","0","","","","","","","","","","","",""
"40758","","","","","","","","","","","","","5","5","5"
"40759","","","","","","","","","","","","","8","8","8"
"40761","","","","","","","","","","0","0","0","","",""
"40764","","","","","","","","","","","","","0","0","0"
"40765","","","","","","","","","","","","","1","1","1"
"40780","","","","","","","","","","0","0","0","","",""
"40782","","","","","","","","","","","","","4","4","4"
"40786","","","","","","","1","1","1","","","","","",""
"40789","","","","0","0","0","","","","","","","","",""
"40797","","","","","","","","","","","","","2","2","2"
"40798","","","","","","","5","5","5","","","","","",""
"40807","","","","","","","","","","0","0","0","0","0","0"
"40808","","","","","","","","","","","","","3","3","3"
"40809","","","","0","0","0","","","","","","","","",""
"40815","","","","","","","","","","","","","4","4","4"
"40818","","","","","","","4","4","4","","","","","",""
"40825","","","","","","","","","","0","0","0","","",""
"40830","","","","","","","","","","0","0","0","","",""
"40832","0","0","0","","","","","","","","","","","",""
"40833","0","0","0","","","","","","","","","","","",""
"40843","","","","","","","","","","0","0","0","","",""
"40844","0","0","0","","","","","","","","","","","",""
"40850","0","0","0","","","","","","","","","","0","0","0"
"40855","","","","","","","","","","","","","3","3","3"
"40859","","","","0","0","0","","","","","","","","",""
"40860","","","","0","0","0","","","","","","","","",""
"40861","","","","","","","1","1","1","","","","","",""
"40864","","","","","","","","","","","","","3","3","3"
"40866","","","","","","","6","6","6","","","","","",""
"40869","","","","0","0","0","","","","","","","","",""
"40871","0","0","0","","","","","","","","","","","",""
"40874","","","","0","0","0","","","","","","","","",""
"40875","","","","","","","","","","","","","0","0","0"
"40880","","","","0","0","0","","","","","","","","",""
"40889","0","0","0","0","0","0","","","","","","","","",""
"40894","","","","","","","","","","","","","0","0","0"
"40895","","","","0","0","0","","","","","","","0","0","0"
"40898","0","0","0","","","","","","","","","","","",""
"40901","","","","","","","","","","","","","2","2","2"
"40905","","","","","","","8","8","8","","","","","",""
"40908","","","","0","0","0","","","","0","0","0","","",""
"40910","0","0","0","","","","","","","","","","","",""
"40912","","","","","","","","","","0","0","0","","",""
"40915","","","","","","","","","","","","","8","8","8"
"40918","","","","","","","","","","0","0","0","","",""
"40927","","","","","","","","","","","","","1","1","1"
"40929","","","","","","","0","0","0","","","","","",""
"40936","","","","","","","","","","","","","0","0","0"
"40937","","","","0","0","0","","","","0","0","0","","",""
"40938","","","","","","","0","0","0","","","","","",""
"40947","","","","","","","","","","","","","5","5","5"
"40952","","","","","","","0","0","0","","","","","",""
"40967","","","","","","","","","","0","0","0","","",""
"40971","","","","","","","","","","","","","5","5","5"
"40973","","","","","","","0","0","0","","","","","",""
"40979","0","0","0","","","","","","","","","","","",""
"40983","","","","","","","","","","0","0","0","","",""
"40986","0","0","0","","","","","","","0","0","0","","",""
"40988","0","0","0","","","","","","","","","","","",""
"40994","0","0","0","","","","","","","","","","","",""
"40998","","","","","","","","","","0","0","0","","",""
"40999","0","0","0","","","","","","","","","","6","6","6"
"41006","","","","0","0","0","","","","","","","","",""
"41007","0","0","0","","","","","","","","","","","",""
"41011","","","","","","","0","0","0","","","","","",""
"41012","","","","","","","","","","","","","0","0","0"
"41013","0","0","0","","","","","","","","","","","",""
"41016","","","","","","","0","0","0","","","","","",""
"41017","","","","","","","0","0","0","","","","","",""
"41020","","","","","","","","","","","","","6","6","6"
"41023","","","","","","","","","","","","","5","5","5"
"41027","","","","","","","","","","0","0","0","","",""
"41028","0","0","0","","","","","","","","","","","",""
"41031","0","0","0","0","0","0","","","","","","","","",""
"41034","","","","","","","0","0","0","","","","","",""
"41038","","","","","","","1","1","1","","","","","",""
"41041","","","","0","0","0","","","","","","","","",""
"41044","","","","","","","7","7","7","","","","","",""
"41046","","","","0","0","0","","","","0","0","0","","",""
"41047","","","","","","","","","","","","","2","2","2"
"41049","0","0","0","","","","","","","","","","","",""
"41052","","","","","","","","","","0","0","0","","",""
"41054","0","0","0","","","","","","","","","","","",""
"41058","","","","","","","","","","","","","0","0","0"
"41060","","","","","","","","","","0","0","0","","",""
"41065","","","","","","","","","","","","","0","0","0"
"41066","","","","0","0","0","","","","0","0","0","","",""
"41067","","","","","","","","","","","","","8","8","8"
"41068","","","","","","","","","","0","0","0","","",""
"41071","","","","","","","","","","0","0","0","","",""
"41073","0","0","0","0","0","0","","","","","","","0","0","0"
"41074","0","0","0","","","","","","","0","0","0","","",""
"41075","","","","","","","","","","0","0","0","","",""
"41085","","","","","","","","","","0","0","0","","",""
"41086","0","0","0","","","","3","3","3","","","","","",""
"41088","0","0","0","","","","","","","","","","","",""
"41094","","","","","","","","","","","","","2","2","2"
"41096","","","","0","0","0","","","","","","","","",""
"41097","","","","","","","0","0","0","","","","","",""
"41102","","","","0","0","0","","","","","","","","",""
"41106","0","0","0","","","","","","","","","","","",""
"41107","","","","","","","","","","","","","6","6","6"
"41110","0","0","0","","","","","","","","","","","",""
"41113","","","","","","","","","","0","0","0","","",""
"41117","0","0","0","","","","","","","","","","","",""
"41119","0","0","0","","","","","","","","","","","",""
"41120","","","","","","","0","0","0","","","","","",""
"41126","","","","","","","0","0","0","","","","","",""
"41127","","","","","","","","","","","","","3","3","3"
"41130","0","0","0","","","","","","","","","","","",""
"41131","","","","","","","","","","0","0","0","","",""
"41132","0","0","0","","","","","","","","","","","",""
"41136","","","","","","","0","0","0","","","","","",""
"41137","","","","","","","","","","0","0","0","","",""
"41138","","","","","","","0","0","0","","","","","",""
"41141","","","","0","0","0","","","","0","0","0","","",""
"41144","","","","","","","0","0","0","","","","","",""
"41148","","","","","","","","","","","","","6","6","6"
"41152","","","","","","","0","0","0","","","","9","9","9"
"41156","","","","0","0","0","","","","","","","","",""
"41157","","","","0","0","0","","","","","","","11","11","11"
"41164","","","","","","","","","","","","","9","9","9"
"41173","","","","","","","","","","0","0","0","","",""
"41178","","","","0","0","0","","","","","","","","",""
"41179","","","","0","0","0","","","","","","","","",""
"41180","0","0","0","","","","","","","","","","","",""
"41181","0","0","0","0","0","0","","","","","","","","",""
"41183","0","0","0","","","","","","","","","","","",""
"41186","0","0","0","","","","","","","","","","","",""
"41187","","","","0","0","0","","","","","","","","",""
"41188","0","0","0","","","","","","","","","","","",""
"41190","","","","","","","","","","","","","7","7","7"
"41196","","","","","","","","","","0","0","0","","",""
"41213","0","0","0","","","","","","","","","","","",""
"41216","","","","","","","3","3","3","","","","","",""
"41223","0","0","0","","","","","","","","","","","",""
"41224","0","0","0","","","","","","","","","","","",""
"41226","","","","","","","","","","","","","0","0","0"
"41227","","","","","","","","","","0","0","0","","",""
"41236","","","","","","","","","","","","","4","4","4"
"41237","","","","0","0","0","","","","","","","","",""
"41238","","","","","","","","","","","","","2","2","2"
"41248","","","","","","","0","0","0","","","","","",""
"41250","","","","","","","0","0","0","","","","","",""
"41251","","","","0","0","0","","","","","","","","",""
"41254","","","","","","","","","","","","","0","0","0"
"41257","","","","0","0","0","","","","","","","","",""
"41265","","","","0","0","0","","","","","","","","",""
"41269","","","","","","","","","","0","0","0","","",""
"41274","","","","","","","","","","0","0","0","","",""
"41276","","","","","","","1","1","1","0","0","0","","",""
"41278","","","","","","","2","2","2","0","0","0","","",""
"41288","","","","","","","","","","","","","7","7","7"
"41291","","","","","","","0","0","0","","","","1","1","1"
"41292","","","","","","","","","","","","","7","7","7"
"41294","","","","","","","","","","0","0","0","","",""
"41296","","","","0","0","0","","","","","","","","",""
"41297","","","","0","0","0","0","0","0","","","","","",""
"41300","","","","","","","","","","","","","0","0","0"
"41307","","","","0","0","0","","","","","","","","",""
"41309","","","","","","","","","","","","","8","8","8"
"41313","","","","","","","0","0","0","","","","2","2","2"
"41318","","","","","","","","","","0","0","0","","",""
"41319","","","","","","","","","","0","0","0","","",""
"41327","","","","0","0","0","","","","0","0","0","","",""
"41329","0","0","0","","","","","","","","","","","",""
"41330","","","","0","0","0","","","","","","","","",""
"41333","0","0","0","","","","1","1","1","","","","","",""
"41335","","","","","","","","","","0","0","0","","",""
"41336","","","","","","","3","3","3","","","","","",""
"41345","","","","","","","0","0","0","","","","","",""
"41347","0","0","0","","","","","","","","","","","",""
"41354","","","","","","","","","","","","","6","6","6"
"41357","0","0","0","","","","","","","","","","","",""
"41362","0","0","0","0","0","0","","","","","","","7","7","7"
"41364","0","0","0","","","","","","","","","","","",""
"41367","","","","","","","","","","","","","9","9","9"
"41368","","","","0","0","0","","","","","","","","",""
"41369","","","","0","0","0","","","","","","","","",""
"41371","","","","","","","1","1","1","","","","","",""
"41377","","","","","","","","","","0","0","0","","",""
"41382","","","","","","","","","","","","","5","5","5"
"41385","","","","","","","","","","0","0","0","","",""
"41389","","","","","","","","","","0","0","0","","",""
"41400","","","","0","0","0","","","","","","","","",""
"41403","","","","","","","6","6","6","","","","","",""
"41408","0","0","0","","","","","","","","","","","",""
"41413","0","0","0","","","","","","","","","","","",""
"41414","","","","","","","","","","0","0","0","","",""
"41415","","","","","","","","","","0","0","0","","",""
"41417","","","","","","","","","","","","","6","6","6"
"41421","0","0","0","0","0","0","","","","","","","","",""
"41422","","","","","","","","","","0","0","0","","",""
"41429","","","","","","","0","0","0","","","","","",""
"41431","0","0","0","","","","","","","","","","","",""
"41433","","","","","","","","","","","","","15","15","15"
"41438","","","","0","0","0","","","","","","","10","10","10"
"41441","","","","","","","","","","0","0","0","","",""
"41445","","","","","","","","","","0","0","0","","",""
"41451","","","","","","","","","","0","0","0","","",""
"41453","","","","","","","1","1","1","","","","","",""
"41457","","","","","","","","","","0","0","0","","",""
"41460","","","","0","0","0","","","","","","","","",""
"41462","","","","","","","8","8","8","","","","","",""
"41468","","","","","","","","","","0","0","0","","",""
"41471","","","","","","","","","","","","","5","5","5"
"41477","","","","","","","0","0","0","","","","","",""
"41478","","","","","","","0","0","0","","","","","",""
"41479","","","","0","0","0","","","","","","","","",""
"41480","0","0","0","","","","","","","","","","","",""
"41482","","","","","","","0","0","0","","","","","",""
"41484","","","","","","","4","4","4","","","","","",""
"41486","0","0","0","","","","","","","","","","","",""
"41489","0","0","0","","","","","","","","","","","",""
"41493","","","","0","0","0","","","","","","","","",""
"41500","","","","","","","","","","","","","1","1","1"
"41507","","","","0","0","0","","","","","","","","",""
"41512","","","","0","0","0","","","","","","","","",""
"41513","","","","0","0","0","","","","","","","","",""
"41515","","","","","","","","","","","","","6","6","6"
"41518","","","","0","0","0","","","","","","","","",""
"41526","","","","0","0","0","","","","","","","","",""
"41532","","","","","","","","","","","","","9","9","9"
"41539","","","","","","","","","","0","0","0","","",""
"41544","","","","0","0","0","","","","","","","","",""
"41549","","","","","","","0","0","0","","","","","",""
"41550","","","","","","","","","","","","","5","5","5"
"41553","0","0","0","","","","","","","","","","","",""
"41554","","","","","","","3","3","3","","","","2","2","2"
"41557","0","0","0","","","","","","","","","","","",""
"41572","","","","","","","","","","","","","6","6","6"
"41573","","","","","","","0","0","0","","","","","",""
"41576","","","","","","","0","0","0","","","","","",""
"41578","","","","","","","0","0","0","","","","","",""
"41584","","","","","","","","","","0","0","0","","",""
"41586","","","","0","0","0","","","","","","","","",""
"41590","","","","","","","","","","0","0","0","","",""
"41595","","","","0","0","0","","","","","","","","",""
"41596","","","","","","","","","","0","0","0","","",""
"41597","","","","","","","","","","","","","8","8","8"
"41602","0","0","0","","","","","","","","","","","",""
"41611","","","","","","","","","","0","0","0","","",""
"41614","0","0","0","","","","","","","","","","","",""
"41629","","","","0","0","0","7","7","7","","","","","",""
"41634","","","","0","0","0","","","","","","","","",""
"41636","","","","0","0","0","","","","","","","6","6","6"
"41644","","","","0","0","0","","","","","","","","",""
"41646","","","","0","0","0","","","","","","","","",""
"41653","","","","","","","","","","","","","0","0","0"
"41663","0","0","0","","","","","","","0","0","0","","",""
"41666","","","","","","","5","5","5","","","","","",""
"41668","0","0","0","","","","","","","","","","","",""
"41669","","","","0","0","0","1","1","1","","","","","",""
"41678","","","","","","","","","","0","0","0","","",""
"41680","","","","","","","4","4","4","","","","","",""
"41682","","","","","","","","","","","","","6","6","6"
"41684","","","","0","0","0","","","","","","","","",""
"41688","","","","","","","","","","","","","0","0","0"
"41690","","","","","","","","","","0","0","0","","",""
"41691","0","0","0","","","","3","3","3","","","","11","11","11"
"41692","","","","0","0","0","","","","","","","","",""
"41693","","","","","","","5","5","5","","","","","",""
"41694","0","0","0","","","","","","","","","","","",""
"41695","","","","","","","","","","0","0","0","","",""
"41698","0","0","0","","","","","","","","","","","",""
"41704","","","","","","","0","0","0","0","0","0","","",""
"41705","","","","0","0","0","","","","","","","","",""
"41708","","","","0","0","0","0","0","0","","","","","",""
"41718","","","","0","0","0","","","","","","","","",""
"41729","","","","0","0","0","","","","","","","","",""
"41735","0","0","0","","","","","","","","","","1","1","1"
"41738","0","0","0","","","","","","","","","","","",""
"41742","0","0","0","","","","","","","","","","","",""
"41744","","","","","","","5","5","5","","","","","",""
"41746","","","","","","","4","4","4","","","","0","0","0"
"41753","","","","","","","","","","","","","7","7","7"
"41754","0","0","0","","","","","","","","","","","",""
"41764","","","","","","","","","","0","0","0","4","4","4"
"41765","","","","0","0","0","","","","","","","","",""
"41773","","","","","","","","","","0","0","0","","",""
"41775","","","","","","","2","2","2","","","","","",""
"41781","","","","0","0","0","","","","","","","","",""
"41782","0","0","0","","","","","","","","","","","",""
"41786","","","","0","0","0","","","","","","","","",""
"41788","0","0","0","","","","","","","","","","","",""
"41792","","","","","","","","","","0","0","0","3","3","3"
"41793","0","0","0","","","","","","","","","","","",""
"41795","","","","0","0","0","","","","","","","","",""
"41798","","","","","","","","","","","","","3","3","3"
"41802","","","","","","","","","","0","0","0","","",""
"41807","","","","","","","","","","","","","7","7","7"
"41809","","","","","","","3","3","3","","","","","",""
"41810","","","","","","","0","0","0","","","","","",""
"41819","","","","0","0","0","","","","","","","","",""
"41827","0","0","0","","","","","","","","","","2","2","2"
"41835","0","0","0","0","0","0","","","","","","","","",""
"41838","","","","","","","","","","0","0","0","","",""
"41839","","","","","","","","","","0","0","0","","",""
"41844","","","","0","0","0","","","","","","","","",""
"41847","","","","","","","","","","","","","2","2","2"
"41848","","","","","","","0","0","0","","","","","",""
"41849","","","","","","","0","0","0","","","","","",""
"41856","0","0","0","","","","","","","","","","","",""
"41862","","","","","","","0","0","0","","","","","",""
"41864","","","","","","","","","","","","","2","2","2"
"41867","","","","","","","","","","","","","6","6","6"
"41875","","","","","","","","","","0","0","0","","",""
"41885","0","0","0","","","","","","","","","","","",""
"41888","","","","","","","","","","","","","2","2","2"
"41889","","","","","","","7","7","7","","","","","",""
"41891","","","","","","","","","","0","0","0","","",""
"41892","","","","","","","","","","","","","0","0","0"
"41897","","","","","","","","","","0","0","0","","",""
"41902","","","","","","","3","3","3","","","","","",""
"41904","0","0","0","","","","","","","","","","","",""
"41907","0","0","0","","","","","","","","","","","",""
"41911","0","0","0","","","","","","","","","","","",""
"41913","","","","","","","","","","0","0","0","","",""
"41914","0","0","0","","","","","","","","","","","",""
"41918","","","","","","","0","0","0","","","","","",""
"41924","0","0","0","","","","","","","","","","","",""
"41927","","","","","","","","","","0","0","0","","",""
"41934","","","","","","","","","","0","0","0","","",""
"41941","0","0","0","","","","0","0","0","","","","","",""
"41947","0","0","0","","","","","","","","","","","",""
"41948","","","","","","","2","2","2","","","","","",""
"41961","","","","0","0","0","","","","0","0","0","","",""
"41963","","","","0","0","0","","","","","","","","",""
"41967","0","0","0","","","","","","","0","0","0","","",""
"41978","","","","11","11","11","","","","","","","","",""
"41982","","","","","","","","","","0","0","0","","",""
"41985","","","","","","","","","","","","","0","0","0"
"41989","","","","11","11","11","","","","","","","","",""
"41991","","","","","","","","","","","","","0","0","0"
"41993","","","","","","","8","8","8","","","","","",""
"41999","","","","","","","11","11","11","","","","","",""
"42001","0","0","0","","","","","","","","","","0","0","0"
"42003","","","","","","","","","","0","0","0","0","0","0"
"42006","0","0","0","","","","","","","","","","","",""
"42013","0","0","0","","","","","","","","","","","",""
"42019","","","","","","","6","6","6","0","0","0","","",""
"42021","0","0","0","","","","","","","0","0","0","","",""
"42033","","","","0","0","0","","","","","","","","",""
"42036","","","","","","","","","","0","0","0","","",""
"42037","","","","","","","","","","","","","0","0","0"
"42040","","","","","","","","","","0","0","0","","",""
"42042","","","","5","5","5","","","","","","","","",""
"42056","","","","","","","6","6","6","","","","","",""
"42066","0","0","0","","","","","","","","","","","",""
"42076","","","","","","","4","4","4","","","","","",""
"42079","","","","","","","","","","0","0","0","","",""
"42081","","","","0","0","0","","","","","","","","",""
"42084","","","","","","","3","3","3","","","","","",""
"42087","","","","","","","2","2","2","","","","","",""
"42090","","","","","","","4","4","4","","","","","",""
"42097","0","0","0","","","","","","","","","","2","2","2"
"42103","","","","2","2","2","","","","","","","","",""
"42105","","","","1","1","1","","","","","","","","",""
"42106","0","0","0","","","","9","9","9","","","","7","7","7"
"42113","","","","","","","","","","","","","2","2","2"
"42121","0","0","0","","","","","","","","","","","",""
"42123","","","","","","","","","","0","0","0","","",""
"42131","0","0","0","","","","","","","","","","","",""
"42134","","","","","","","","","","","","","4","4","4"
"42139","0","0","0","","","","","","","","","","","",""
"42141","","","","","","","","","","","","","0","0","0"
"42143","","","","0","0","0","","","","","","","","",""
"42147","","","","0","0","0","","","","","","","","",""
"42156","0","0","0","","","","","","","","","","","",""
"42160","0","0","0","","","","","","","","","","","",""
"42161","","","","","","","8","8","8","","","","","",""
"42174","0","0","0","","","","","","","","","","","",""
"42175","","","","","","","9","9","9","","","","","",""
"42181","","","","","","","4","4","4","","","","","",""
"42183","0","0","0","","","","","","","","","","","",""
"42192","","","","","","","","","","0","0","0","","",""
"42195","","","","","","","","","","0","0","0","","",""
"42201","","","","0","0","0","","","","","","","","",""
"42205","0","0","0","","","","","","","","","","","",""
"42211","","","","","","","","","","","","","4","4","4"
"42214","0","0","0","","","","","","","","","","","",""
"42219","","","","","","","","","","0","0","0","","",""
"42227","","","","","","","","","","0","0","0","","",""
"42228","","","","","","","4","4","4","","","","","",""
"42230","","","","","","","","","","0","0","0","","",""
"42234","","","","","","","","","","","","","7","7","7"
"42235","","","","","","","7","7","7","","","","","",""
"42237","","","","0","0","0","","","","","","","","",""
"42240","0","0","0","","","","9","9","9","0","0","0","","",""
"42243","","","","","","","","","","","","","1","1","1"
"42248","","","","","","","","","","","","","4","4","4"
"42251","","","","","","","2","2","2","","","","","",""
"42255","","","","","","","","","","","","","4","4","4"
"42256","0","0","0","","","","","","","","","","","",""
"42257","0","0","0","","","","","","","","","","","",""
"42259","","","","","","","","","","0","0","0","","",""
"42268","0","0","0","","","","","","","","","","","",""
"42269","","","","","","","","","","0","0","0","","",""
"42279","","","","","","","","","","","","","6","6","6"
"42283","","","","","","","","","","","","","4","4","4"
"42288","0","0","0","","","","","","","","","","","",""
"42310","0","0","0","","","","","","","","","","","",""
"42317","","","","","","","","","","0","0","0","8","8","8"
"42321","0","0","0","","","","","","","0","0","0","","",""
"42333","","","","","","","8","8","8","","","","","",""
"42336","","","","0","0","0","","","","0","0","0","","",""
"42337","","","","","","","11","11","11","0","0","0","","",""
"42353","","","","0","0","0","","","","","","","","",""
"42354","","","","","","","13","13","13","","","","","",""
"42359","","","","","","","","","","","","","9","9","9"
"42360","0","0","0","0","0","0","","","","","","","","",""
"42364","0","0","0","","","","","","","","","","","",""
"42368","","","","","","","","","","","","","0","0","0"
"42372","","","","","","","8","8","8","","","","","",""
"42373","","","","","","","","","","0","0","0","0","0","0"
"42378","","","","","","","","","","0","0","0","","",""
"42381","","","","","","","3","3","3","","","","","",""
"42384","0","0","0","","","","","","","","","","","",""
"42387","0","0","0","","","","","","","","","","","",""
"42391","","","","0","0","0","","","","","","","","",""
"42398","","","","","","","","","","","","","9","9","9"
"42399","0","0","0","","","","","","","","","","","",""
"42405","","","","","","","11","11","11","","","","","",""
"42409","","","","","","","8","8","8","","","","","",""
"42410","0","0","0","","","","","","","","","","","",""
"42424","0","0","0","","","","4","4","4","","","","","",""
"42425","","","","","","","","","","","","","7","7","7"
"42430","","","","","","","","","","0","0","0","","",""
"42437","0","0","0","","","","","","","","","","","",""
"42443","","","","","","","","","","","","","4","4","4"
"42446","","","","","","","9","9","9","","","","","",""
"42448","","","","","","","5","5","5","","","","","",""
"42449","","","","0","0","0","","","","","","","","",""
"42452","","","","0","0","0","","","","","","","","",""
"42454","0","0","0","","","","","","","","","","","",""
"42455","","","","","","","","","","0","0","0","","",""
"42456","0","0","0","","","","","","","","","","","",""
"42458","","","","0","0","0","","","","","","","","",""
"42459","","","","0","0","0","","","","","","","","",""
"42462","","","","0","0","0","","","","0","0","0","","",""
"42463","","","","0","0","0","","","","","","","","",""
"42464","0","0","0","","","","","","","","","","","",""
"42469","","","","","","","","","","","","","9","9","9"
"42477","0","0","0","","","","","","","","","","","",""
"42480","","","","","","","13","13","13","0","0","0","","",""
"42482","0","0","0","","","","","","","","","","","",""
"42483","","","","0","0","0","","","","","","","","",""
"42488","","","","","","","","","","","","","7","7","7"
"42491","0","0","0","","","","","","","","","","","",""
"42492","","","","","","","","","","0","0","0","","",""
"42503","0","0","0","","","","","","","","","","","",""
"42514","","","","","","","5","5","5","","","","","",""
"42517","","","","","","","","","","0","0","0","","",""
"42525","","","","","","","","","","0","0","0","","",""
"42526","","","","","","","","","","","","","0","0","0"
"42530","","","","","","","","","","","","","5","5","5"
"42531","","","","","","","","","","","","","4","4","4"
"42535","0","0","0","0","0","0","","","","","","","0","0","0"
"42544","","","","","","","","","","0","0","0","","",""
"42545","","","","","","","","","","","","","5","5","5"
"42547","","","","0","0","0","","","","","","","4","4","4"
"42548","0","0","0","","","","","","","","","","","",""
"42550","","","","","","","","","","","","","7","7","7"
"42551","","","","","","","","","","0","0","0","","",""
"42552","","","","","","","","","","0","0","0","","",""
"42553","","","","","","","5","5","5","","","","","",""
"42577","","","","","","","","","","0","0","0","","",""
"42581","","","","","","","","","","0","0","0","","",""
"42584","0","0","0","","","","","","","","","","","",""
"42589","","","","","","","8","8","8","","","","","",""
"42590","","","","","","","10","10","10","","","","","",""
"42594","","","","","","","","","","","","","2","2","2"
"42597","0","0","0","","","","","","","","","","","",""
"42599","","","","","","","11","11","11","","","","","",""
"42604","","","","","","","","","","","","","1","1","1"
"42607","","","","","","","6","6","6","","","","","",""
"42608","","","","","","","","","","0","0","0","6","6","6"
"42614","","","","0","0","0","","","","","","","","",""
"42617","","","","0","0","0","","","","","","","","",""
"42618","0","0","0","","","","","","","","","","","",""
"42619","","","","0","0","0","","","","","","","","",""
"42620","0","0","0","","","","","","","","","","0","0","0"
"42622","","","","0","0","0","","","","","","","","",""
"42631","","","","0","0","0","","","","","","","","",""
"42632","","","","0","0","0","","","","","","","","",""
"42634","","","","","","","5","5","5","","","","","",""
"42635","","","","","","","4","4","4","","","","","",""
"42637","","","","","","","","","","","","","3","3","3"
"42638","","","","","","","","","","0","0","0","","",""
"42641","","","","","","","","","","0","0","0","","",""
"42646","","","","","","","10","10","10","","","","","",""
"42647","","","","","","","","","","","","","1","1","1"
"42649","","","","","","","9","9","9","","","","","",""
"42656","","","","","","","","","","0","0","0","5","5","5"
"42657","","","","","","","7","7","7","0","0","0","","",""
"42660","","","","0","0","0","","","","","","","","",""
"42661","","","","","","","","","","0","0","0","","",""
"42667","","","","","","","","","","0","0","0","","",""
"42670","","","","0","0","0","","","","","","","","",""
"42673","","","","0","0","0","","","","","","","5","5","5"
"42674","","","","","","","8","8","8","","","","4","4","4"
"42675","","","","","","","8","8","8","0","0","0","","",""
"42680","","","","","","","","","","","","","1","1","1"
"42683","","","","","","","","","","0","0","0","","",""
"42685","","","","","","","","","","","","","3","3","3"
"42687","","","","","","","","","","0","0","0","","",""
"42691","0","0","0","","","","","","","","","","","",""
"42695","0","0","0","0","0","0","","","","","","","","",""
"42700","","","","0","0","0","","","","","","","","",""
"42702","","","","","","","","","","","","","2","2","2"
"42703","","","","","","","","","","0","0","0","","",""
"42708","0","0","0","","","","","","","","","","","",""
"42709","","","","0","0","0","","","","","","","","",""
"42710","","","","","","","","","","0","0","0","","",""
"42715","","","","","","","7","7","7","","","","","",""
"42717","","","","","","","","","","","","","4","4","4"
"42719","","","","","","","8","8","8","","","","13","13","13"
"42721","","","","","","","11","11","11","","","","4","4","4"
"42722","","","","0","0","0","","","","","","","","",""
"42729","","","","","","","","","","","","","14","14","14"
"42730","0","0","0","","","","","","","","","","","",""
"42733","0","0","0","","","","","","","","","","","",""
"42734","","","","0","0","0","","","","","","","","",""
"42741","","","","","","","","","","0","0","0","","",""
"42742","0","0","0","","","","","","","","","","","",""
"42751","0","0","0","","","","","","","","","","","",""
"42752","","","","","","","5","5","5","","","","","",""
"42753","","","","","","","","","","0","0","0","","",""
"42754","","","","","","","","","","","","","4","4","4"
"42758","","","","0","0","0","","","","","","","","",""
"42765","","","","","","","5","5","5","","","","","",""
"42766","0","0","0","","","","","","","","","","","",""
"42768","","","","","","","","","","","","","4","4","4"
"42773","0","0","0","","","","","","","0","0","0","","",""
"42775","","","","","","","","","","0","0","0","","",""
"42778","","","","0","0","0","","","","","","","","",""
"42782","","","","","","","","","","","","","0","0","0"
"42789","","","","","","","5","5","5","","","","","",""
"42791","0","0","0","","","","","","","","","","","",""
"42796","0","0","0","","","","","","","","","","","",""
"42799","0","0","0","","","","","","","","","","","",""
"42801","0","0","0","","","","","","","0","0","0","","",""
"42806","0","0","0","","","","","","","","","","","",""
"42810","","","","","","","","","","","","","2","2","2"
"42811","0","0","0","","","","","","","","","","","",""
"42820","","","","0","0","0","","","","","","","","",""
"42823","","","","0","0","0","","","","","","","","",""
"42830","","","","","","","11","11","11","","","","","",""
"42838","0","0","0","","","","","","","","","","","",""
"42840","","","","","","","6","6","6","","","","","",""
"42841","","","","0","0","0","","","","","","","","",""
"42842","0","0","0","","","","","","","0","0","0","","",""
