"Step","110-dynamic","110-dynamic - dead-1__MIN","110-dynamic - dead-1__MAX","110-ofb","110-ofbt - dead-1__MIN","110-ofbt - dead-1__MAX","110-static-1","110-static-1 - dead-1__MIN","110-static-1 - dead-1__MAX","110-every-100","110-every-100 - dead-1__MIN","110-every-100 - dead-1__MAX","110-every-10","110-every-10 - dead-1__MIN","110-every-10 - dead-1__MAX"
"431","0","0","0","","","","","","","","","","","",""
"441","","","","","","","3","3","3","","","","","",""
"442","0","0","0","","","","","","","","","","","",""
"444","","","","0","0","0","","","","","","","","",""
"445","","","","","","","","","","0","0","0","","",""
"446","","","","0","0","0","","","","0","0","0","","",""
"448","","","","","","","0","0","0","1","1","1","","",""
"451","","","","","","","","","","","","","0","0","0"
"452","","","","0","0","0","","","","","","","","",""
"454","0","0","0","","","","","","","","","","","",""
"455","","","","","","","","","","1","1","1","","",""
"457","","","","","","","","","","","","","0","0","0"
"464","","","","","","","3","3","3","","","","1","1","1"
"469","","","","","","","0","0","0","","","","","",""
"485","","","","0","0","0","","","","","","","","",""
"489","","","","","","","","","","","","","0","0","0"
"494","","","","","","","0","0","0","","","","","",""
"495","0","0","0","","","","","","","","","","","",""
"503","","","","","","","","","","","","","0","0","0"
"505","","","","0","0","0","","","","","","","","",""
"506","","","","0","0","0","","","","","","","0","0","0"
"510","","","","","","","","","","0","0","0","","",""
"515","","","","","","","0","0","0","","","","","",""
"518","","","","","","","","","","0","0","0","","",""
"519","","","","","","","","","","0","0","0","0","0","0"
"521","","","","0","0","0","","","","","","","","",""
"522","","","","","","","","","","","","","0","0","0"
"523","","","","","","","","","","0","0","0","","",""
"526","","","","","","","","","","0","0","0","","",""
"530","","","","","","","","","","","","","0","0","0"
"531","","","","","","","0","0","0","","","","","",""
"534","","","","","","","0","0","0","0","0","0","","",""
"535","","","","0","0","0","","","","","","","","",""
"540","0","0","0","","","","","","","","","","","",""
"543","0","0","0","","","","","","","","","","","",""
"544","","","","","","","","","","","","","0","0","0"
"546","","","","","","","0","0","0","","","","","",""
"549","","","","0","0","0","","","","0","0","0","","",""
"551","","","","","","","","","","0","0","0","","",""
"552","0","0","0","","","","0","0","0","","","","","",""
"555","","","","","","","","","","0","0","0","","",""
"562","0","0","0","","","","","","","","","","","",""
