"Step","110-dynamic","110-dynamic - drop-0__MIN","110-dynamic - drop-0__MAX","110-ofb","110-ofbt - drop-0__MIN","110-ofbt - drop-0__MAX","110-static-1","110-static-1 - drop-0__MIN","110-static-1 - drop-0__MAX","110-every-100","110-every-100 - drop-0__MIN","110-every-100 - drop-0__MAX","110-every-10","110-every-10 - drop-0__MIN","110-every-10 - drop-0__MAX"
"436","","","","0","0","0","","","","","","","","",""
"442","","","","","","","","","","0","0","0","","",""
"444","","","","0","0","0","0","0","0","","","","","",""
"447","","","","","","","0","0","0","","","","","",""
"448","","","","","","","0","0","0","","","","","",""
"458","","","","","","","0","0","0","","","","","",""
"460","","","","","","","","","","0","0","0","","",""
"462","","","","0","0","0","","","","","","","","",""
"463","","","","","","","","","","0","0","0","","",""
"466","","","","0","0","0","","","","","","","","",""
"469","0","0","0","0","0","0","","","","","","","","",""
"472","","","","0","0","0","","","","","","","","",""
"477","0","0","0","","","","0","0","0","","","","","",""
"480","","","","","","","","","","","","","0","0","0"
"482","","","","","","","","","","0","0","0","","",""
"489","","","","","","","0","0","0","","","","","",""
"495","","","","","","","0","0","0","","","","","",""
"499","0","0","0","","","","","","","","","","","",""
"501","","","","","","","","","","0","0","0","","",""
"514","","","","","","","","","","","","","0","0","0"
"516","","","","","","","","","","0","0","0","","",""
"521","","","","0","0","0","","","","","","","","",""
"533","","","","","","","","","","","","","0","0","0"
"534","","","","","","","0","0","0","","","","","",""
"535","0","0","0","","","","","","","","","","","",""
"538","","","","0","0","0","","","","","","","","",""
"546","","","","","","","0","0","0","","","","","",""
"549","","","","","","","","","","","","","0","0","0"
"555","0","0","0","","","","","","","","","","","",""
"571","","","","","","","0","0","0","","","","","",""
"584","","","","","","","","","","0","0","0","","",""
"595","","","","0","0","0","","","","","","","","",""
"598","","","","","","","","","","","","","0","0","0"
"602","","","","0","0","0","","","","","","","","",""
"606","","","","0","0","0","","","","","","","","",""
"612","","","","","","","0","0","0","","","","","",""
"613","","","","","","","","","","","","","0","0","0"
"621","","","","","","","0","0","0","","","","","",""
"622","","","","","","","0","0","0","","","","","",""
"627","","","","","","","0","0","0","","","","","",""
"630","","","","","","","0","0","0","","","","","",""
"632","","","","","","","","","","0","0","0","","",""
"636","","","","","","","","","","0","0","0","","",""
"637","0","0","0","","","","","","","0","0","0","0","0","0"
"639","","","","","","","0","0","0","","","","","",""
