"Step","110-dynamic","110-dynamic - latency-1__MIN","110-dynamic - latency-1__MAX","110-ofb","110-ofbt - latency-1__MIN","110-ofbt - latency-1__MAX","110-static-1","110-static-1 - latency-1__MIN","110-static-1 - latency-1__MAX","110-every-100","110-every-100 - latency-1__MIN","110-every-100 - latency-1__MAX","110-every-10","110-every-10 - latency-1__MIN","110-every-10 - latency-1__MAX"
"21370","","","","9.666666666666666","9.666666666666666","9.666666666666666","","","","","","","","",""
"21374","","","","","","","64.53846153846153","64.53846153846153","64.53846153846153","","","","","",""
"21379","","","","","","","","","","7.4","7.4","7.4","","",""
"21384","70","70","70","","","","","","","","","","","",""
"21389","","","","","","","59","59","59","","","","","",""
"21396","","","","","","","","","","7.571428571428571","7.571428571428571","7.571428571428571","","",""
"21397","","","","0","0","0","","","","7.75","7.75","7.75","","",""
"21402","70","70","70","","","","","","","","","","","",""
"21406","","","","","","","56","56","56","","","","","",""
"21408","69.875","69.875","69.875","","","","","","","","","","","",""
"21410","70","70","70","","","","","","","","","","","",""
"21417","69.55555555555556","69.55555555555556","69.55555555555556","","","","","","","","","","","",""
"21422","","","","","","","55.111111111111114","55.111111111111114","55.111111111111114","","","","","",""
"21423","","","","","","","","","","10.444444444444445","10.444444444444445","10.444444444444445","70","70","70"
"21427","","","","","","","56","56","56","","","","","",""
"21428","","","","3","3","3","","","","","","","","",""
"21429","68.66666666666667","68.66666666666667","68.66666666666667","","","","","","","","","","","",""
"21431","68.625","68.625","68.625","","","","","","","","","","","",""
"21433","","","","4.5","4.5","4.5","","","","","","","","",""
"21435","","","","","","","","","","11.666666666666666","11.666666666666666","11.666666666666666","","",""
"21453","","","","","","","","","","","","","70","70","70"
"21456","68.5","68.5","68.5","","","","","","","","","","","",""
"21459","68.66666666666667","68.66666666666667","68.66666666666667","","","","","","","","","","","",""
"21462","","","","","","","","","","","","","70","70","70"
"21467","68.75","68.75","68.75","","","","","","","","","","","",""
"21469","","","","","","","","","","14.333333333333334","14.333333333333334","14.333333333333334","","",""
"21473","","","","","","","70","70","70","","","","","",""
"21478","","","","","","","70","70","70","","","","","",""
"21480","","","","","","","","","","13","13","13","","",""
"21481","","","","","","","","","","","","","0","0","0"
"21483","70","70","70","","","","","","","","","","","",""
"21485","","","","","","","","","","","","","70","70","70"
"21488","","","","","","","","","","13","13","13","","",""
"21490","","","","0.8","0.8","0.8","","","","","","","","",""
"21494","","","","","","","70","70","70","","","","","",""
"21496","","","","","","","70","70","70","","","","","",""
"21499","","","","","","","70","70","70","","","","","",""
"21500","69.88888888888889","69.88888888888889","69.88888888888889","","","","","","","","","","","",""
"21501","","","","","","","","","","","","","70","70","70"
"21515","67.81818181818181","67.81818181818181","67.81818181818181","","","","","","","","","","","",""
"21517","67.55555555555556","67.55555555555556","67.55555555555556","","","","","","","","","","","",""
"21521","","","","","","","","","","11.181818181818182","11.181818181818182","11.181818181818182","","",""
"21526","68","68","68","","","","","","","","","","","",""
"21527","","","","","","","","","","","","","70","70","70"
"21535","68.44444444444444","68.44444444444444","68.44444444444444","","","","","","","","","","","",""
"21536","","","","","","","","","","","","","70","70","70"
"21539","","","","","","","69","69","69","","","","","",""
"21568","62.666666666666664","62.666666666666664","62.666666666666664","","","","","","","","","","","",""
"21569","","","","","","","","","","7.777777777777778","7.777777777777778","7.777777777777778","","",""
"21576","","","","","","","","","","","","","0","0","0"
"21581","63","63","63","3","3","3","","","","","","","0","0","0"
"21582","","","","","","","","","","","","","0","0","0"
"21583","","","","","","","","","","6.7","6.7","6.7","","",""
"21587","","","","","","","","","","","","","0","0","0"
"21594","","","","","","","62.6","62.6","62.6","","","","","",""
"21596","","","","","","","","","","","","","0","0","0"
"21597","","","","","","","61.77777777777778","61.77777777777778","61.77777777777778","","","","","",""
"21601","","","","","","","","","","8.4","8.4","8.4","","",""
"21604","","","","","","","","","","8.88888888888889","8.88888888888889","8.88888888888889","","",""
"21615","","","","","","","","","","","","","0","0","0"
"21619","","","","","","","","","","8.333333333333334","8.333333333333334","8.333333333333334","","",""
"21623","","","","","","","","","","8.5","8.5","8.5","","",""
"21624","","","","","","","60","60","60","","","","","",""
"21628","","","","","","","","","","","","","0","0","0"
"21629","","","","","","","58.61538461538461","58.61538461538461","58.61538461538461","","","","","",""
"21636","","","","","","","","","","","","","0","0","0"
"21637","","","","","","","57","57","57","6.5","6.5","6.5","","",""
"21638","","","","","","","","","","6.25","6.25","6.25","0","0","0"
"21641","","","","11.5","11.5","11.5","","","","","","","","",""
"21647","","","","","","","57.111111111111114","57.111111111111114","57.111111111111114","","","","","",""
"21650","69.42857142857143","69.42857142857143","69.42857142857143","","","","","","","","","","","",""
"21655","","","","","","","55.375","55.375","55.375","","","","","",""
"21656","","","","","","","55.44444444444444","55.44444444444444","55.44444444444444","","","","","",""
"21658","","","","9","9","9","","","","","","","","",""
"21662","","","","","","","","","","","","","70","70","70"
"21663","","","","","","","","","","5.333333333333333","5.333333333333333","5.333333333333333","70","70","70"
"21664","","","","12","12","12","","","","","","","","",""
"21665","","","","","","","55","55","55","","","","","",""
"21671","70","70","70","","","","","","","","","","","",""
"21672","70","70","70","","","","","","","","","","","",""
"21683","","","","","","","54","54","54","","","","","",""
"21686","69.75","69.75","69.75","","","","","","","","","","","",""
"21692","70","70","70","","","","","","","","","","","",""
"21693","","","","17.428571428571427","17.428571428571427","17.428571428571427","","","","","","","","",""
"21695","70","70","70","","","","","","","","","","","",""
"21697","69.66666666666667","69.66666666666667","69.66666666666667","","","","","","","","","","70","70","70"
"21698","","","","16.25","16.25","16.25","","","","","","","","",""
"21699","","","","","","","","","","","","","0","0","0"
"21700","","","","","","","56","56","56","","","","","",""
"21702","","","","","","","57","57","57","8","8","8","","",""
"21703","","","","","","","","","","","","","70","70","70"
"21710","","","","","","","","","","","","","70","70","70"
"21714","","","","","","","","","","","","","70","70","70"
"21721","","","","","","","","","","","","","70","70","70"
"21722","","","","16.22222222222222","16.22222222222222","16.22222222222222","","","","7.222222222222222","7.222222222222222","7.222222222222222","","",""
"21732","70","70","70","","","","","","","","","","","",""
"21735","","","","","","","","","","5.375","5.375","5.375","","",""
"21736","","","","17","17","17","","","","","","","","",""
"21744","","","","","","","65.5","65.5","65.5","","","","","",""
"21745","","","","13.7","13.7","13.7","","","","","","","","",""
"21749","","","","13.777777777777779","13.777777777777779","13.777777777777779","","","","","","","","",""
"21750","","","","","","","65.8","65.8","65.8","","","","","",""
"21752","","","","","","","64.45454545454545","64.45454545454545","64.45454545454545","","","","","",""
"21755","","","","","","","","","","","","","70","70","70"
"21756","","","","","","","","","","2.5","2.5","2.5","","",""
"21760","","","","","","","61.46153846153846","61.46153846153846","61.46153846153846","","","","","",""
"21761","","","","","","","61.583333333333336","61.583333333333336","61.583333333333336","2.625","2.625","2.625","","",""
"21762","","","","13.625","13.625","13.625","","","","","","","","",""
"21767","","","","","","","","","","","","","70","70","70"
"21768","","","","13.142857142857142","13.142857142857142","13.142857142857142","","","","","","","","",""
"21775","70","70","70","","","","","","","","","","","",""
"21777","","","","14.25","14.25","14.25","","","","3.6","3.6","3.6","","",""
"21778","","","","14.11111111111111","14.11111111111111","14.11111111111111","","","","","","","","",""
"21781","","","","","","","","","","4.090909090909091","4.090909090909091","4.090909090909091","70","70","70"
"21782","70","70","70","","","","","","","","","","","",""
"21783","","","","","","","","","","3.4444444444444446","3.4444444444444446","3.4444444444444446","","",""
"21785","70","70","70","","","","","","","","","","","",""
"21787","","","","14.714285714285714","14.714285714285714","14.714285714285714","58.54545454545455","58.54545454545455","58.54545454545455","","","","","",""
"21790","","","","","","","","","","3.9","3.9","3.9","70","70","70"
"21796","","","","","","","","","","","","","70","70","70"
"21797","","","","14.777777777777779","14.777777777777779","14.777777777777779","","","","","","","","",""
"21803","70","70","70","","","","","","","","","","70","70","70"
"21805","","","","","","","57.77777777777778","57.77777777777778","57.77777777777778","","","","","",""
"21806","","","","14.11111111111111","14.11111111111111","14.11111111111111","","","","","","","","",""
"21813","","","","","","","57.22222222222222","57.22222222222222","57.22222222222222","","","","","",""
"21814","","","","15.222222222222221","15.222222222222221","15.222222222222221","","","","","","","","",""
"21817","","","","14.777777777777779","14.777777777777779","14.777777777777779","","","","","","","","",""
"21821","66.58333333333333","66.58333333333333","66.58333333333333","","","","","","","","","","","",""
"21824","66","66","66","","","","","","","","","","","",""
"21825","","","","","","","","","","","","","70","70","70"
"21827","","","","","","","","","","","","","70","70","70"
"21828","66.66666666666667","66.66666666666667","66.66666666666667","","","","","","","","","","","",""
"21831","","","","","","","56.77777777777778","56.77777777777778","56.77777777777778","","","","","",""
"21832","","","","","","","","","","","","","70","70","70"
"21833","","","","","","","","","","5.666666666666667","5.666666666666667","5.666666666666667","","",""
"21834","67","67","67","","","","","","","","","","","",""
"21841","","","","","","","","","","4.888888888888889","4.888888888888889","4.888888888888889","","",""
"21845","","","","","","","56.666666666666664","56.666666666666664","56.666666666666664","","","","","",""
"21848","","","","","","","56.857142857142854","56.857142857142854","56.857142857142854","","","","70","70","70"
"21850","","","","18.714285714285715","18.714285714285715","18.714285714285715","","","","","","","","",""
"21857","69.44444444444444","69.44444444444444","69.44444444444444","","","","","","","","","","","",""
"21858","","","","","","","57.44444444444444","57.44444444444444","57.44444444444444","","","","","",""
"21860","","","","18.625","18.625","18.625","","","","","","","","",""
"21862","67.3076923076923","67.3076923076923","67.3076923076923","","","","","","","","","","","",""
"21868","66.33333333333333","66.33333333333333","66.33333333333333","","","","","","","","","","70","70","70"
"21871","","","","20.125","20.125","20.125","","","","","","","","",""
"21882","","","","","","","57.77777777777778","57.77777777777778","57.77777777777778","","","","70","70","70"
"21885","","","","","","","","","","","","","70","70","70"
"21886","","","","","","","57.77777777777778","57.77777777777778","57.77777777777778","","","","70","70","70"
"21905","","","","","","","55.22222222222222","55.22222222222222","55.22222222222222","2","2","2","","",""
"21922","69.375","69.375","69.375","","","","","","","","","","","",""
"21928","","","","24.875","24.875","24.875","","","","","","","","",""
"21935","","","","","","","","","","5","5","5","","",""
"21936","","","","","","","51.666666666666664","51.666666666666664","51.666666666666664","","","","","",""
"21937","","","","","","","","","","6","6","6","","",""
"21945","","","","","","","","","","","","","70","70","70"
"21953","70","70","70","","","","","","","","","","","",""
"21956","70","70","70","","","","","","","","","","70","70","70"
"21957","70","70","70","","","","","","","","","","","",""
"21959","69.66666666666667","69.66666666666667","69.66666666666667","","","","","","","","","","","",""
"21960","69.625","69.625","69.625","","","","","","","","","","","",""
"21962","69.66666666666667","69.66666666666667","69.66666666666667","","","","","","","","","","70","70","70"
"21963","","","","24.5","24.5","24.5","","","","9.222222222222221","9.222222222222221","9.222222222222221","","",""
"21966","","","","24.88888888888889","24.88888888888889","24.88888888888889","","","","","","","","",""
"21970","","","","24.875","24.875","24.875","","","","9.222222222222221","9.222222222222221","9.222222222222221","","",""
"21973","67.66666666666667","67.66666666666667","67.66666666666667","","","","","","","","","","","",""
"21974","67.625","67.625","67.625","","","","","","","","","","","",""
"21975","","","","","","","50.857142857142854","50.857142857142854","50.857142857142854","","","","","",""
"21978","","","","","","","","","","9.222222222222221","9.222222222222221","9.222222222222221","","",""
"21980","","","","25.7","25.7","25.7","","","","","","","","",""
"21990","","","","","","","","","","","","","70","70","70"
"21993","","","","","","","52","52","52","","","","","",""
"21998","","","","29","29","29","","","","8.7","8.7","8.7","","",""
"22000","","","","","","","54","54","54","","","","","",""
"22006","70","70","70","","","","","","","","","","","",""
"22013","","","","","","","53.4","53.4","53.4","","","","","",""
"22020","","","","29.727272727272727","29.727272727272727","29.727272727272727","","","","","","","","",""
"22025","","","","29.545454545454547","29.545454545454547","29.545454545454547","","","","","","","","",""
"22031","","","","","","","","","","","","","0","0","0"
"22040","","","","27.11111111111111","27.11111111111111","27.11111111111111","","","","","","","","",""
"22044","","","","28","28","28","","","","","","","","",""
"22049","","","","29","29","29","","","","","","","","",""
"22054","","","","","","","","","","","","","70","70","70"
"22060","","","","","","","64","64","64","","","","","",""
"22070","","","","31.833333333333332","31.833333333333332","31.833333333333332","","","","","","","","",""
"22071","70","70","70","","","","","","","","","","","",""
"22072","69.75","69.75","69.75","","","","","","","","","","","",""
"22086","","","","","","","","","","11","11","11","","",""
"22087","","","","","","","","","","11","11","11","","",""
"22088","","","","","","","70","70","70","","","","","",""
"22090","","","","","","","","","","","","","70","70","70"
"22095","","","","34.57142857142857","34.57142857142857","34.57142857142857","","","","","","","","",""
"22101","","","","","","","70","70","70","","","","","",""
"22103","","","","","","","","","","11.222222222222221","11.222222222222221","11.222222222222221","","",""
"22106","","","","36.22222222222222","36.22222222222222","36.22222222222222","","","","","","","","",""
"22117","","","","","","","70","70","70","","","","","",""
"22119","","","","","","","","","","10.88888888888889","10.88888888888889","10.88888888888889","","",""
"22124","","","","","","","","","","","","","70","70","70"
"22125","","","","39.75","39.75","39.75","","","","","","","","",""
"22126","","","","","","","70","70","70","","","","","",""
"22127","69.5","69.5","69.5","","","","","","","9","9","9","","",""
"22132","","","","","","","69.88888888888889","69.88888888888889","69.88888888888889","","","","","",""
"22133","","","","","","","69.7","69.7","69.7","","","","","",""
"22135","","","","","","","","","","10.222222222222221","10.222222222222221","10.222222222222221","","",""
"22138","","","","42.333333333333336","42.333333333333336","42.333333333333336","","","","","","","","",""
"22146","","","","","","","68.1","68.1","68.1","","","","","",""
"22151","","","","","","","","","","","","","69.8","69.8","69.8"
"22153","","","","42.166666666666664","42.166666666666664","42.166666666666664","","","","","","","","",""
"22155","","","","43","43","43","","","","","","","","",""
"22161","","","","","","","","","","","","","69.15384615384616","69.15384615384616","69.15384615384616"
"22162","","","","44.5","44.5","44.5","","","","9.3","9.3","9.3","","",""
"22165","","","","","","","","","","9.2","9.2","9.2","","",""
"22169","","","","","","","","","","8.444444444444445","8.444444444444445","8.444444444444445","","",""
"22180","70","70","70","","","","","","","","","","","",""
"22187","","","","46","46","46","","","","","","","","",""
"22189","70","70","70","","","","","","","","","","","",""
"22194","","","","","","","69.625","69.625","69.625","","","","","",""
"22199","","","","","","","","","","0","0","0","","",""
"22202","69.5","69.5","69.5","","","","","","","","","","","",""
"22208","","","","","","","68.55555555555556","68.55555555555556","68.55555555555556","","","","","",""
"22212","","","","","","","67.7","67.7","67.7","","","","","",""
"22214","","","","","","","","","","7.777777777777778","7.777777777777778","7.777777777777778","","",""
"22215","69.875","69.875","69.875","","","","67.18181818181819","67.18181818181819","67.18181818181819","","","","","",""
"22225","","","","","","","","","","","","","69.57142857142857","69.57142857142857","69.57142857142857"
"22226","","","","39.72727272727273","39.72727272727273","39.72727272727273","","","","","","","","",""
"22229","70","70","70","","","","","","","","","","","",""
"22230","","","","39.72727272727273","39.72727272727273","39.72727272727273","","","","","","","","",""
"22232","","","","","","","","","","6.111111111111111","6.111111111111111","6.111111111111111","","",""
"22236","","","","","","","","","","6","6","6","","",""
"22245","68.7","68.7","68.7","","","","","","","","","","","",""
"22251","","","","","","","70","70","70","","","","","",""
"22257","70","70","70","","","","","","","","","","","",""
"22269","","","","38.6","38.6","38.6","","","","","","","0","0","0"
"22273","","","","","","","69.14285714285714","69.14285714285714","69.14285714285714","","","","70","70","70"
"22274","","","","38.333333333333336","38.333333333333336","38.333333333333336","","","","","","","","",""
"22275","67.63636363636364","67.63636363636364","67.63636363636364","","","","","","","","","","","",""
"22279","","","","","","","","","","","","","0","0","0"
"22280","","","","","","","","","","","","","70","70","70"
"22284","64.1","64.1","64.1","","","","","","","","","","","",""
"22290","","","","41.166666666666664","41.166666666666664","41.166666666666664","","","","","","","0","0","0"
"22294","","","","42.5","42.5","42.5","","","","6.3","6.3","6.3","","",""
"22298","","","","","","","","","","","","","0","0","0"
"22301","64","64","64","","","","","","","","","","","",""
"22302","","","","","","","","","","","","","0","0","0"
"22304","","","","","","","","","","5.9","5.9","5.9","","",""
"22315","","","","","","","","","","6","6","6","","",""
"22316","","","","","","","","","","6.111111111111111","6.111111111111111","6.111111111111111","","",""
"22321","","","","43.111111111111114","43.111111111111114","43.111111111111114","","","","","","","","",""
"22327","","","","41.30769230769231","41.30769230769231","41.30769230769231","","","","","","","","",""
"22328","","","","","","","","","","","","","69.42857142857143","69.42857142857143","69.42857142857143"
"22329","","","","40.083333333333336","40.083333333333336","40.083333333333336","","","","","","","","",""
"22330","","","","39.63636363636363","39.63636363636363","39.63636363636363","","","","","","","","",""
"22333","","","","39.44444444444444","39.44444444444444","39.44444444444444","","","","","","","","",""
"22335","","","","38.77777777777778","38.77777777777778","38.77777777777778","","","","","","","","",""
"22336","66.91666666666667","66.91666666666667","66.91666666666667","","","","","","","","","","","",""
"22338","66.25","66.25","66.25","","","","","","","","","","","",""
"22343","","","","","","","","","","0.5555555555555556","0.5555555555555556","0.5555555555555556","","",""
"22344","65.375","65.375","65.375","","","","","","","","","","","",""
"22345","","","","","","","","","","","","","70","70","70"
"22346","","","","","","","","","","0","0","0","","",""
"22354","","","","","","","","","","1","1","1","","",""
"22357","","","","","","","","","","0.3","0.3","0.3","","",""
"22360","66.875","66.875","66.875","","","","","","","","","","70","70","70"
"22363","66.77777777777777","66.77777777777777","66.77777777777777","","","","","","","","","","70","70","70"
"22364","","","","","","","60.22222222222222","60.22222222222222","60.22222222222222","","","","","",""
"22369","","","","","","","59.875","59.875","59.875","","","","","",""
"22371","67","67","67","","","","","","","","","","","",""
"22373","","","","","","","","","","","","","69.66666666666667","69.66666666666667","69.66666666666667"
"22374","67.28571428571429","67.28571428571429","67.28571428571429","33","33","33","","","","","","","","",""
"22375","","","","","","","","","","0.25","0.25","0.25","","",""
"22378","68.42857142857143","68.42857142857143","68.42857142857143","","","","61.44444444444444","61.44444444444444","61.44444444444444","","","","","",""
"22381","","","","33","33","33","","","","","","","70","70","70"
"22382","","","","33.111111111111114","33.111111111111114","33.111111111111114","","","","","","","","",""
"22386","69.57142857142857","69.57142857142857","69.57142857142857","","","","","","","","","","","",""
"22388","","","","32.75","32.75","32.75","","","","","","","","",""
"22390","","","","","","","","","","0.5555555555555556","0.5555555555555556","0.5555555555555556","","",""
"22393","","","","","","","","","","0.5714285714285714","0.5714285714285714","0.5714285714285714","","",""
"22396","69.88888888888889","69.88888888888889","69.88888888888889","","","","","","","","","","","",""
"22397","","","","","","","58.4","58.4","58.4","0","0","0","","",""
"22398","","","","","","","58.45454545454545","58.45454545454545","58.45454545454545","","","","","",""
"22399","69","69","69","","","","","","","","","","","",""
"22400","","","","","","","","","","","","","70","70","70"
"22408","","","","","","","58.4","58.4","58.4","","","","","",""
"22410","","","","","","","","","","1.2222222222222223","1.2222222222222223","1.2222222222222223","","",""
"22411","","","","","","","","","","1.5555555555555556","1.5555555555555556","1.5555555555555556","","",""
"22415","","","","","","","","","","","","","70","70","70"
"22416","","","","31.5","31.5","31.5","","","","","","","","",""
"22418","","","","","","","","","","","","","70","70","70"
"22421","","","","","","","","","","","","","70","70","70"
"22422","","","","","","","57.1","57.1","57.1","","","","","",""
"22423","","","","","","","56.6","56.6","56.6","","","","","",""
"22424","69.625","69.625","69.625","","","","","","","","","","","",""
"22426","69.5","69.5","69.5","","","","","","","","","","","",""
"22430","","","","","","","","","","1.7777777777777777","1.7777777777777777","1.7777777777777777","","",""
"22431","","","","","","","54.4","54.4","54.4","","","","","",""
"22432","","","","34","34","34","","","","","","","","",""
"22433","70","70","70","","","","","","","","","","70","70","70"
"22440","","","","32.7","32.7","32.7","","","","","","","","",""
"22448","","","","","","","","","","0","0","0","70","70","70"
"22449","","","","","","","","","","","","","0","0","0"
"22450","","","","","","","52.4","52.4","52.4","","","","","",""
"22455","65.33333333333333","65.33333333333333","65.33333333333333","","","","","","","","","","","",""
"22457","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","",""
"22464","","","","","","","","","","","","","70","70","70"
"22466","64.25","64.25","64.25","","","","49.583333333333336","49.583333333333336","49.583333333333336","","","","","",""
"22467","","","","","","","","","","","","","70","70","70"
"22468","","","","","","","","","","","","","70","70","70"
"22471","","","","","","","","","","0","0","0","","",""
"22472","","","","30","30","30","","","","","","","","",""
"22474","","","","","","","","","","","","","70","70","70"
"22475","65.21428571428571","65.21428571428571","65.21428571428571","","","","","","","","","","","",""
"22482","","","","30.5","30.5","30.5","","","","","","","","",""
"22483","","","","","","","","","","","","","0","0","0"
"22485","","","","30.454545454545453","30.454545454545453","30.454545454545453","","","","","","","","",""
"22487","","","","30.22222222222222","30.22222222222222","30.22222222222222","","","","","","","","",""
"22488","","","","","","","","","","","","","70","70","70"
"22492","","","","","","","","","","0.4444444444444444","0.4444444444444444","0.4444444444444444","","",""
"22494","","","","","","","39.142857142857146","39.142857142857146","39.142857142857146","","","","","",""
"22501","","","","","","","35.36363636363637","35.36363636363637","35.36363636363637","","","","","",""
"22506","","","","32.833333333333336","32.833333333333336","32.833333333333336","","","","","","","","",""
"22509","","","","","","","","","","","","","0","0","0"
"22511","57","57","57","","","","","","","","","","70","70","70"
"22512","","","","","","","","","","0.4444444444444444","0.4444444444444444","0.4444444444444444","","",""
"22513","","","","","","","34.18181818181818","34.18181818181818","34.18181818181818","","","","","",""
"22525","","","","36","36","36","","","","","","","","",""
"22528","","","","36.888888888888886","36.888888888888886","36.888888888888886","","","","","","","","",""
"22539","","","","","","","","","","","","","0","0","0"
"22541","","","","","","","","","","5","5","5","","",""
"22545","","","","","","","27.384615384615383","27.384615384615383","27.384615384615383","","","","","",""
"22549","66","66","66","","","","","","","","","","","",""
"22561","","","","47.166666666666664","47.166666666666664","47.166666666666664","","","","","","","","",""
"22564","","","","","","","","","","","","","0","0","0"
"22567","67.125","67.125","67.125","","","","","","","","","","","",""
"22568","67","67","67","","","","","","","","","","","",""
"22572","","","","","","","18.11111111111111","18.11111111111111","18.11111111111111","","","","","",""
"22573","","","","","","","18.25","18.25","18.25","","","","","",""
"22574","","","","","","","","","","","","","0","0","0"
"22579","","","","","","","","","","","","","0","0","0"
"22580","","","","46.55555555555556","46.55555555555556","46.55555555555556","","","","","","","","",""
"22581","","","","","","","","","","","","","70","70","70"
"22585","","","","47.7","47.7","47.7","","","","","","","","",""
"22587","","","","","","","","","","0","0","0","","",""
"22591","","","","","","","27","27","27","","","","","",""
"22596","","","","","","","","","","0","0","0","","",""
"22597","68","68","68","","","","","","","","","","","",""
"22599","68.85714285714286","68.85714285714286","68.85714285714286","50.375","50.375","50.375","","","","","","","0","0","0"
"22603","","","","","","","37","37","37","","","","","",""
"22617","","","","","","","","","","0","0","0","","",""
"22619","","","","","","","","","","1","1","1","","",""
"22620","","","","","","","","","","","","","70","70","70"
"22623","70","70","70","","","","","","","","","","","",""
"22625","","","","","","","","","","1.75","1.75","1.75","","",""
"22634","","","","50.625","50.625","50.625","","","","","","","","",""
"22637","","","","","","","","","","","","","69","69","69"
"22641","","","","49.714285714285715","49.714285714285715","49.714285714285715","","","","","","","","",""
"22646","","","","50","50","50","","","","","","","","",""
"22647","","","","50.25","50.25","50.25","","","","","","","","",""
"22651","","","","","","","41.333333333333336","41.333333333333336","41.333333333333336","","","","70","70","70"
"22652","","","","51.125","51.125","51.125","","","","","","","","",""
"22654","","","","","","","42","42","42","","","","","",""
"22656","69.55555555555556","69.55555555555556","69.55555555555556","","","","","","","","","","69.75","69.75","69.75"
"22657","69.125","69.125","69.125","51.875","51.875","51.875","","","","","","","","",""
"22658","","","","51.22222222222222","51.22222222222222","51.22222222222222","","","","","","","","",""
"22663","","","","","","","42.8","42.8","42.8","","","","","",""
"22664","","","","","","","","","","","","","70","70","70"
"22667","","","","","","","42","42","42","","","","70","70","70"
"22668","","","","","","","41.8","41.8","41.8","","","","","",""
"22669","","","","52.77777777777778","52.77777777777778","52.77777777777778","","","","","","","","",""
"22671","69.77777777777777","69.77777777777777","69.77777777777777","","","","","","","","","","","",""
"22677","","","","","","","","","","","","","69.8","69.8","69.8"
"22679","67.58333333333333","67.58333333333333","67.58333333333333","","","","","","","5","5","5","","",""
"22683","","","","54.833333333333336","54.833333333333336","54.833333333333336","","","","","","","","",""
"22689","","","","","","","","","","","","","0","0","0"
"22694","","","","56.333333333333336","56.333333333333336","56.333333333333336","","","","","","","","",""
"22698","","","","56.625","56.625","56.625","","","","3.25","3.25","3.25","","",""
"22701","","","","56.125","56.125","56.125","","","","","","","","",""
"22704","","","","","","","","","","","","","70","70","70"
"22705","","","","","","","","","","","","","0","0","0"
"22711","","","","","","","28.333333333333332","28.333333333333332","28.333333333333332","","","","","",""
"22713","","","","","","","","","","3.3333333333333335","3.3333333333333335","3.3333333333333335","","",""
"22715","53.5","53.5","53.5","","","","","","","","","","","",""
"22719","","","","58.3","58.3","58.3","","","","","","","","",""
"22722","","","","","","","","","","","","","70","70","70"
"22725","","","","","","","","","","","","","70","70","70"
"22726","","","","","","","","","","","","","70","70","70"
"22727","55.285714285714285","55.285714285714285","55.285714285714285","","","","","","","","","","","",""
"22740","56.3","56.3","56.3","","","","","","","","","","","",""
"22744","","","","","","","","","","","","","70","70","70"
"22751","56.25","56.25","56.25","","","","","","","","","","","",""
"22753","56.333333333333336","56.333333333333336","56.333333333333336","","","","","","","","","","70","70","70"
"22755","","","","","","","","","","","","","70","70","70"
"22756","","","","63.833333333333336","63.833333333333336","63.833333333333336","","","","","","","","",""
"22758","57.42857142857143","57.42857142857143","57.42857142857143","","","","","","","","","","","",""
"22763","57.142857142857146","57.142857142857146","57.142857142857146","","","","","","","","","","","",""
"22771","","","","","","","","","","4","4","4","","",""
"22777","","","","66.45454545454545","66.45454545454545","66.45454545454545","","","","","","","","",""
"22779","","","","","","","24.444444444444443","24.444444444444443","24.444444444444443","","","","","",""
"22781","","","","65","65","65","","","","","","","","",""
"22784","59.142857142857146","59.142857142857146","59.142857142857146","","","","","","","","","","","",""
"22787","","","","66.71428571428571","66.71428571428571","66.71428571428571","","","","","","","","",""
"22789","","","","","","","","","","","","","0","0","0"
"22792","","","","","","","25","25","25","","","","","",""
"22793","58.77777777777778","58.77777777777778","58.77777777777778","","","","","","","2.3333333333333335","2.3333333333333335","2.3333333333333335","","",""
"22802","","","","","","","","","","","","","0","0","0"
"22812","60.57142857142857","60.57142857142857","60.57142857142857","","","","","","","","","","","",""
"22814","","","","","","","18.363636363636363","18.363636363636363","18.363636363636363","","","","","",""
"22818","59.55555555555556","59.55555555555556","59.55555555555556","","","","","","","","","","","",""
"22820","","","","","","","17","17","17","1.6","1.6","1.6","","",""
"22821","59.75","59.75","59.75","","","","","","","","","","70","70","70"
"22822","","","","","","","","","","","","","0","0","0"
"22823","","","","","","","","","","1.7777777777777777","1.7777777777777777","1.7777777777777777","","",""
"22832","61.166666666666664","61.166666666666664","61.166666666666664","","","","","","","3","3","3","","",""
"22833","","","","","","","","","","","","","70","70","70"
"22834","","","","69","69","69","","","","","","","","",""
"22836","","","","","","","21","21","21","","","","","",""
"22846","63","63","63","","","","","","","","","","70","70","70"
"22849","","","","","","","","","","","","","0","0","0"
"22850","63.625","63.625","63.625","","","","","","","","","","70","70","70"
"22856","","","","","","","21.666666666666668","21.666666666666668","21.666666666666668","","","","","",""
"22862","","","","","","","","","","2.875","2.875","2.875","","",""
"22870","66.33333333333333","66.33333333333333","66.33333333333333","","","","","","","","","","","",""
"22871","","","","","","","","","","3.125","3.125","3.125","","",""
"22877","","","","69.9090909090909","69.9090909090909","69.9090909090909","","","","","","","","",""
"22878","","","","","","","19.3","19.3","19.3","5","5","5","","",""
"22879","","","","69.7","69.7","69.7","18.88888888888889","18.88888888888889","18.88888888888889","","","","","",""
"22880","","","","70","70","70","","","","","","","70","70","70"
"22883","","","","","","","","","","","","","70","70","70"
"22884","65.8","65.8","65.8","69.77777777777777","69.77777777777777","69.77777777777777","","","","5.555555555555555","5.555555555555555","5.555555555555555","","",""
