"Step","110-dynamic","110-dynamic - reward__MIN","110-dynamic - reward__MAX","110-ofb","110-ofbt - reward__MIN","110-ofbt - reward__MAX","110-static-1","110-static-1 - reward__MIN","110-static-1 - reward__MAX","110-every-100","110-every-100 - reward__MIN","110-every-100 - reward__MAX","110-every-10","110-every-10 - reward__MIN","110-every-10 - reward__MAX"
"1000","0.9865784355784355","0.9865784355784355","0.9865784355784355","0.889589661089661","0.889589661089661","0.889589661089661","0.8603944658944659","0.8603944658944659","0.8603944658944659","0.8428783783783785","0.8428783783783785","0.8428783783783785","0.7511583011583012","0.7511583011583012","0.7511583011583012"
"2000","0.5818630058630058","0.5818630058630058","0.5818630058630058","0.8003399828399832","0.8003399828399832","0.8003399828399832","0.7243758758758764","0.7243758758758764","0.7243758758758764","0.7349337194337194","0.7349337194337194","0.7349337194337194","0.7185656370656373","0.7185656370656373","0.7185656370656373"
"3000","0.8068518518518514","0.8068518518518514","0.8068518518518514","0.6625823680823673","0.6625823680823673","0.6625823680823673","0.704405762905763","0.704405762905763","0.704405762905763","0.32185185185185144","0.32185185185185144","0.32185185185185144","0.6142400257400257","0.6142400257400257","0.6142400257400257"
"4000","0.7503703703703699","0.7503703703703699","0.7503703703703699","0.8055555555555552","0.8055555555555552","0.8055555555555552","0.7675109395109397","0.7675109395109397","0.7675109395109397","0.5947370227370236","0.5947370227370236","0.5947370227370236","0.6440662805662801","0.6440662805662801","0.6440662805662801"
"5000","0.7054576004576002","0.7054576004576002","0.7054576004576002","0.7081463606463599","0.7081463606463599","0.7081463606463599","0.6900754325754326","0.6900754325754326","0.6900754325754326","0.13685185185185048","0.13685185185185048","0.13685185185185048","0.6184935649935646","0.6184935649935646","0.6184935649935646"
"6000","0.7906645931645934","0.7906645931645934","0.7906645931645934","0.8953314028314028","0.8953314028314028","0.8953314028314028","0.5987175032175024","0.5987175032175024","0.5987175032175024","0.1968518518518516","0.1968518518518516","0.1968518518518516","0.6316145431145429","0.6316145431145429","0.6316145431145429"
"7000","0.8899357214357214","0.8899357214357214","0.8899357214357214","1","1","1","0.6162734877734878","0.6162734877734878","0.6162734877734878","0.052592592592591435","0.052592592592591435","0.052592592592591435","0.6229601029601026","0.6229601029601026","0.6229601029601026"
"8000","0.7458256113256112","0.7458256113256112","0.7458256113256112","0.9792592592592593","0.9792592592592593","0.9792592592592593","0.9355283855283855","0.9355283855283855","0.9355283855283855","0.053703703703702296","0.053703703703702296","0.053703703703702296","0.6797574002574002","0.6797574002574002","0.6797574002574002"
"9000","0.6195984555984553","0.6195984555984553","0.6195984555984553","1","1","1","0.768888888888888","0.768888888888888","0.768888888888888","0.012962962962961342","0.012962962962961342","0.012962962962961342","0.6000186615186609","0.6000186615186609","0.6000186615186609"
"10000","0.6164665379665376","0.6164665379665376","0.6164665379665376","1","1","1","0.8620143715143715","0.8620143715143715","0.8620143715143715","0.01685185185185124","0.01685185185185124","0.01685185185185124","0.6071505791505788","0.6071505791505788","0.6071505791505788"
"11000","0.68","0.68","0.68","1","1","1","0.5957033462033458","0.5957033462033458","0.5957033462033458","-0.07055555555555713","-0.07055555555555713","-0.07055555555555713","0.6143268983268981","0.6143268983268981","0.6143268983268981"
"12000","0.6496808236808236","0.6496808236808236","0.6496808236808236","1","1","1","0.6133449163449151","0.6133449163449151","0.6133449163449151","-0.04722222222222513","-0.04722222222222513","-0.04722222222222513","0.5946891891891882","0.5946891891891882","0.5946891891891882"
"13000","0.7276460746460741","0.7276460746460741","0.7276460746460741","1","1","1","0.607500643500643","0.607500643500643","0.607500643500643","0.29282060632060997","0.29282060632060997","0.29282060632060997","0.6003108108108101","0.6003108108108101","0.6003108108108101"
"14000","0.6438429858429856","0.6438429858429856","0.6438429858429856","1","1","1","0.612657014157013","0.612657014157013","0.612657014157013","0.6072644787644784","0.6072644787644784","0.6072644787644784","0.6042065637065626","0.6042065637065626","0.6042065637065626"
"15000","0.6497522522522519","0.6497522522522519","0.6497522522522519","1","1","1","0.8246602316602318","0.8246602316602318","0.8246602316602318","0.6060276705276697","0.6060276705276697","0.6060276705276697","0.593673101673101","0.593673101673101","0.593673101673101"
"16000","0.654450450450451","0.654450450450451","0.654450450450451","1","1","1","0.6055701415701409","0.6055701415701409","0.6055701415701409","0.5933371943371931","0.5933371943371931","0.5933371943371931","0.600669884169884","0.600669884169884","0.600669884169884"
"17000","0.6105965250965244","0.6105965250965244","0.6105965250965244","0.7815534105534107","0.7815534105534107","0.7815534105534107","0.6068056628056623","0.6068056628056623","0.6068056628056623","0.6059420849420847","0.6059420849420847","0.6059420849420847","0.6004009009009001","0.6004009009009001","0.6004009009009001"
"18000","0.5953674388674379","0.5953674388674379","0.5953674388674379","1","1","1","0.6234337194337191","0.6234337194337191","0.6234337194337191","0.6163861003861005","0.6163861003861005","0.6163861003861005","0.5960862290862284","0.5960862290862284","0.5960862290862284"
"19000","0.6005823680823672","0.6005823680823672","0.6005823680823672","0.9320900900900901","0.9320900900900901","0.9320900900900901","0.6207503217503209","0.6207503217503209","0.6207503217503209","0.9663114543114544","0.9663114543114544","0.9663114543114544","0.6046171171171166","0.6046171171171166","0.6046171171171166"
