,_step,learner:resources,_runtime,_timestamp,slice0:packet-drop,slice1:queue-size,slice1:incoming-traffic,slice1:urgent-packet-count,learner:greedySelectionEPS,slice0:incoming-traffic,slice1:packet-dead,slice1:packet-drop,slice0:urgent-packet-count,slice0:queue-size,slice1:resources,learner:forwarded-experiences,slice0:resources,slice0:packet-dead,learner:queue-size
0,14961,0,89.55749750137329,1667809102.0975595,,,,,,,,,,,,,,,
1,19391,0,115.4771819114685,1667809128.0172439,,,,,,,,,,,,,,,
2,19459,0,115.8062527179718,1667809128.3463147,,,,,,,,,,,,,,,
3,22464,15,132.53204131126404,1667809145.0721033,,,,,,,,,,,,,,,
4,25467,0,149.90435528755188,1667809162.4444172,,,,,,,,,,,,,,,
5,27882,0,164.94242119789124,1667809177.4824831,,,,,,,,,,,,,,,
6,31196,0,184.78213119506836,1667809197.3221931,,,,,,,,,,,,,,,
7,32130,0,190.66152381896973,1667809203.2015858,0.0,0.33266666666666667,8.0,0.0,0.17452800000000002,8.0,0.0,0.0,0.0,0.464,0.8,25580.0,0.2,0.0,115.0
8,32346,0,192.2725932598114,1667809204.8126552,,,,,,,,,,,,,,,
9,39690,15,238.594642162323,1667809251.134704,0.0,0.16466666666666666,11.0,0.0,0.16895600000000002,6.0,0.0,0.0,0.0,0.9986666666666667,0.0,31679.0,0.0,0.0,94.0
10,45797,0,275.4958481788635,1667809288.0359101,,,,,,,,,,,,,,,
11,46304,0,278.48381447792053,1667809291.0238764,,,,,,,,,,,,,,,
12,46462,0,279.3422849178314,1667809291.8823469,,,,,,,,,,,,,,,
13,52293,0,313.52192544937134,1667809326.0619874,,,,,,,,,,,,,,,
14,55649,0,332.9380397796631,1667809345.4781017,,,,,,,,,,,,,,,
15,55949,0,334.7240877151489,1667809347.2641497,,,,,,,,,,,,,,,
16,56075,0,335.3389735221863,1667809347.8790355,,,,,,,,,,,,,,,
17,65646,6,389.17428731918335,1667809401.7143493,,,,,,,,,,,,,,,
18,69339,0,409.5800726413727,1667809422.1201346,,,,,,,,,,,,,,,
19,75429,0,442.1073143482208,1667809454.6473763,,,,,,,,,,,,,,,
20,78665,0,459.5389335155487,1667809472.0789955,,,,,,,,,,,,,,,
21,79300,0,462.90077471733093,1667809475.4408367,4.0,0.0,7.0,0.0,0.13711600000000002,8.0,0.0,0.0,0.0,0.9966666666666667,0.7333333333333333,59186.0,0.26666666666666666,0.0,292.0
22,91932,0,524.781984090805,1667809537.322046,,,,,,,,,,,,,,,
23,96618,15,545.4906010627747,1667809558.030663,,,,,,,,,,,,,,,
24,105387,0,588.2313163280487,1667809600.7713783,,,,,,,,,,,,,,,
25,107537,0,597.708080291748,1667809610.2481422,,,,,,,,,,,,,,,
26,117014,0,640.4153728485107,1667809652.9554348,,,,,,,,,,,,,,,
27,123263,0,664.7017018795013,1667809677.2417638,,,,,,,,,,,,,,,
28,123342,0,664.9630334377289,1667809677.5030954,,,,,,,,,,,,,,,
29,124472,0,670.3906571865082,1667809682.9307191,,,,,,,,,,,,,,,
30,129182,0,691.1004152297974,1667809703.6404772,,,,,,,,,,,,,,,
31,130594,9,698.0189399719238,1667809710.559002,,,,,,,,,,,,,,,
32,132805,0,709.1082212924957,1667809721.6482832,,,,,,,,,,,,,,,
33,138513,0,733.2786998748779,1667809745.8187618,,,,,,,,,,,,,,,
34,140959,0,744.9322288036346,1667809757.4722908,,,,,,,,,,,,,,,
35,141167,0,745.9088292121887,1667809758.4488912,,,,,,,,,,,,,,,
36,141483,0,747.1264386177063,1667809759.6665006,,,,,,,,,,,,,,,
37,146626,0,769.4953887462616,1667809782.0354507,,,,,,,,,,,,,,,
38,160349,0,829.3326172828674,1667809841.8726792,,,,,,,,,,,,,,,
39,161965,0,836.5313582420349,1667809849.0714202,,,,,,,,,,,,,,,
40,162882,0,840.6315476894379,1667809853.1716096,,,,,,,,,,,,,,,
41,166591,0,856.0407221317291,1667809868.580784,,,,,,,,,,,,,,,
42,170625,0,871.3734219074249,1667809883.9134839,,,,,,,,,,,,,,,
43,179099,0,904.5880527496338,1667809917.1281147,,,,,,,,,,,,,,,
44,181066,0,912.8053634166718,1667809925.3454254,,,,,,,,,,,,,,,
45,182518,0,918.8660635948181,1667809931.4061255,,,,,,,,,,,,,,,
46,183828,0,924.1691753864288,1667809936.7092373,,,,,,,,,,,,,,,
47,189664,0,945.8143308162689,1667809958.3543928,,,,,,,,,,,,,,,
48,191625,0,952.8319237232208,1667809965.3719857,,,,,,,,,,,,,,,
49,193250,0,959.1901149749756,1667809971.730177,0.0,0.38,10.0,4.0,0.046372000000000024,8.0,0.0,0.0,0.0,0.4706666666666667,0.4666666666666667,102011.0,0.5333333333333333,0.0,1217.0
50,194823,0,964.3988163471222,1667809976.9388783,,,,,,,,,,,,,,,
51,203671,0,994.0853304862976,1667810006.6253924,,,,,,,,,,,,,,,
52,210273,0,1014.0610635280609,1667810026.6011255,,,,,,,,,,,,,,,
53,211967,0,1018.7038300037384,1667810031.243892,,,,,,,,,,,,,,,
54,215143,0,1027.7047753334045,1667810040.2448373,,,,,,,,,,,,,,,
55,218855,0,1036.8027153015137,1667810049.3427773,,,,,,,,,,,,,,,
56,218869,0,1036.8476688861847,1667810049.3877308,,,,,,,,,,,,,,,
57,221853,0,1042.0389378070831,1667810054.5789998,,,,,,,,,,,,,,,
58,231028,0,1054.133327960968,1667810066.67339,,,,,,,,,,,,,,,
59,233275,0,1057.324543952942,1667810069.864606,,,,,,,,,,,,,,,
60,233902,0,1058.1770663261414,1667810070.7171283,,,,,,,,,,,,,,,
61,240767,0,1068.2341589927673,1667810080.774221,,,,,,,,,,,,,,,
62,246669,0,1077.2791495323181,1667810089.8192115,,,,,,,,,,,,,,,
63,248507,0,1080.607652425766,1667810093.1477144,,,,,,,,,,,,,,,
64,250731,0,1084.124376296997,1667810096.6644382,,,,,,,,,,,,,,,
65,252226,0,1086.3407695293427,1667810098.8808315,,,,,,,,,,,,,,,
66,267544,0,1109.9163401126862,1667810122.456402,,,,,,,,,,,,,,,
67,275273,0,1121.657993555069,1667810134.1980555,,,,,,,,,,,,,,,
68,287378,0,1140.1125268936157,1667810152.6525888,,,,,,,,,,,,,,,
69,291764,0,1147.086054801941,1667810159.6261168,,,,,,,,,,,,,,,
70,294913,0,1152.100920677185,1667810164.6409826,,,,,,,,,,,,,,,
71,297263,0,1155.6703016757965,1667810168.2103636,,,,,,,,,,,,,,,
72,298452,0,1157.493115901947,1667810170.0331779,,,,,,,,,,,,,,,
73,300058,0,1159.9448137283325,1667810172.4848757,,,,,,,,,,,,,,,
74,306648,0,1169.7389822006226,1667810182.2790442,,,,,,,,,,,,,,,
75,308109,0,1171.8904747962952,1667810184.4305367,,,,,,,,,,,,,,,
76,312352,0,1178.0261998176575,1667810190.5662618,,,,,,,,,,,,,,,
77,313427,0,1179.7396874427795,1667810192.2797494,,,,,,,,,,,,,,,
78,314354,0,1181.0263712406158,1667810193.5664332,,,,,,,,,,,,,,,
79,315132,0,1182.4041740894318,1667810194.944236,,,,,,,,,,,,,,,
80,320147,0,1189.4255306720734,1667810201.9655926,,,,,,,,,,,,,,,
81,327902,0,1201.9413692951202,1667810214.4814312,,,,,,,,,,,,,,,
82,332334,0,1208.9348492622375,1667810221.4749112,,,,,,,,,,,,,,,
83,335286,0,1213.766689300537,1667810226.3067513,,,,,,,,,,,,,,,
84,335365,0,1213.913022518158,1667810226.4530845,,,,,,,,,,,,,,,
85,335509,0,1214.1816236972809,1667810226.7216856,,,,,,,,,,,,,,,
86,335899,0,1214.7141029834747,1667810227.254165,,,,,,,,,,,,,,,
87,336542,0,1215.6894652843475,1667810228.2295272,,,,,,,,,,,,,,,
88,346192,0,1231.1026003360748,1667810243.6426623,,,,,,,,,,,,,,,
89,356301,0,1247.6050984859467,1667810260.1451604,,,,,,,,,,,,,,,
90,357227,0,1249.4162600040436,1667810261.956322,,,,,,,,,,,,,,,
91,360625,0,1254.7671971321106,1667810267.307259,,,,,,,,,,,,,,,
92,361910,0,1256.7414708137512,1667810269.2815328,0.0,0.005333333333333333,10.0,0.0,0.01,9.0,0.0,0.0,0.0,0.5153333333333333,0.5333333333333333,114506.0,0.4666666666666667,0.0,1427.0
93,362376,0,1257.5434257984161,1667810270.0834877,,,,,,,,,,,,,,,
94,366125,0,1263.4256119728088,1667810275.965674,,,,,,,,,,,,,,,
95,366183,0,1263.5007605552673,1667810276.0408225,,,,,,,,,,,,,,,
96,368847,0,1267.548523426056,1667810280.0885854,,,,,,,,,,,,,,,
97,371280,0,1271.649718761444,1667810284.1897807,0.0,0.0033333333333333335,9.0,0.0,0.01,10.0,0.0,0.0,0.0,0.5106666666666667,0.5333333333333333,114916.0,0.4666666666666667,0.0,1428.0
98,376889,0,1280.6430127620697,1667810293.1830747,,,,,,,,,,,,,,,
99,378902,0,1283.7640450000763,1667810296.304107,,,,,,,,,,,,,,,
100,380846,0,1286.8508186340332,1667810299.3908806,,,,,,,,,,,,,,,
101,387843,0,1299.1589398384094,1667810311.6990018,,,,,,,,,,,,,,,
102,390070,0,1303.0129516124725,1667810315.5530136,0.0,0.0006666666666666666,9.0,0.0,0.01,9.0,0.0,0.0,0.0,0.5273333333333333,0.5333333333333333,115891.0,0.4666666666666667,0.0,1428.0
103,390312,0,1303.3481504917145,1667810315.8882124,,,,,,,,,,,,,,,
104,390753,0,1304.0402126312256,1667810316.5802746,,,,,,,,,,,,,,,
105,390824,0,1304.181039571762,1667810316.7211015,,,,,,,,,,,,,,,
106,401463,0,1322.0013091564178,1667810334.541371,,,,,,,,,,,,,,,
107,407245,0,1331.1531455516815,1667810343.6932075,,,,,,,,,,,,,,,
108,408979,0,1334.1644756793976,1667810346.7045376,,,,,,,,,,,,,,,
109,409922,0,1336.02525472641,1667810348.5653167,,,,,,,,,,,,,,,
110,412322,0,1340.466906785965,1667810353.0069687,,,,,,,,,,,,,,,
111,419119,0,1353.1513576507568,1667810365.6914196,,,,,,,,,,,,,,,
112,421459,0,1357.4505398273468,1667810369.9906018,,,,,,,,,,,,,,,
