j0 step j2 j3 reward j4 j5 cost1 z1 j6 cost2 z2 j7 epsilon
step= 0 -- reward= 0.0 -- cost1= 0.0 6611 --cost2= 0.0 8010 epsilon= 0.015
step= 1 -- reward= 0.0 -- cost1= 0.0 6509 --cost2= 0.0 7983 epsilon= 0.013554030054147672
step= 2 -- reward= -5.834219114219113 -- cost1= -148.0 6313 --cost2= 0.0 7971 epsilon= 0.01224744871391589
step= 3 -- reward= -34.86236499611505 -- cost1= -833.0 6173 --cost2= 0.0 7929 epsilon= 0.011066819197003216
step= 4 -- reward= -35.08083527583534 -- cost1= -851.0 6183 --cost2= 0.0 7917 epsilon= 0.01
step= 5 -- reward= -36.18533896658899 -- cost1= -876.0 6180 --cost2= 0.0 7888 epsilon= 0.01
step= 6 -- reward= -36.841856060606084 -- cost1= -880.0 6194 --cost2= 0.0 8008 epsilon= 0.01
step= 7 -- reward= -36.617070707070766 -- cost1= -893.0 6131 --cost2= 0.0 7999 epsilon= 0.01
step= 8 -- reward= -37.719772727272726 -- cost1= -911.0 6171 --cost2= 0.0 8023 epsilon= 0.01
step= 9 -- reward= -36.45800505050507 -- cost1= -885.0 6171 --cost2= 0.0 7988 epsilon= 0.01
step= 10 -- reward= -32.02060217560222 -- cost1= -785.0 6219 --cost2= 0.0 7949 epsilon= 0.01
step= 11 -- reward= -34.63965909090913 -- cost1= -837.0 6178 --cost2= 0.0 8064 epsilon= 0.01
step= 12 -- reward= -34.20680749805751 -- cost1= -832.0 6186 --cost2= 0.0 8079 epsilon= 0.01
step= 13 -- reward= -36.72437062937067 -- cost1= -909.0 6204 --cost2= 0.0 7997 epsilon= 0.01
step= 14 -- reward= -36.360643939393974 -- cost1= -881.0 6208 --cost2= 0.0 7844 epsilon= 0.01
step= 15 -- reward= -36.442767094017135 -- cost1= -873.0 6184 --cost2= 0.0 8078 epsilon= 0.01
step= 16 -- reward= -35.88159285159287 -- cost1= -871.0 6204 --cost2= 0.0 7990 epsilon= 0.01
step= 17 -- reward= -34.50889083139087 -- cost1= -845.0 6200 --cost2= 0.0 8076 epsilon= 0.01
step= 18 -- reward= -36.86190656565656 -- cost1= -886.0 6152 --cost2= 0.0 8006 epsilon= 0.01
step= 19 -- reward= -34.51780303030306 -- cost1= -830.0 6168 --cost2= 0.0 7962 epsilon= 0.01
step= 20 -- reward= -36.858278943278975 -- cost1= -890.0 6187 --cost2= 0.0 7926 epsilon= 0.01
step= 21 -- reward= -35.81782634032634 -- cost1= -869.0 6209 --cost2= 0.0 8082 epsilon= 0.01
step= 22 -- reward= -35.64727078477082 -- cost1= -863.0 6177 --cost2= 0.0 8022 epsilon= 0.01
step= 23 -- reward= -32.67463189588196 -- cost1= -793.0 6191 --cost2= 0.0 8014 epsilon= 0.01
step= 24 -- reward= -34.40923853923858 -- cost1= -847.0 6174 --cost2= 0.0 7907 epsilon= 0.01
step= 25 -- reward= -33.48807886557891 -- cost1= -815.0 6187 --cost2= 0.0 7929 epsilon= 0.01
step= 26 -- reward= -36.45798562548567 -- cost1= -888.0 6180 --cost2= 0.0 8055 epsilon= 0.01
step= 27 -- reward= -37.51102855477854 -- cost1= -910.0 6179 --cost2= 0.0 8043 epsilon= 0.01
step= 28 -- reward= -36.7914015151515 -- cost1= -877.0 6155 --cost2= 0.0 8048 epsilon= 0.01
step= 29 -- reward= -37.82635101010102 -- cost1= -911.0 6149 --cost2= 0.0 7935 epsilon= 0.01
step= 30 -- reward= -33.77600233100238 -- cost1= -821.0 6228 --cost2= 0.0 8011 epsilon= 0.01
step= 31 -- reward= -35.64758644133646 -- cost1= -867.0 6178 --cost2= 0.0 7924 epsilon= 0.01
step= 32 -- reward= -35.325986790986775 -- cost1= -856.0 6209 --cost2= 0.0 7988 epsilon= 0.01
step= 33 -- reward= -39.647085275835245 -- cost1= -962.0 6163 --cost2= 0.0 7938 epsilon= 0.01
step= 34 -- reward= -30.362563131313166 -- cost1= -721.0 6207 --cost2= 0.0 8074 epsilon= 0.01
step= 35 -- reward= -36.60311091686091 -- cost1= -892.0 6198 --cost2= 0.0 8035 epsilon= 0.01
step= 36 -- reward= -36.51689393939396 -- cost1= -881.0 6164 --cost2= 0.0 8077 epsilon= 0.01
step= 37 -- reward= -33.72413073038075 -- cost1= -813.0 6218 --cost2= 0.0 7956 epsilon= 0.01
step= 38 -- reward= -34.10198038073041 -- cost1= -823.0 6178 --cost2= 0.0 7995 epsilon= 0.01
