j0 step j2 j3 reward j4 j5 cost1 z1 j6 cost2 z2 j7 epsilon
step= 0 -- reward= -19.443382936507938 -- cost1= 0.0 6447 --cost2= -260.54285714285714 8549 epsilon= 0.015
step= 1 -- reward= -456.4480324417644 -- cost1= -778.0 6019 --cost2= -5884.000000000002 8981 epsilon= 0.013554030054147672
step= 2 -- reward= -440.55078719692983 -- cost1= -1359.0 6022 --cost2= -5339.085714285719 8978 epsilon= 0.01224744871391589
step= 3 -- reward= -142.1194166805417 -- cost1= -1348.0 6002 --cost2= -1201.6571428571428 8998 epsilon= 0.011066819197003216
step= 4 -- reward= -54.64158411033401 -- cost1= -1355.0 6033 --cost2= 0.0 8967 epsilon= 0.01
step= 5 -- reward= -55.60286033411024 -- cost1= -1375.0 6030 --cost2= 0.0 8970 epsilon= 0.01
step= 6 -- reward= -55.8212966200465 -- cost1= -1364.0 6077 --cost2= 0.0 8923 epsilon= 0.01
step= 7 -- reward= -52.97882187257176 -- cost1= -1319.0 6050 --cost2= 0.0 8950 epsilon= 0.01
step= 8 -- reward= -57.46576340326333 -- cost1= -1434.0 6008 --cost2= 0.0 8992 epsilon= 0.01
step= 9 -- reward= -95.07385625485607 -- cost1= -1381.0 6015 --cost2= -546.2714285714286 8985 epsilon= 0.01
step= 10 -- reward= -52.933740287490146 -- cost1= -1334.0 6040 --cost2= 0.0 8960 epsilon= 0.01
step= 11 -- reward= -60.176300005549926 -- cost1= -1329.0 6032 --cost2= -88.58571428571429 8968 epsilon= 0.01
step= 12 -- reward= -556.7997775141527 -- cost1= -1384.0 5973 --cost2= -6964.042857142853 9027 epsilon= 0.01
step= 13 -- reward= -557.9887775419024 -- cost1= -1536.0 5946 --cost2= -6922.314285714289 9054 epsilon= 0.01
step= 14 -- reward= -94.58860407647856 -- cost1= -1399.0 6044 --cost2= -536.6571428571431 8956 epsilon= 0.01
step= 15 -- reward= -59.13570734820722 -- cost1= -1412.0 6006 --cost2= -28.57142857142857 8994 epsilon= 0.01
step= 16 -- reward= -245.64315003845388 -- cost1= -1454.0 5983 --cost2= -2597.971428571429 9017 epsilon= 0.01
step= 17 -- reward= -386.5122040320793 -- cost1= -1433.0 5979 --cost2= -4603.699999999997 9021 epsilon= 0.01
step= 18 -- reward= -332.72840157065167 -- cost1= -1430.0 5966 --cost2= -3839.4857142857118 9034 epsilon= 0.01
step= 19 -- reward= -73.15308118270578 -- cost1= -1370.0 5991 --cost2= -251.3857142857143 9009 epsilon= 0.01
step= 20 -- reward= -55.624977661227526 -- cost1= -1371.0 6053 --cost2= 0.0 8947 epsilon= 0.01
step= 21 -- reward= -282.31916316223453 -- cost1= -1431.0 6001 --cost2= -3118.9571428571417 8999 epsilon= 0.01
step= 22 -- reward= -320.52108510933505 -- cost1= -1420.0 5978 --cost2= -3672.900000000001 9022 epsilon= 0.01
step= 23 -- reward= -258.31247973058777 -- cost1= -1364.0 5967 --cost2= -2828.0428571428606 9033 epsilon= 0.01
step= 24 -- reward= -108.45884948384925 -- cost1= -1359.0 6020 --cost2= -755.8857142857144 8980 epsilon= 0.01
step= 25 -- reward= -52.59147921522907 -- cost1= -1308.0 6061 --cost2= 0.0 8939 epsilon= 0.01
step= 26 -- reward= -56.98280303030289 -- cost1= -1427.0 6006 --cost2= 0.0 8994 epsilon= 0.01
step= 27 -- reward= -101.44516776873905 -- cost1= -1444.0 5999 --cost2= -597.0714285714286 9001 epsilon= 0.01
step= 28 -- reward= -300.5221858835617 -- cost1= -1405.0 5984 --cost2= -3364.142857142852 9016 epsilon= 0.01
step= 29 -- reward= -165.31450346875448 -- cost1= -1406.0 6008 --cost2= -1522.8285714285714 8992 epsilon= 0.01
step= 30 -- reward= -99.41704100066582 -- cost1= -1350.0 6047 --cost2= -631.8999999999999 8953 epsilon= 0.01
step= 31 -- reward= -278.95913403263484 -- cost1= -1421.0 5971 --cost2= -3070.3571428571436 9029 epsilon= 0.01
step= 32 -- reward= -59.62270604395595 -- cost1= -1355.0 6068 --cost2= -70.71428571428572 8932 epsilon= 0.01
step= 33 -- reward= -71.99461838161822 -- cost1= -1503.0 5958 --cost2= -160.81428571428575 9042 epsilon= 0.01
step= 34 -- reward= -50.117398989898895 -- cost1= -1229.0 6053 --cost2= 0.0 8947 epsilon= 0.01
step= 35 -- reward= -499.95676111586783 -- cost1= -1480.0 5974 --cost2= -6116.014285714286 9026 epsilon= 0.01
step= 36 -- reward= -556.2759005855257 -- cost1= -1469.0 5941 --cost2= -6926.0428571428565 9059 epsilon= 0.01
step= 37 -- reward= -465.5132197841844 -- cost1= -1341.0 6019 --cost2= -5703.357142857143 8981 epsilon= 0.01
step= 38 -- reward= -485.88504107004 -- cost1= -1408.0 5959 --cost2= -5969.242857142864 9041 epsilon= 0.01
step= 39 -- reward= -498.049795288045 -- cost1= -1442.0 5935 --cost2= -6138.257142857148 9065 epsilon= 0.01
step= 40 -- reward= -257.63826384726474 -- cost1= -1445.0 5955 --cost2= -2772.8714285714295 9045 epsilon= 0.01
step= 41 -- reward= -56.838974358974234 -- cost1= -1426.0 6042 --cost2= 0.0 8958 epsilon= 0.01
step= 42 -- reward= -56.715328282828146 -- cost1= -1389.0 6042 --cost2= 0.0 8958 epsilon= 0.01
step= 43 -- reward= -51.83390734265726 -- cost1= -1277.0 6090 --cost2= 0.0 8910 epsilon= 0.01
step= 44 -- reward= -53.593838383838346 -- cost1= -1324.0 6059 --cost2= 0.0 8941 epsilon= 0.01
step= 45 -- reward= -53.54140151515143 -- cost1= -1330.0 6083 --cost2= 0.0 8917 epsilon= 0.01
step= 46 -- reward= -55.043434343434285 -- cost1= -1354.0 6014 --cost2= 0.0 8986 epsilon= 0.01
step= 47 -- reward= -51.99292540792536 -- cost1= -1274.0 6046 --cost2= 0.0 8954 epsilon= 0.01
step= 48 -- reward= -65.63004897879881 -- cost1= -1378.0 6004 --cost2= -131.42857142857144 8996 epsilon= 0.01
step= 49 -- reward= -391.3904324148075 -- cost1= -1418.0 6003 --cost2= -4631.042857142861 8997 epsilon= 0.01
step= 50 -- reward= -142.75095588934886 -- cost1= -1359.0 6027 --cost2= -1215.6428571428567 8973 epsilon= 0.01
step= 51 -- reward= -54.93246114996096 -- cost1= -1367.0 6034 --cost2= 0.0 8966 epsilon= 0.01
step= 52 -- reward= -51.42701923076909 -- cost1= -1282.0 6058 --cost2= 0.0 8942 epsilon= 0.01
step= 53 -- reward= -176.62752815240316 -- cost1= -1523.0 5951 --cost2= -1619.1571428571424 9049 epsilon= 0.01
step= 54 -- reward= -91.94490472027917 -- cost1= -1390.0 5987 --cost2= -503.9857142857143 9013 epsilon= 0.01
step= 55 -- reward= -50.467237762237666 -- cost1= -1254.0 6051 --cost2= 0.0 8949 epsilon= 0.01
step= 56 -- reward= -241.97201943889405 -- cost1= -1361.0 6018 --cost2= -2595.3285714285735 8982 epsilon= 0.01
step= 57 -- reward= -408.0372967171718 -- cost1= -1438.0 5947 --cost2= -4898.471428571419 9053 epsilon= 0.01
step= 58 -- reward= -57.03318764568755 -- cost1= -1422.0 6024 --cost2= 0.0 8976 epsilon= 0.01
step= 59 -- reward= -52.53548174048168 -- cost1= -1301.0 6060 --cost2= 0.0 8940 epsilon= 0.01
