j0 step j2 j3 reward j4 j5 cost1 z1 j6 cost2 z2 j7 epsilon
step= 60 -- reward= 0.0 -- cost1= 0.0 6384 --cost2= 0.0 7474 epsilon= 0.01
step= 61 -- reward= 0.0 -- cost1= 0.0 6381 --cost2= 0.0 7577 epsilon= 0.01
step= 62 -- reward= 0.0 -- cost1= 0.0 6287 --cost2= 0.0 7530 epsilon= 0.01
step= 63 -- reward= 0.0 -- cost1= 0.0 6396 --cost2= 0.0 7448 epsilon= 0.01
step= 64 -- reward= 0.0 -- cost1= 0.0 6401 --cost2= 0.0 7566 epsilon= 0.01
step= 65 -- reward= 0.0 -- cost1= 0.0 6292 --cost2= 0.0 7518 epsilon= 0.01
step= 66 -- reward= 0.0 -- cost1= 0.0 6381 --cost2= 0.0 7444 epsilon= 0.01
step= 67 -- reward= 0.0 -- cost1= 0.0 6368 --cost2= 0.0 7430 epsilon= 0.01
step= 68 -- reward= 0.0 -- cost1= 0.0 6347 --cost2= 0.0 7502 epsilon= 0.01
step= 69 -- reward= 0.0 -- cost1= 0.0 6314 --cost2= 0.0 7507 epsilon= 0.01
step= 70 -- reward= 0.0 -- cost1= 0.0 6275 --cost2= 0.0 7549 epsilon= 0.01
step= 71 -- reward= 0.0 -- cost1= 0.0 6377 --cost2= 0.0 7535 epsilon= 0.01
step= 72 -- reward= 0.0 -- cost1= 0.0 6286 --cost2= 0.0 7528 epsilon= 0.01
step= 73 -- reward= 0.0 -- cost1= 0.0 6320 --cost2= 0.0 7564 epsilon= 0.01
step= 74 -- reward= 0.0 -- cost1= 0.0 6290 --cost2= 0.0 7542 epsilon= 0.01
step= 75 -- reward= 0.0 -- cost1= 0.0 6301 --cost2= 0.0 7447 epsilon= 0.01
step= 76 -- reward= 0.0 -- cost1= 0.0 6350 --cost2= 0.0 7570 epsilon= 0.01
step= 77 -- reward= 0.0 -- cost1= 0.0 6442 --cost2= 0.0 7434 epsilon= 0.01
step= 78 -- reward= 0.0 -- cost1= 0.0 6384 --cost2= 0.0 7475 epsilon= 0.01
step= 79 -- reward= 0.0 -- cost1= 0.0 6298 --cost2= 0.0 7365 epsilon= 0.01
step= 80 -- reward= 0.0 -- cost1= 0.0 6368 --cost2= 0.0 7578 epsilon= 0.01
step= 81 -- reward= 0.0 -- cost1= 0.0 6315 --cost2= 0.0 7484 epsilon= 0.01
step= 82 -- reward= 0.0 -- cost1= 0.0 6419 --cost2= 0.0 7448 epsilon= 0.01
step= 83 -- reward= 0.0 -- cost1= 0.0 6278 --cost2= 0.0 7504 epsilon= 0.01
step= 84 -- reward= 0.0 -- cost1= 0.0 6328 --cost2= 0.0 7461 epsilon= 0.01
step= 85 -- reward= 0.0 -- cost1= 0.0 6250 --cost2= 0.0 7589 epsilon= 0.01
step= 86 -- reward= 0.0 -- cost1= 0.0 6314 --cost2= 0.0 7465 epsilon= 0.01
