j0 step j2 j3 reward j4 j5 cost1 z1 j6 cost2 z2 j7 epsilon
step= 55 -- reward= -82.63523892773871 -- cost1= -2267.0 6090 --cost2= 0.0 7978 epsilon= 0.01
step= 56 -- reward= -87.65769376456845 -- cost1= -2399.0 6030 --cost2= 0.0 8065 epsilon= 0.01
step= 57 -- reward= -85.73105817793282 -- cost1= -2376.0 6075 --cost2= 0.0 7957 epsilon= 0.01
step= 58 -- reward= -89.42577214452169 -- cost1= -2481.0 6034 --cost2= 0.0 7891 epsilon= 0.01
step= 59 -- reward= -87.11485722610684 -- cost1= -2384.0 6030 --cost2= 0.0 7936 epsilon= 0.01
step= 60 -- reward= -90.93693570318544 -- cost1= -2469.0 6002 --cost2= 0.0 7980 epsilon= 0.01
step= 61 -- reward= -88.1842035742031 -- cost1= -2446.0 5998 --cost2= 0.0 8012 epsilon= 0.01
step= 62 -- reward= -85.02599564651008 -- cost1= -2378.0 6115 --cost2= 0.0 7985 epsilon= 0.01
step= 63 -- reward= -86.40259129759092 -- cost1= -2385.0 6069 --cost2= 0.0 8010 epsilon= 0.01
step= 64 -- reward= -81.71223581973567 -- cost1= -2264.0 6128 --cost2= 0.0 8008 epsilon= 0.01
step= 65 -- reward= -88.60373834498786 -- cost1= -2440.0 6024 --cost2= 0.0 8006 epsilon= 0.01
step= 66 -- reward= -86.04789335664307 -- cost1= -2367.0 6040 --cost2= 0.0 7987 epsilon= 0.01
step= 67 -- reward= -87.82091103341074 -- cost1= -2418.0 6045 --cost2= 0.0 8014 epsilon= 0.01
step= 68 -- reward= -89.58430372731813 -- cost1= -2462.0 6012 --cost2= 0.0 7942 epsilon= 0.01
step= 69 -- reward= -87.7804098679095 -- cost1= -2448.0 6065 --cost2= 0.0 8046 epsilon= 0.01
step= 70 -- reward= -84.31667197998046 -- cost1= -2331.0 6081 --cost2= 0.0 7917 epsilon= 0.01
step= 71 -- reward= -87.96763888888859 -- cost1= -2415.0 6004 --cost2= 0.0 7874 epsilon= 0.01
step= 72 -- reward= -87.30685023309972 -- cost1= -2429.0 6082 --cost2= 0.0 7928 epsilon= 0.01
step= 73 -- reward= -88.44101152931998 -- cost1= -2439.0 6041 --cost2= 0.0 8078 epsilon= 0.01
step= 74 -- reward= -86.83201643128088 -- cost1= -2388.0 6046 --cost2= 0.0 7975 epsilon= 0.01
step= 75 -- reward= -89.42019113196709 -- cost1= -2433.0 6010 --cost2= 0.0 7984 epsilon= 0.01
step= 76 -- reward= -85.1389636752134 -- cost1= -2356.0 6068 --cost2= 0.0 8016 epsilon= 0.01
step= 77 -- reward= -86.44423465423417 -- cost1= -2402.0 6072 --cost2= 0.0 8022 epsilon= 0.01
step= 78 -- reward= -85.66800893550857 -- cost1= -2381.0 6066 --cost2= 0.0 7906 epsilon= 0.01
step= 79 -- reward= -86.5536790986788 -- cost1= -2361.0 6044 --cost2= 0.0 8045 epsilon= 0.01
step= 80 -- reward= -83.87051670551656 -- cost1= -2271.0 6054 --cost2= 0.0 8011 epsilon= 0.01
step= 81 -- reward= -86.65590857671708 -- cost1= -2410.0 6080 --cost2= 0.0 7924 epsilon= 0.01
step= 82 -- reward= -88.3521969696966 -- cost1= -2424.0 6037 --cost2= 0.0 7951 epsilon= 0.01
step= 83 -- reward= -85.44759906759867 -- cost1= -2336.0 6022 --cost2= 0.0 8030 epsilon= 0.01
step= 84 -- reward= -87.6255778943275 -- cost1= -2429.0 6027 --cost2= 0.0 8088 epsilon= 0.01
step= 85 -- reward= -89.03883886946339 -- cost1= -2425.0 6001 --cost2= 0.0 8077 epsilon= 0.01
step= 86 -- reward= -86.81504953379921 -- cost1= -2388.0 6048 --cost2= 0.0 8013 epsilon= 0.01
step= 87 -- reward= -85.12641462703932 -- cost1= -2356.0 6065 --cost2= 0.0 7973 epsilon= 0.01
step= 88 -- reward= -86.85981789044261 -- cost1= -2394.0 6017 --cost2= 0.0 7982 epsilon= 0.01
step= 89 -- reward= -91.88937354312309 -- cost1= -2535.0 6003 --cost2= 0.0 7992 epsilon= 0.01
step= 90 -- reward= -89.96361739567594 -- cost1= -2455.0 6012 --cost2= 0.0 8143 epsilon= 0.01
step= 91 -- reward= -89.55443473193424 -- cost1= -2484.0 5998 --cost2= 0.0 7929 epsilon= 0.01
step= 92 -- reward= -88.28777534964998 -- cost1= -2437.0 6048 --cost2= 0.0 7968 epsilon= 0.01
step= 93 -- reward= -84.7086256798754 -- cost1= -2328.0 6072 --cost2= 0.0 7899 epsilon= 0.01
step= 94 -- reward= -88.50254079254043 -- cost1= -2437.0 6032 --cost2= 0.0 7904 epsilon= 0.01
step= 95 -- reward= -85.978210441519 -- cost1= -2355.0 6048 --cost2= 0.0 7938 epsilon= 0.01
step= 96 -- reward= -85.32095325426185 -- cost1= -2363.0 6065 --cost2= 0.0 7908 epsilon= 0.01
step= 97 -- reward= -86.79679778554754 -- cost1= -2371.0 6019 --cost2= 0.0 8043 epsilon= 0.01
step= 98 -- reward= -86.06992084304548 -- cost1= -2372.0 6064 --cost2= 0.0 7944 epsilon= 0.01
step= 99 -- reward= -86.22810800310766 -- cost1= -2356.0 6041 --cost2= 0.0 8041 epsilon= 0.01
step= 100 -- reward= -86.22500097125074 -- cost1= -2349.0 6034 --cost2= 0.0 7990 epsilon= 0.01
