"Step","active-0","sunny-durian-3 - active-0__MIN","sunny-durian-3 - active-0__MAX"
"276326","12","12","12"
"277279","14","14","14"
"277390","11","11","11"
"277418","11","11","11"
"278245","5","5","5"
"279785","11","11","11"
"279806","15","15","15"
"280929","9","9","9"
"281058","11","11","11"
"282154","19","19","19"
"283557","11","11","11"
"286181","12","12","12"
"290051","11","11","11"
"290114","7","7","7"
"290209","17","17","17"
"290993","11","11","11"
"291295","11","11","11"
"291949","12","12","12"
"292454","9","9","9"
"292697","15","15","15"
"293245","8","8","8"
"293946","11","11","11"
"294669","6","6","6"
"295391","13","13","13"
"296099","9","9","9"
"298126","12","12","12"
"298641","12","12","12"
"298694","7","7","7"
"299137","10","10","10"
"300966","6","6","6"
"303069","10","10","10"
"304265","4","4","4"
"304802","11","11","11"
"304936","9","9","9"
"305316","6","6","6"
"305949","4","4","4"
"306907","6","6","6"
"307274","10","10","10"
"308631","5","5","5"
"308671","9","9","9"
"308820","9","9","9"
"309067","7","7","7"
"309698","7","7","7"
"309742","6","6","6"
"311028","10","10","10"
"314415","9","9","9"
"315493","4","4","4"
"315826","9","9","9"
"318516","9","9","9"
"318531","9","9","9"
"318939","11","11","11"
"321221","5","5","5"
"321232","8","8","8"
"321711","9","9","9"
"322771","8","8","8"
"323322","7","7","7"
"323337","9","9","9"
"326644","8","8","8"
"327473","11","11","11"
"329740","8","8","8"
"330904","6","6","6"
"331055","8","8","8"
"331923","6","6","6"
"331968","6","6","6"
"332023","7","7","7"
"333658","10","10","10"
"335539","11","11","11"
"336489","8","8","8"
"339175","5","5","5"
"343149","7","7","7"
"343542","8","8","8"
"343906","8","8","8"
"344166","9","9","9"
"345400","10","10","10"
"346149","4","4","4"
"346862","7","7","7"
"347680","6","6","6"
"348180","9","9","9"
"349024","8","8","8"
"350496","10","10","10"
"350824","4","4","4"
"353237","6","6","6"
"354197","7","7","7"
"355649","9","9","9"
"356133","8","8","8"
"360141","6","6","6"
"360228","10","10","10"
"360539","7","7","7"
"360599","9","9","9"
"360751","3","3","3"
"361290","6","6","6"
"361684","5","5","5"
"362697","9","9","9"
"362837","11","11","11"
"363096","8","8","8"
"363770","9","9","9"
"364289","9","9","9"
"364594","9","9","9"
"365512","7","7","7"
"366551","8","8","8"
"367722","11","11","11"
"368118","7","7","7"
"368916","7","7","7"
"369374","5","5","5"
"369387","9","9","9"
"370975","6","6","6"
"371478","6","6","6"
"372194","7","7","7"
"373188","5","5","5"
"375047","11","11","11"
"377155","10","10","10"
"378835","9","9","9"
"380979","4","4","4"
"384863","8","8","8"
