"Step","active-1","sunny-durian-3 - active-1__MIN","sunny-durian-3 - active-1__MAX"
"1212","4","4","4"
"2413","4","4","4"
"3022","1","1","1"
"3614","4","4","4"
"4417","1","1","1"
"5153","2","2","2"
"7675","2","2","2"
"10312","3","3","3"
"11618","3","3","3"
"11976","5","5","5"
"13630","3","3","3"
"14214","4","4","4"
"14773","3","3","3"
"15276","3","3","3"
"15726","4","4","4"
"15767","3","3","3"
"15952","4","4","4"
"15953","1","1","1"
"20228","3","3","3"
"20383","1","1","1"
"21379","3","3","3"
"24845","2","2","2"
"27613","2","2","2"
"28018","3","3","3"
"28865","3","3","3"
"29753","4","4","4"
"30693","4","4","4"
"30898","3","3","3"
"31387","2","2","2"
"31931","3","3","3"
"33221","2","2","2"
"33449","2","2","2"
"34297","4","4","4"
"34528","2","2","2"
"35028","3","3","3"
"35956","2","2","2"
"37399","2","2","2"
"40510","3","3","3"
"41242","2","2","2"
"42232","2","2","2"
"43140","4","4","4"
"43932","3","3","3"
"44749","4","4","4"
"45456","1","1","1"
"45792","3","3","3"
"45809","5","5","5"
"46164","2","2","2"
"47284","2","2","2"
"48323","2","2","2"
"48621","0","0","0"
"50039","3","3","3"
"50393","1","1","1"
"52194","2","2","2"
"52260","3","3","3"
"52931","3","3","3"
"53071","3","3","3"
"53248","0","0","0"
"53410","3","3","3"
"53627","2","2","2"
"54955","2","2","2"
"55451","3","3","3"
"56066","4","4","4"
"57907","2","2","2"
"59633","3","3","3"
"60616","3","3","3"
"60716","3","3","3"
"64047","2","2","2"
"64945","4","4","4"
"65580","2","2","2"
"66943","3","3","3"
"67630","4","4","4"
"69024","2","2","2"
"71743","3","3","3"
"73846","1","1","1"
"74076","3","3","3"
"75565","3","3","3"
"79832","3","3","3"
"80146","1","1","1"
"82217","3","3","3"
"82449","2","2","2"
"84392","3","3","3"
"84673","3","3","3"
"85255","4","4","4"
"86921","3","3","3"
"87754","5","5","5"
"88070","1","1","1"
"89633","3","3","3"
"90478","4","4","4"
"91258","3","3","3"
"91975","2","2","2"
"96720","2","2","2"
"96930","2","2","2"
"101117","3","3","3"
"101345","2","2","2"
"103794","2","2","2"
"104913","5","5","5"
"105368","2","2","2"
"105793","5","5","5"
"106253","3","3","3"
"106996","2","2","2"
"107754","4","4","4"
"109619","3","3","3"
"110004","1","1","1"
"111856","1","1","1"
"112562","2","2","2"
"115003","2","2","2"
"115438","3","3","3"
"117156","3","3","3"
"119396","2","2","2"
"119875","5","5","5"
"119947","3","3","3"
"120802","3","3","3"
"121136","2","2","2"
"121463","2","2","2"
"123258","3","3","3"
"123821","4","4","4"
"128843","6","6","6"
"130298","2","2","2"
"131121","3","3","3"
"132706","5","5","5"
"132842","4","4","4"
"133414","2","2","2"
"134886","4","4","4"
"135480","6","6","6"
"135518","3","3","3"
"136302","2","2","2"
"136951","3","3","3"
"137433","5","5","5"
"139073","1","1","1"
"140975","3","3","3"
"141853","3","3","3"
"144503","5","5","5"
"144531","3","3","3"
"145380","1","1","1"
"146278","5","5","5"
"146786","2","2","2"
"147102","3","3","3"
"150233","2","2","2"
"153166","0","0","0"
"153962","2","2","2"
"154550","1","1","1"
"154622","6","6","6"
"157395","3","3","3"
"157634","4","4","4"
"158989","3","3","3"
"160263","3","3","3"
"160832","5","5","5"
"161273","2","2","2"
"164656","5","5","5"
"166976","6","6","6"
"168291","2","2","2"
"168338","5","5","5"
"170094","5","5","5"
"170518","2","2","2"
"170826","3","3","3"
"174553","4","4","4"
"175148","4","4","4"
"175615","3","3","3"
"177093","3","3","3"
"178614","2","2","2"
"178664","0","0","0"
"180004","3","3","3"
"180492","1","1","1"
"180738","2","2","2"
"181732","3","3","3"
"181884","7","7","7"
"182929","3","3","3"
"185784","2","2","2"
"186097","4","4","4"
"186823","1","1","1"
"187271","4","4","4"
"187452","0","0","0"
"187916","2","2","2"
"190159","0","0","0"
"192396","4","4","4"
"192515","2","2","2"
"192639","4","4","4"
"193462","3","3","3"
"193644","2","2","2"
"193841","4","4","4"
"193990","2","2","2"
"196865","5","5","5"
"197878","3","3","3"
"197917","1","1","1"
"199115","1","1","1"
"202224","4","4","4"
"204855","6","6","6"
"205829","4","4","4"
"206318","2","2","2"
"206453","4","4","4"
"206917","3","3","3"
"206994","6","6","6"
"207181","3","3","3"
"207632","3","3","3"
"209436","4","4","4"
"214685","3","3","3"
"216782","7","7","7"
"217371","1","1","1"
"217456","4","4","4"
"218696","5","5","5"
"219256","5","5","5"
"223680","3","3","3"
"225014","4","4","4"
"225792","4","4","4"
"226087","5","5","5"
"232975","3","3","3"
"233426","4","4","4"
"234249","4","4","4"
"235260","3","3","3"
"235421","3","3","3"
"235777","3","3","3"
"236139","4","4","4"
"236703","4","4","4"
"237157","3","3","3"
"240624","6","6","6"
"240744","4","4","4"
"240826","4","4","4"
"241157","2","2","2"
"241608","5","5","5"
"242266","3","3","3"
"243171","4","4","4"
"243830","5","5","5"
"244218","3","3","3"
"244446","2","2","2"
"247108","0","0","0"
"247665","3","3","3"
"249500","5","5","5"
"249844","3","3","3"
"250914","4","4","4"
"252803","3","3","3"
"253672","4","4","4"
"253743","4","4","4"
"254265","3","3","3"
"255460","3","3","3"
"257343","5","5","5"
"260031","2","2","2"
"260668","6","6","6"
"263443","1","1","1"
"266223","6","6","6"
"268063","6","6","6"
"269478","6","6","6"
"270435","6","6","6"
"272146","2","2","2"
"272160","3","3","3"
"274693","3","3","3"
"275449","4","4","4"
"276341","4","4","4"
"277047","4","4","4"
"277793","4","4","4"
"280599","5","5","5"
"282571","4","4","4"
"283223","2","2","2"
"283676","4","4","4"
"286591","7","7","7"
"287787","1","1","1"
"291537","5","5","5"
"291876","2","2","2"
"292954","2","2","2"
"293058","5","5","5"
"293799","3","3","3"
"297746","4","4","4"
"299508","4","4","4"
"301106","5","5","5"
"301960","6","6","6"
"304948","6","6","6"
"305449","7","7","7"
"305868","8","8","8"
"309085","4","4","4"
"310118","8","8","8"
"310330","7","7","7"
"310519","8","8","8"
"315024","7","7","7"
"315482","6","6","6"
"316738","5","5","5"
"320115","7","7","7"
"320287","7","7","7"
"322842","8","8","8"
"323361","8","8","8"
"325289","5","5","5"
"328044","6","6","6"
"330233","7","7","7"
"330490","8","8","8"
"331040","8","8","8"
"332857","7","7","7"
"334575","6","6","6"
