"Step","12-static-1","12-static - drop-0__MIN","12-static - drop-0__MAX","12-dynamic","12-dynamic - drop-0__MIN","12-dynamic - drop-0__MAX","12-ofb","12-ofbt - drop-0__MIN","12-ofbt - drop-0__MAX","12-every-10","12-every-10 - drop-0__MIN","12-every-10 - drop-0__MAX","12-every-100","12-every-100 - drop-0__MIN","12-every-100 - drop-0__MAX"
"484","","","","","","","13","13","13","","","","","",""
"491","","","","","","","13","13","13","","","","","",""
"494","14","14","14","6","6","6","","","","","","","11","11","11"
"512","","","","","","","7","7","7","","","","","",""
"515","","","","","","","","","","","","","13","13","13"
"517","","","","","","","","","","11","11","11","","",""
"519","14","14","14","0","0","0","","","","","","","","",""
"521","","","","","","","14","14","14","","","","13","13","13"
"524","","","","","","","12","12","12","","","","","",""
"535","","","","","","","","","","7","7","7","10","10","10"
"537","","","","","","","","","","","","","12","12","12"
"540","","","","","","","","","","13","13","13","","",""
"561","","","","","","","6","6","6","","","","","",""
"565","","","","","","","","","","","","","9","9","9"
"569","","","","","","","8","8","8","","","","","",""
"572","","","","","","","10","10","10","","","","","",""
"574","","","","","","","","","","0","0","0","","",""
"576","","","","","","","7","7","7","","","","","",""
"578","3","3","3","10","10","10","","","","","","","","",""
"579","","","","","","","","","","0","0","0","","",""
"581","","","","","","","4","4","4","","","","","",""
"582","6","6","6","12","12","12","6","6","6","","","","","",""
"585","","","","","","","","","","","","","8","8","8"
"586","","","","","","","","","","0","0","0","","",""
"591","","","","","","","","","","","","","8","8","8"
"592","","","","","","","","","","4","4","4","","",""
"596","","","","","","","","","","4","4","4","2","2","2"
"598","","","","","","","","","","6","6","6","","",""
"613","6","6","6","6","6","6","","","","","","","","",""
"619","","","","","","","","","","4","4","4","","",""
"623","","","","","","","","","","3","3","3","","",""
"630","","","","","","","9","9","9","","","","7","7","7"
"637","","","","","","","","","","7","7","7","","",""
"641","","","","","","","12","12","12","","","","","",""
"646","9","9","9","5","5","5","","","","","","","","",""
"649","9","9","9","2","2","2","","","","","","","","",""
"654","","","","","","","9","9","9","","","","","",""
"668","","","","","","","9","9","9","8","8","8","6","6","6"
"670","","","","","","","10","10","10","","","","","",""
"673","","","","","","","8","8","8","","","","0","0","0"
"677","","","","","","","7","7","7","","","","","",""
"682","","","","","","","","","","","","","1","1","1"
"686","","","","","","","5","5","5","","","","","",""
"687","6","6","6","3","3","3","","","","","","","","",""
"689","","","","","","","","","","","","","4","4","4"
"698","5","5","5","1","1","1","","","","","","","","",""
"701","","","","","","","5","5","5","","","","","",""
"703","","","","","","","","","","3","3","3","","",""
"714","","","","","","","","","","","","","0","0","0"
"726","","","","","","","","","","11","11","11","","",""
"731","","","","","","","9","9","9","","","","0","0","0"
"733","","","","","","","","","","","","","0","0","0"
"742","0","0","0","3","3","3","","","","14","14","14","","",""
"745","","","","","","","","","","14","14","14","","",""
"747","","","","","","","","","","11","11","11","","",""
"748","","","","","","","","","","","","","0","0","0"
"758","","","","","","","","","","","","","0","0","0"
