"Step","12-static-1","12-static - latency-1__MIN","12-static - latency-1__MAX","12-dynamic","12-dynamic - latency-1__MIN","12-dynamic - latency-1__MAX","12-ofb","12-ofbt - latency-1__MIN","12-ofbt - latency-1__MAX","12-every-10","12-every-10 - latency-1__MIN","12-every-10 - latency-1__MAX","12-every-100","12-every-100 - latency-1__MIN","12-every-100 - latency-1__MAX"
"516","0","0","0","","","","","","","","","","","",""
"518","","","","","","","","","","0","0","0","0","0","0"
"519","","","","","","","","","","0","0","0","","",""
"520","","","","","","","","","","","","","0","0","0"
"521","","","","","","","","","","","","","0","0","0"
"522","0","0","0","","","","","","","","","","0","0","0"
"524","0","0","0","0","0","0","0","0","0","","","","","",""
"526","","","","0","0","0","0","0","0","","","","","",""
"532","","","","","","","","","","0","0","0","","",""
"533","0","0","0","","","","","","","","","","","",""
"543","","","","19.333333333333332","19.333333333333332","19.333333333333332","0","0","0","","","","","",""
"561","0","0","0","","","","","","","","","","0","0","0"
"569","","","","","","","","","","","","","0","0","0"
"574","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","",""
"576","","","","","","","","","","0","0","0","","",""
"591","","","","","","","","","","0","0","0","0","0","0"
"594","","","","0","0","0","0","0","0","","","","","",""
"595","0","0","0","","","","","","","","","","","",""
"597","","","","0","0","0","0","0","0","","","","","",""
"602","","","","","","","","","","","","","0","0","0"
"603","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","0","0","0","","","","","",""
"604","0","0","0","","","","","","","","","","0","0","0"
"609","","","","0","0","0","0","0","0","","","","","",""
"617","","","","0","0","0","0","0","0","","","","","",""
"627","","","","0","0","0","0","0","0","","","","","",""
"629","","","","","","","","","","0","0","0","","",""
"634","","","","","","","","","","","","","0","0","0"
"641","","","","0.2","0.2","0.2","0","0","0","","","","","",""
"645","0","0","0","","","","","","","","","","","",""
"650","0","0","0","","","","","","","","","","","",""
"656","0","0","0","","","","","","","","","","","",""
"659","0","0","0","","","","","","","","","","","",""
"670","","","","","","","","","","","","","0","0","0"
"672","0","0","0","","","","","","","","","","","",""
"675","","","","","","","","","","","","","0","0","0"
"676","","","","","","","","","","","","","0","0","0"
"681","","","","0","0","0","0","0","0","0","0","0","","",""
"683","","","","","","","","","","0","0","0","","",""
"685","","","","5.428571428571429","5.428571428571429","5.428571428571429","0","0","0","","","","","",""
"687","","","","","","","","","","0","0","0","","",""
"688","","","","","","","","","","0","0","0","","",""
"690","","","","","","","","","","0","0","0","","",""
"696","","","","","","","","","","0","0","0","","",""
"699","","","","","","","","","","0","0","0","0","0","0"
"701","","","","4","4","4","0","0","0","0.42857142857142855","0.42857142857142855","0.42857142857142855","0","0","0"
"703","","","","","","","","","","0","0","0","","",""
"710","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","",""
"712","","","","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"727","0","0","0","","","","","","","","","","","",""
"739","","","","0","0","0","0","0","0","","","","","",""
"745","","","","","","","","","","","","","0","0","0"
"749","0","0","0","","","","","","","","","","","",""
"753","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","","","","","",""
"754","14.666666666666666","14.666666666666666","14.666666666666666","","","","","","","","","","","",""
"760","","","","","","","","","","","","","35","35","35"
"765","0.5","0.5","0.5","","","","","","","0","0","0","","",""
"767","","","","0","0","0","0","0","0","","","","","",""
"768","","","","","","","","","","","","","22","22","22"
"770","","","","","","","","","","","","","17.857142857142858","17.857142857142858","17.857142857142858"
"774","","","","","","","","","","","","","9.142857142857142","9.142857142857142","9.142857142857142"
"778","","","","0","0","0","0","0","0","","","","","",""
"781","","","","","","","","","","","","","5.666666666666667","5.666666666666667","5.666666666666667"
"782","0","0","0","","","","","","","","","","","",""
"787","","","","","","","","","","0","0","0","","",""
"791","0","0","0","","","","","","","","","","","",""
"792","","","","","","","","","","","","","0.6","0.6","0.6"
"796","","","","","","","","","","9.5","9.5","9.5","","",""
"798","","","","","","","","","","","","","0","0","0"
"803","0","0","0","","","","","","","","","","","",""
"827","17.666666666666668","17.666666666666668","17.666666666666668","","","","","","","","","","","",""
"838","9.333333333333334","9.333333333333334","9.333333333333334","","","","","","","2","2","2","","",""
"839","","","","","","","","","","0","0","0","","",""
"842","","","","1","1","1","0","0","0","","","","","",""
"844","4.8","4.8","4.8","","","","","","","","","","2.5714285714285716","2.5714285714285716","2.5714285714285716"
"849","","","","","","","","","","","","","0","0","0"
"852","","","","","","","","","","","","","0","0","0"
"854","","","","","","","","","","","","","0","0","0"
"860","","","","0","0","0","0","0","0","","","","","",""
"861","","","","","","","","","","","","","0","0","0"
"863","","","","0","0","0","0","0","0","","","","","",""
