"Step","12-static-1","12-static - reward__MIN","12-static - reward__MAX","12-dynamic","12-dynamic - reward__MIN","12-dynamic - reward__MAX","12-ofb","12-ofbt - reward__MIN","12-ofbt - reward__MAX","12-every-10","12-every-10 - reward__MIN","12-every-10 - reward__MAX","12-every-100","12-every-100 - reward__MIN","12-every-100 - reward__MAX"
"1000","0.49222222222222256","0.49222222222222256","0.49222222222222256","0.6132222222222212","0.6132222222222212","0.6132222222222212","0.32099999999999645","0.32099999999999645","0.32099999999999645","0.5515253968253971","0.5515253968253971","0.5515253968253971","0.6522222222222221","0.6522222222222221","0.6522222222222221"
"2000","0.2368849206349167","0.2368849206349167","0.2368849206349167","0.5510904761904757","0.5510904761904757","0.5510904761904757","0.6627896825396842","0.6627896825396842","0.6627896825396842","0.3375174603174595","0.3375174603174595","0.3375174603174595","0.39444444444444077","0.39444444444444077","0.39444444444444077"
"3000","0.7789928571428573","0.7789928571428573","0.7789928571428573","0.5190238095238097","0.5190238095238097","0.5190238095238097","0.8727095238095236","0.8727095238095236","0.8727095238095236","0.7182603174603173","0.7182603174603173","0.7182603174603173","-0.10144444444444711","-0.10144444444444711","-0.10144444444444711"
"4000","0.8586761904761901","0.8586761904761901","0.8586761904761901","0.5974880952380947","0.5974880952380947","0.5974880952380947","0.8975555555555553","0.8975555555555553","0.8975555555555553","0.5279825396825399","0.5279825396825399","0.5279825396825399","0.1341111111111066","0.1341111111111066","0.1341111111111066"
"5000","0.8558730158730157","0.8558730158730157","0.8558730158730157","0.5676666666666655","0.5676666666666655","0.5676666666666655","0.8319547619047616","0.8319547619047616","0.8319547619047616","0.7519015873015885","0.7519015873015885","0.7519015873015885","-0.187666666666665","-0.187666666666665","-0.187666666666665"
"6000","0.8356960317460318","0.8356960317460318","0.8356960317460318","0.7186960317460326","0.7186960317460326","0.7186960317460326","0.9005468253968254","0.9005468253968254","0.9005468253968254","0.826807936507937","0.826807936507937","0.826807936507937","-0.14055555555555732","-0.14055555555555732","-0.14055555555555732"
"7000","0.8556642857142852","0.8556642857142852","0.8556642857142852","0.6713357142857131","0.6713357142857131","0.6713357142857131","0.8643785714285712","0.8643785714285712","0.8643785714285712","0.8370460317460314","0.8370460317460314","0.8370460317460314","-0.23122222222222225","-0.23122222222222225","-0.23122222222222225"
"8000","0.8394611111111111","0.8394611111111111","0.8394611111111111","0.743111111111111","0.743111111111111","0.743111111111111","1","1","1","0.8337404761904762","0.8337404761904762","0.8337404761904762","-0.22755555555555362","-0.22755555555555362","-0.22755555555555362"
"9000","0.8457841269841265","0.8457841269841265","0.8457841269841265","0.7979047619047617","0.7979047619047617","0.7979047619047617","0.9856119047619049","0.9856119047619049","0.9856119047619049","0.8366468253968252","0.8366468253968252","0.8366468253968252","-0.25522222222222146","-0.25522222222222146","-0.25522222222222146"
"10000","0.832797619047619","0.832797619047619","0.832797619047619","0.7694999999999997","0.7694999999999997","0.7694999999999997","0.9069944444444445","0.9069944444444445","0.9069944444444445","0.839413492063492","0.839413492063492","0.839413492063492","-0.2602222222222196","-0.2602222222222196","-0.2602222222222196"
"11000","0.8270761904761901","0.8270761904761901","0.8270761904761901","0.7177253968253968","0.7177253968253968","0.7177253968253968","0.9197658730158729","0.9197658730158729","0.9197658730158729","0.8540238095238093","0.8540238095238093","0.8540238095238093","-0.30277777777777376","-0.30277777777777376","-0.30277777777777376"
"12000","0.8436349206349203","0.8436349206349203","0.8436349206349203","0.8618222222222223","0.8618222222222223","0.8618222222222223","0.9806396825396826","0.9806396825396826","0.9806396825396826","0.8365396825396827","0.8365396825396827","0.8365396825396827","-0.2954444444444406","-0.2954444444444406","-0.2954444444444406"
"13000","0.8397357142857143","0.8397357142857143","0.8397357142857143","0.8443809523809525","0.8443809523809525","0.8443809523809525","0.9166412698412697","0.9166412698412697","0.9166412698412697","0.8377595238095236","0.8377595238095236","0.8377595238095236","-0.09322222222222991","-0.09322222222222991","-0.09322222222222991"
"14000","0.8521325396825397","0.8521325396825397","0.8521325396825397","0.8581047619047619","0.8581047619047619","0.8581047619047619","0.8373912698412694","0.8373912698412694","0.8373912698412694","0.7970055555555555","0.7970055555555555","0.7970055555555555","0.6821111111111128","0.6821111111111128","0.6821111111111128"
"15000","0.8599238095238096","0.8599238095238096","0.8599238095238096","0.8636134920634919","0.8636134920634919","0.8636134920634919","0.9487920634920634","0.9487920634920634","0.9487920634920634","0.7774753968253969","0.7774753968253969","0.7774753968253969","0.8604944444444443","0.8604944444444443","0.8604944444444443"
"16000","0.8380126984126983","0.8380126984126983","0.8380126984126983","0.8012047619047619","0.8012047619047619","0.8012047619047619","0.9147777777777778","0.9147777777777778","0.9147777777777778","0.7795373015873014","0.7795373015873014","0.7795373015873014","0.8274246031746029","0.8274246031746029","0.8274246031746029"
"17000","0.8328738095238094","0.8328738095238094","0.8328738095238094","0.875513492063492","0.875513492063492","0.875513492063492","0.8767777777777773","0.8767777777777773","0.8767777777777773","0.7408071428571429","0.7408071428571429","0.7408071428571429","0.8361865079365077","0.8361865079365077","0.8361865079365077"
"18000","0.8404103174603171","0.8404103174603171","0.8404103174603171","0.8653952380952383","0.8653952380952383","0.8653952380952383","0.8859999999999997","0.8859999999999997","0.8859999999999997","0.7862730158730151","0.7862730158730151","0.7862730158730151","0.8305119047619044","0.8305119047619044","0.8305119047619044"
"19000","0.8387515873015872","0.8387515873015872","0.8387515873015872","0.8603285714285713","0.8603285714285713","0.8603285714285713","0.8743111111111109","0.8743111111111109","0.8743111111111109","0.7620738095238098","0.7620738095238098","0.7620738095238098","0.8354666666666669","0.8354666666666669","0.8354666666666669"
"20000","0.832276984126984","0.832276984126984","0.832276984126984","0.88030873015873","0.88030873015873","0.88030873015873","0.8367388888888888","0.8367388888888888","0.8367388888888888","0.7676166666666667","0.7676166666666667","0.7676166666666667","0.8347730158730159","0.8347730158730159","0.8347730158730159"
"21000","0.8375134920634922","0.8375134920634922","0.8375134920634922","0.8758523809523806","0.8758523809523806","0.8758523809523806","0.8407246031746032","0.8407246031746032","0.8407246031746032","0.7951563492063491","0.7951563492063491","0.7951563492063491","0.8316579365079367","0.8316579365079367","0.8316579365079367"
"22000","0.8370126984126981","0.8370126984126981","0.8370126984126981","0.9057238095238092","0.9057238095238092","0.9057238095238092","0.8720650793650794","0.8720650793650794","0.8720650793650794","0.8280706349206345","0.8280706349206345","0.8280706349206345","0.8399698412698414","0.8399698412698414","0.8399698412698414"
"23000","0.8381214285714285","0.8381214285714285","0.8381214285714285","0.8769936507936507","0.8769936507936507","0.8769936507936507","1","1","1","0.8252388888888889","0.8252388888888889","0.8252388888888889","0.8374373015873015","0.8374373015873015","0.8374373015873015"
"24000","0.8368261904761902","0.8368261904761902","0.8368261904761902","0.8666936507936506","0.8666936507936506","0.8666936507936506","1","1","1","0.8367746031746032","0.8367746031746032","0.8367746031746032","0.8311595238095236","0.8311595238095236","0.8311595238095236"
"25000","0.8420111111111109","0.8420111111111109","0.8420111111111109","0.8599888888888887","0.8599888888888887","0.8599888888888887","1","1","1","0.8380484126984127","0.8380484126984127","0.8380484126984127","0.8431880952380952","0.8431880952380952","0.8431880952380952"
"26000","0.8316801587301591","0.8316801587301591","0.8316801587301591","0.8464452380952381","0.8464452380952381","0.8464452380952381","1","1","1","0.8323785714285715","0.8323785714285715","0.8323785714285715","0.9321992063492062","0.9321992063492062","0.9321992063492062"
"27000","0.8333698412698408","0.8333698412698408","0.8333698412698408","0.8881103174603172","0.8881103174603172","0.8881103174603172","1","1","1","0.8330960317460319","0.8330960317460319","0.8330960317460319","0.9544444444444445","0.9544444444444445","0.9544444444444445"
"28000","0.83589126984127","0.83589126984127","0.83589126984127","0.8911753968253966","0.8911753968253966","0.8911753968253966","1","1","1","0.8410690476190477","0.8410690476190477","0.8410690476190477","0.8258888888888881","0.8258888888888881","0.8258888888888881"
"29000","0.8319063492063492","0.8319063492063492","0.8319063492063492","0.8397809523809523","0.8397809523809523","0.8397809523809523","0.9630000000000001","0.9630000000000001","0.9630000000000001","0.830677777777778","0.830677777777778","0.830677777777778","0.7816666666666657","0.7816666666666657","0.7816666666666657"
"30000","0.8319444444444444","0.8319444444444444","0.8319444444444444","0.8752571428571426","0.8752571428571426","0.8752571428571426","0.9675555555555555","0.9675555555555555","0.9675555555555555","0.8373865079365079","0.8373865079365079","0.8373865079365079","0.7639999999999992","0.7639999999999992","0.7639999999999992"
"31000","0.8362928571428572","0.8362928571428572","0.8362928571428572","0.8859833333333333","0.8859833333333333","0.8859833333333333","0.9892222222222222","0.9892222222222222","0.9892222222222222","0.8302373015873017","0.8302373015873017","0.8302373015873017","0.7399999999999998","0.7399999999999998","0.7399999999999998"
"32000","0.82639126984127","0.82639126984127","0.82639126984127","0.8791642857142856","0.8791642857142856","0.8791642857142856","1","1","1","0.834353174603175","0.834353174603175","0.834353174603175","0.7404444444444442","0.7404444444444442","0.7404444444444442"
"33000","0.8364547619047619","0.8364547619047619","0.8364547619047619","0.8728801587301585","0.8728801587301585","0.8728801587301585","0.9572428571428572","0.9572428571428572","0.9572428571428572","0.8390746031746029","0.8390746031746029","0.8390746031746029","0.7221111111111105","0.7221111111111105","0.7221111111111105"
"34000","0.8414198412698413","0.8414198412698413","0.8414198412698413","0.8938777777777777","0.8938777777777777","0.8938777777777777","0.8891444444444445","0.8891444444444445","0.8891444444444445","0.8418380952380952","0.8418380952380952","0.8418380952380952","0.7299999999999998","0.7299999999999998","0.7299999999999998"
"35000","0.8404055555555556","0.8404055555555556","0.8404055555555556","0.8821722222222221","0.8821722222222221","0.8821722222222221","1","1","1","0.836209523809524","0.836209523809524","0.836209523809524","0.7471111111111104","0.7471111111111104","0.7471111111111104"
"36000","0.8368936507936504","0.8368936507936504","0.8368936507936504","0.8540214285714287","0.8540214285714287","0.8540214285714287","1","1","1","0.8387944444444443","0.8387944444444443","0.8387944444444443","0.7662222222222216","0.7662222222222216","0.7662222222222216"
"37000","0.833671428571429","0.833671428571429","0.833671428571429","0.8758095238095238","0.8758095238095238","0.8758095238095238","1","1","1","0.8271142857142855","0.8271142857142855","0.8271142857142855","0.7901111111111099","0.7901111111111099","0.7901111111111099"
"38000","0.8348365079365077","0.8348365079365077","0.8348365079365077","0.8664285714285714","0.8664285714285714","0.8664285714285714","1","1","1","0.8350682539682541","0.8350682539682541","0.8350682539682541","0.808999999999999","0.808999999999999","0.808999999999999"
"39000","0.8340000000000002","0.8340000000000002","0.8340000000000002","0.892970634920635","0.892970634920635","0.892970634920635","0.9176198412698411","0.9176198412698411","0.9176198412698411","0.8374706349206347","0.8374706349206347","0.8374706349206347","0.8165555555555545","0.8165555555555545","0.8165555555555545"
"40000","0.8324698412698412","0.8324698412698412","0.8324698412698412","0.9680603174603175","0.9680603174603175","0.9680603174603175","0.9767261904761906","0.9767261904761906","0.9767261904761906","0.8398507936507934","0.8398507936507934","0.8398507936507934","0.8407777777777767","0.8407777777777767","0.8407777777777767"
"41000","0.8324253968253968","0.8324253968253968","0.8324253968253968","0.9275039682539682","0.9275039682539682","0.9275039682539682","0.9556666666666668","0.9556666666666668","0.9556666666666668","0.8435166666666665","0.8435166666666665","0.8435166666666665","0.8511111111111104","0.8511111111111104","0.8511111111111104"
"42000","0.8332301587301584","0.8332301587301584","0.8332301587301584","0.8803","0.8803","0.8803","0.9611111111111112","0.9611111111111112","0.9611111111111112","0.8336666666666667","0.8336666666666667","0.8336666666666667","0.8566666666666657","0.8566666666666657","0.8566666666666657"
