step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,3498,11915,0,0,0,0,0.141,26.277,0.0,0.0,0.04183333333333334,2.18497374292374,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3535,12022,0,0,0,0,0.285,20.805,0.0,0.0,0.07770000000000005,1.7147779387279396,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3511,11848,0,0,0,0,0.283,10.998,0.0,0.0,0.07973333333333331,0.9103041347541356,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3527,11927,0,0,0,0,0.46,20.501,0.0,0.0,0.11961666666666665,1.6943631757131756,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3515,11846,0,0,0,0,0.378,19.852,0.0,0.0,0.10125000000000005,1.6307685939060923,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3476,12005,0,0,0,0,0.223,32.243,0.0,0.0,0.06365000000000004,2.658071620046616,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3572,12021,0,0,0,0,0.36,23.073,0.0,0.0,0.09845000000000001,1.9177577422577428,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3547,12011,0,0,0,0,0.233,18.783,0.0,0.0,0.06501666666666671,1.5578875901875915,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3502,11818,0,0,0,0,0.328,16.607,0.0,0.0,0.09560000000000005,1.3871536324786322,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3527,11962,0,0,0,0,0.213,27.244,0.0,0.0,0.05890000000000002,2.2549876845376873,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3529,11905,0,0,0,0,0.442,11.877,0.0,0.0,0.11954999999999996,0.9828130772005762,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3508,11928,0,0,0,0,0.165,28.233,0.0,0.0,0.048016666666666694,2.346381643356642,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3510,12000,0,0,0,0,1.337,11.695,0.0,0.0,0.34154999999999996,0.9678429903429893,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3561,12033,0,0,0,0,0.301,18.177,0.0,0.0,0.08088333333333332,1.494231193806195,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3550,12047,0,0,0,0,0.248,18.729,0.0,0.0,0.06853333333333338,1.5419929709179698,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3487,11884,0,0,0,0,0.188,8.069,0.0,0.0,0.054783333333333344,0.6719948051948054,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3532,11863,0,0,0,0,0.194,34.259,0.0,0.0,0.058250000000000045,2.839289196914198,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3463,12175,0,0,0,0,0.233,38.396,0.0,0.0,0.06583333333333335,3.1661573426573417,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3562,12131,0,0,0,0,0.936,29.44,0.0,0.0,0.24950000000000008,2.417361734099234,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3507,11904,0,0,0,0,1.096,19.847,0.0,0.0,0.3000499999999999,1.641419584582085,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3566,11994,0,0,0,0,0.631,18.999,0.0,0.0,0.15638333333333332,1.571677354589855,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3537,11938,0,0,0,0,0.222,21.92,0.0,0.0,0.06108333333333338,1.822784293484294,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3516,12053,0,0,0,0,0.515,32.182,0.0,0.0,0.13498333333333332,2.673768068043068,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3504,11906,0,0,0,0,0.223,9.173,0.0,0.0,0.06305000000000005,0.757860059385059,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3534,11896,0,0,0,0,0.165,19.815,0.0,0.0,0.04993333333333335,1.6572529304029295,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3460,11916,0,0,0,0,7.552,28.412,0.0,0.0,1.7077166666666663,2.366973264235764,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3489,11972,0,0,0,0,0.213,22.376,0.0,0.0,0.06160000000000003,1.8437275668775652,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3514,12090,0,0,0,0,0.764,30.514,0.0,0.0,0.20756666666666673,2.513404459429456,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3555,11987,0,0,0,0,0.278,47.561,0.0,0.0,0.07723333333333338,3.931384382284383,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3529,11987,0,0,0,0,0.183,31.286,0.0,0.0,0.052966666666666676,2.6199142357642335,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3470,12016,0,0,0,0,0.215,30.363,0.0,0.0,0.05946666666666668,2.5166233766233743,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,3528,12024,0,0,0,0,0.214,27.625,0.0,0.0,0.062250000000000014,2.2782576756576725,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
