"Step","ofb-final-steps2M-Seed1 - slice0:incoming-traffic","ofb-final-steps2M-Seed1 - slice0:incoming-traffic__MIN","ofb-final-steps2M-Seed1 - slice0:incoming-traffic__MAX","dynamic-final-steps2M-Seed1 - slice0:incoming-traffic","dynamic-final-steps2M-Seed1 - slice0:incoming-traffic__MIN","dynamic-final-steps2M-Seed1 - slice0:incoming-traffic__MAX","static-final-steps2M-Seed1 - slice0:incoming-traffic","static-final-steps2M-Seed1 - slice0:incoming-traffic__MIN","static-final-steps2M-Seed1 - slice0:incoming-traffic__MAX"
"20","","","","","","","4","4","4"
"110","","","","","","","6","6","6"
"140","","","","7","7","7","","",""
"160","","","","3","3","3","","",""
"170","","","","7","7","7","","",""
"230","","","","5","5","5","","",""
"310","","","","","","","10","10","10"
"340","","","","","","","6","6","6"
"360","","","","4","4","4","","",""
"470","","","","7","7","7","","",""
"500","","","","","","","8","8","8"
"610","6","6","6","","","","","",""
"730","7","7","7","","","","","",""
"750","","","","5","5","5","","",""
"800","7","7","7","4","4","4","","",""
"860","","","","4","4","4","","",""
"890","","","","7","7","7","","",""
"950","","","","11","11","11","","",""
"1050","","","","","","","3","3","3"
"1130","","","","5","5","5","","",""
"1170","8","8","8","","","","","",""
"1190","","","","9","9","9","","",""
"1320","","","","7","7","7","","",""
"1350","6","6","6","","","","","",""
"1540","","","","","","","4","4","4"
"1600","","","","6","6","6","","",""
"1610","","","","6","6","6","","",""
"1670","","","","","","","12","12","12"
"1700","","","","7","7","7","","",""
"1870","","","","","","","7","7","7"
"1900","4","4","4","","","","","",""
"1930","","","","","","","9","9","9"
"1950","","","","6","6","6","","",""
"1990","","","","5","5","5","","",""
"2080","","","","7","7","7","","",""
"2090","7","7","7","","","","","",""
"2130","9","9","9","","","","","",""
"2150","","","","9","9","9","","",""
"2220","","","","","","","8","8","8"
"2300","","","","5","5","5","","",""
"2310","9","9","9","","","","3","3","3"
"2370","8","8","8","","","","","",""
"2500","","","","","","","7","7","7"
"2510","9","9","9","","","","","",""
"2620","","","","4","4","4","","",""
"2650","","","","6","6","6","","",""
"2670","","","","5","5","5","","",""
"2740","4","4","4","","","","","",""
"2790","","","","9","9","9","","",""
"2850","9","9","9","","","","","",""
"2870","6","6","6","","","","","",""
"2970","","","","","","","8","8","8"
"2980","","","","5","5","5","","",""
"3000","","","","","","","8","8","8"
"3120","","","","","","","5","5","5"
"3180","","","","5","5","5","","",""
"3200","5","5","5","","","","","",""
"3220","","","","5","5","5","","",""
"3270","","","","8","8","8","","",""
"3310","","","","4","4","4","","",""
"3340","6","6","6","","","","","",""
"3350","13","13","13","","","","","",""
"3440","","","","","","","5","5","5"
"3450","","","","","","","7","7","7"
"3520","10","10","10","","","","","",""
"3550","","","","6","6","6","","",""
"3600","","","","","","","6","6","6"
"3630","7","7","7","","","","","",""
"3650","5","5","5","","","","","",""
"3680","","","","","","","7","7","7"
"3740","","","","","","","7","7","7"
"3750","","","","","","","9","9","9"
"3830","9","9","9","","","","","",""
"3870","","","","5","5","5","","",""
"3950","9","9","9","","","","","",""
"4040","","","","","","","7","7","7"
"4110","","","","6","6","6","","",""
"4190","","","","","","","7","7","7"
"4260","8","8","8","","","","","",""
"4270","","","","7","7","7","","",""
"4470","","","","","","","9","9","9"
"4530","","","","6","6","6","","",""
"4580","","","","6","6","6","","",""
"4620","9","9","9","","","","","",""
"4690","4","4","4","","","","","",""
"4790","","","","8","8","8","","",""
"4820","","","","5","5","5","","",""
"4840","","","","8","8","8","","",""
"4880","","","","6","6","6","","",""
"4940","","","","","","","5","5","5"
"4950","","","","","","","6","6","6"
"5100","","","","","","","8","8","8"
"5160","","","","9","9","9","","",""
"5170","","","","","","","5","5","5"
"5230","11","11","11","","","","","",""
"5310","","","","6","6","6","","",""
"5370","7","7","7","","","","","",""
"5410","","","","","","","6","6","6"
"5550","","","","","","","6","6","6"
"5570","","","","","","","9","9","9"
"5610","5","5","5","","","","","",""
"5800","","","","","","","6","6","6"
"5880","4","4","4","","","","","",""
"5930","","","","","","","6","6","6"
"5940","4","4","4","","","","","",""
