"Step","ofb-final-steps2M-Seed1 - learner:performance","ofb-final-steps2M-Seed1 - learner:performance__MIN","ofb-final-steps2M-Seed1 - learner:performance__MAX","dynamic-final-steps2M-Seed1 - learner:performance","dynamic-final-steps2M-Seed1 - learner:performance__MIN","dynamic-final-steps2M-Seed1 - learner:performance__MAX","static-final-steps2M-Seed1 - learner:performance","static-final-steps2M-Seed1 - learner:performance__MIN","static-final-steps2M-Seed1 - learner:performance__MAX"
"69000","-35.19243761577861","-35.19243761577861","-35.19243761577861","-13.021878064727039","-13.021878064727039","-13.021878064727039","-51.41744851258582","-51.41744851258582","-51.41744851258582"
"70000","-34.689688506981774","-34.689688506981774","-34.689688506981774","-12.86837003222342","-12.86837003222342","-12.86837003222342","-50.760357142857146","-50.760357142857146","-50.760357142857146"
"71000","-34.201101344911606","-34.201101344911606","-34.201101344911606","-12.731046807158746","-12.731046807158746","-12.731046807158746","-50.103799110452194","-50.103799110452194","-50.103799110452194"
"72000","-33.738695697577306","-33.738695697577306","-33.738695697577306","-12.582369987468674","-12.582369987468674","-12.582369987468674","-49.59358552631579","-49.59358552631579","-49.59358552631579"
"73000","-33.290040168915475","-33.290040168915475","-33.290040168915475","-12.459215676176745","-12.459215676176745","-12.459215676176745","-49.0692321557318","-49.0692321557318","-49.0692321557318"
"74000","-32.86133407843938","-32.86133407843938","-32.86133407843938","-12.319475208291","-12.319475208291","-12.319475208291","-48.47139046941679","-48.47139046941679","-48.47139046941679"
"75000","-32.44669172932334","-32.44669172932334","-32.44669172932334","-12.18837343358396","-12.18837343358396","-12.18837343358396","-47.97352631578948","-47.97352631578948","-47.97352631578948"
"76000","-32.02893747526714","-32.02893747526714","-32.02893747526714","-12.065223090621291","-12.065223090621291","-12.065223090621291","-47.5000173130194","-47.5000173130194","-47.5000173130194"
"77000","-31.62442632555417","-31.62442632555417","-31.62442632555417","-11.945100576115614","-11.945100576115614","-11.945100576115614","-47.10767259056733","-47.10767259056733","-47.10767259056733"
"78000","-31.236697513013326","-31.236697513013326","-31.236697513013326","-11.802585791401581","-11.802585791401581","-11.802585791401581","-46.783080296896095","-46.783080296896095","-46.783080296896095"
"79000","-30.853621395260326","-30.853621395260326","-30.853621395260326","-11.693658989245264","-11.693658989245264","-11.693658989245264","-46.44205529646903","-46.44205529646903","-46.44205529646903"
"80000","-30.49689849624063","-30.49689849624063","-30.49689849624063","-11.574790883458647","-11.574790883458647","-11.574790883458647","-46.20593750000002","-46.20593750000002","-46.20593750000002"
"81000","-30.147521581732136","-30.147521581732136","-30.147521581732136","-11.450085862805162","-11.450085862805162","-11.450085862805162","-45.955669265757","-45.955669265757","-45.955669265757"
"82000","-29.803296350632703","-29.803296350632703","-29.803296350632703","-11.323769026224097","-11.323769026224097","-11.323769026224097","-45.666254813863944","-45.666254813863944","-45.666254813863944"
"83000","-29.47909683848177","-29.47909683848177","-29.47909683848177","-11.205885949814295","-11.205885949814295","-11.205885949814295","-45.39189917564998","-45.39189917564998","-45.39189917564998"
"84000","-29.14366272824922","-29.14366272824922","-29.14366272824922","-11.100991317579664","-11.100991317579664","-11.100991317579664","-45.24108709273185","-45.24108709273185","-45.24108709273185"
"85000","-28.821384343210994","-28.821384343210994","-28.821384343210994","-10.993456435205664","-10.993456435205664","-10.993456435205664","-45.02849845201241","-45.02849845201241","-45.02849845201241"
"86000","-28.502316838608174","-28.502316838608174","-28.502316838608174","-10.923765081307922","-10.923765081307922","-10.923765081307922","-44.81350979192169","-44.81350979192169","-44.81350979192169"
"87000","-28.201171031025865","-28.201171031025865","-28.201171031025865","-10.833746002938382","-10.833746002938382","-10.833746002938382","-44.42726860254086","-44.42726860254086","-44.42726860254086"
"88000","-27.898645762132627","-27.898645762132627","-27.898645762132627","-10.735904391660972","-10.735904391660972","-10.735904391660972","-44.078663277511986","-44.078663277511986","-44.078663277511986"
"89000","-27.598483568471764","-27.598483568471764","-27.598483568471764","-10.650906057278029","-10.650906057278029","-10.650906057278029","-43.924319929036095","-43.924319929036095","-43.924319929036095"
"90000","-27.30352965747705","-27.30352965747705","-27.30352965747705","-10.573059732664996","-10.573059732664996","-10.573059732664996","-43.62603801169593","-43.62603801169593","-43.62603801169593"
"91000","-27.021275716764464","-27.021275716764464","-27.021275716764464","-10.491140626291003","-10.491140626291003","-10.491140626291003","-43.364242336610786","-43.364242336610786","-43.364242336610786"
"92000","-26.743441484145173","-26.743441484145173","-26.743441484145173","-10.410859349460608","-10.410859349460608","-10.410859349460608","-43.056364416476","-43.056364416476","-43.056364416476"
"93000","-26.46804511278198","-26.46804511278198","-26.46804511278198","-10.326928207615813","-10.326928207615813","-10.326928207615813","-42.75921052631582","-42.75921052631582","-42.75921052631582"
"94000","-26.20032794752842","-26.20032794752842","-26.20032794752842","-10.241143417053271","-10.241143417053271","-10.241143417053271","-42.48937569988804","-42.48937569988804","-42.48937569988804"
"95000","-25.93561535417494","-25.93561535417494","-25.93561535417494","-10.147192322912543","-10.147192322912543","-10.147192322912543","-42.14184210526319","-42.14184210526319","-42.14184210526319"
"96000","-25.678610588972457","-25.678610588972457","-25.678610588972457","-10.073016525689225","-10.073016525689225","-10.073016525689225","-41.782223135964934","-41.782223135964934","-41.782223135964934"
"97000","-25.42676924269439","-25.42676924269439","-25.42676924269439","-10.000098829548097","-10.000098829548097","-10.000098829548097","-41.43666576234402","-41.43666576234402","-41.43666576234402"
"98000","-25.17577106030385","-25.17577106030385","-25.17577106030385","-9.920479131502226","-9.920479131502226","-9.920479131502226","-41.02847744360904","-41.02847744360904","-41.02847744360904"
"99000","-24.943400167084402","-24.943400167084402","-24.943400167084402","-9.832898534214324","-9.832898534214324","-9.832898534214324","-43.488216754006245","-43.488216754006245","-43.488216754006245"
"100000","-24.701992481203032","-24.701992481203032","-24.701992481203032","-9.74628007518797","-9.74628007518797","-9.74628007518797","-46.681648496240626","-46.681648496240626","-46.681648496240626"
"101000","-23.885625939849646","-23.885625939849646","-23.885625939849646","-9.706148496240601","-9.706148496240601","-9.706148496240601","-49.699533834586504","-49.699533834586504","-49.699533834586504"
"102000","-22.498531954887234","-22.498531954887234","-22.498531954887234","-8.46023308270677","-8.46023308270677","-8.46023308270677","-51.64825187969928","-51.64825187969928","-51.64825187969928"
"103000","-21.69469172932333","-21.69469172932333","-21.69469172932333","-7.8478139097744375","-7.8478139097744375","-7.8478139097744375","-55.26041729323313","-55.26041729323313","-55.26041729323313"
"104000","-21.68640225563912","-21.68640225563912","-21.68640225563912","-7.575445488721805","-7.575445488721805","-7.575445488721805","-57.41187030075193","-57.41187030075193","-57.41187030075193"
"105000","-21.150870300751905","-21.150870300751905","-21.150870300751905","-7.382287593984962","-7.382287593984962","-7.382287593984962","-57.33252819548877","-57.33252819548877","-57.33252819548877"
"106000","-21.17442293233085","-21.17442293233085","-21.17442293233085","-7.2142612781954885","-7.2142612781954885","-7.2142612781954885","-57.876475563909835","-57.876475563909835","-57.876475563909835"
"107000","-21.190607142857164","-21.190607142857164","-21.190607142857164","-7.082813909774436","-7.082813909774436","-7.082813909774436","-58.3091071428572","-58.3091071428572","-58.3091071428572"
"108000","-21.202317669172952","-21.202317669172952","-21.202317669172952","-6.961994360902256","-6.961994360902256","-6.961994360902256","-58.47173872180458","-58.47173872180458","-58.47173872180458"
"109000","-21.22192293233085","-21.22192293233085","-21.22192293233085","-6.9246447368421045","-6.9246447368421045","-6.9246447368421045","-58.60581766917299","-58.60581766917299","-58.60581766917299"
"110000","-21.245738721804532","-21.245738721804532","-21.245738721804532","-6.83503947368421","-6.83503947368421","-6.83503947368421","-58.76094924812037","-58.76094924812037","-58.76094924812037"
"111000","-21.2608703007519","-21.2608703007519","-21.2608703007519","-6.750434210526314","-6.750434210526314","-6.750434210526314","-58.82594924812036","-58.82594924812036","-58.82594924812036"
"112000","-21.28350187969927","-21.28350187969927","-21.28350187969927","-6.732802631578945","-6.732802631578945","-6.732802631578945","-59.243186090225635","-59.243186090225635","-59.243186090225635"
"113000","-21.29244924812032","-21.29244924812032","-21.29244924812032","-6.667144736842105","-6.667144736842105","-6.667144736842105","-59.658186090225634","-59.658186090225634","-59.658186090225634"
"114000","-21.301791353383482","-21.301791353383482","-21.301791353383482","-6.6413552631578945","-6.6413552631578945","-6.6413552631578945","-57.64618233082715","-57.64618233082715","-57.64618233082715"
"115000","-21.31600187969927","-21.31600187969927","-21.31600187969927","-6.598065789473683","-6.598065789473683","-6.598065789473683","-54.70000000000009","-54.70000000000009","-54.70000000000009"
"116000","-21.329291353383482","-21.329291353383482","-21.329291353383482","-6.487802631578947","-6.487802631578947","-6.487802631578947","-52.0146597744362","-52.0146597744362","-52.0146597744362"
"117000","-21.352580827067694","-21.352580827067694","-21.352580827067694","-6.450828947368421","-6.450828947368421","-6.450828947368421","-50.35162406015047","-50.35162406015047","-50.35162406015047"
"118000","-21.351622180451155","-21.351622180451155","-21.351622180451155","-6.434776315789474","-6.434776315789474","-6.434776315789474","-47.27727255639109","-47.27727255639109","-47.27727255639109"
"119000","-17.907975563909794","-17.907975563909794","-17.907975563909794","-6.286723684210526","-6.286723684210526","-6.286723684210526","-46.84762781954899","-46.84762781954899","-46.84762781954899"
"120000","-14.392050751879722","-14.392050751879722","-14.392050751879722","-5.067436090225565","-5.067436090225565","-5.067436090225565","-47.1957142857144","-47.1957142857144","-47.1957142857144"
"121000","-10.774159774436116","-10.774159774436116","-10.774159774436116","-2.339714285714285","-2.339714285714285","-2.339714285714285","-47.70979323308283","-47.70979323308283","-47.70979323308283"
"122000","-9.38754699248123","-9.38754699248123","-9.38754699248123","-2.0119736842105254","-2.0119736842105254","-2.0119736842105254","-48.01742481203019","-48.01742481203019","-48.01742481203019"
"123000","-9.410704887218072","-9.410704887218072","-9.410704887218072","-2.006184210526315","-2.006184210526315","-2.006184210526315","-48.402424812030205","-48.402424812030205","-48.402424812030205"
"124000","-9.422020676691757","-9.422020676691757","-9.422020676691757","-2.0219736842105247","-2.0219736842105247","-2.0219736842105247","-48.97610902255653","-48.97610902255653","-48.97610902255653"
"125000","-9.109783834586493","-9.109783834586493","-9.109783834586493","-2.0196052631578936","-2.0196052631578936","-2.0196052631578936","-49.374793233082855","-49.374793233082855","-49.374793233082855"
"126000","-8.806889097744385","-8.806889097744385","-8.806889097744385","-1.9960526315789462","-1.9960526315789462","-1.9960526315789462","-49.626898496240756","-49.626898496240756","-49.626898496240756"
"127000","-8.37965225563912","-8.37965225563912","-8.37965225563912","-1.9405263157894728","-1.9405263157894728","-1.9405263157894728","-50.01624060150392","-50.01624060150392","-50.01624060150392"
"128000","-8.042941729323331","-8.042941729323331","-8.042941729323331","-1.925657894736841","-1.925657894736841","-1.925657894736841","-50.41229323308286","-50.41229323308286","-50.41229323308286"
"129000","-7.566757518797012","-7.566757518797012","-7.566757518797012","-1.918157894736841","-1.918157894736841","-1.918157894736841","-50.935845864661815","-50.935845864661815","-50.935845864661815"
"130000","-7.0988627819549","-7.0988627819549","-7.0988627819549","-1.9227631578947355","-1.9227631578947355","-1.9227631578947355","-51.12518796992497","-51.12518796992497","-51.12518796992497"
"131000","-6.327415413533845","-6.327415413533845","-6.327415413533845","-1.9285526315789463","-1.9285526315789463","-1.9285526315789463","-51.82676691729339","-51.82676691729339","-51.82676691729339"
"132000","-5.588599624060155","-5.588599624060155","-5.588599624060155","-1.9285526315789463","-1.9285526315789463","-1.9285526315789463","-52.27453007518814","-52.27453007518814","-52.27453007518814"
"133000","-5.1043890977443604","-5.1043890977443604","-5.1043890977443604","-1.9293421052631567","-1.9293421052631567","-1.9293421052631567","-52.856898496240774","-52.856898496240774","-52.856898496240774"
"134000","-4.9237312030075175","-4.9237312030075175","-4.9237312030075175","-1.940131578947367","-1.940131578947367","-1.940131578947367","-53.27663533834604","-53.27663533834604","-53.27663533834604"
"135000","-4.872152255639096","-4.872152255639096","-4.872152255639096","-1.928552631578946","-1.928552631578946","-1.928552631578946","-53.79887218045132","-53.79887218045132","-53.79887218045132"
"136000","-4.850704887218043","-4.850704887218043","-4.850704887218043","-1.9074999999999982","-1.9074999999999982","-1.9074999999999982","-54.304266917293425","-54.304266917293425","-54.304266917293425"
"137000","-4.661815789473684","-4.661815789473684","-4.661815789473684","-1.8965789473684194","-1.8965789473684194","-1.8965789473684194","-54.54808270676711","-54.54808270676711","-54.54808270676711"
"138000","-4.6707631578947355","-4.6707631578947355","-4.6707631578947355","-1.8856578947368408","-1.8856578947368408","-1.8856578947368408","-54.86742481203028","-54.86742481203028","-54.86742481203028"
"139000","-4.679710526315788","-4.679710526315788","-4.679710526315788","-1.8839473684210515","-1.8839473684210515","-1.8839473684210515","-54.95308270676712","-54.95308270676712","-54.95308270676712"
"140000","-3.5215112781954874","-3.5215112781954874","-3.5215112781954874","-1.873157894736841","-1.873157894736841","-1.873157894736841","-55.077819548872384","-55.077819548872384","-55.077819548872384"
"141000","-1.87592105263158","-1.87592105263158","-1.87592105263158","-1.8774999999999988","-1.8774999999999988","-1.8774999999999988","-55.392819548872374","-55.392819548872374","-55.392819548872374"
"142000","-1.882763157894738","-1.882763157894738","-1.882763157894738","-1.8773684210526305","-1.8773684210526305","-1.8773684210526305","-55.8365037593987","-55.8365037593987","-55.8365037593987"
"143000","-1.8877631578947378","-1.8877631578947378","-1.8877631578947378","-1.8667105263157882","-1.8667105263157882","-1.8667105263157882","-56.266240601503966","-56.266240601503966","-56.266240601503966"
"144000","-1.906184210526317","-1.906184210526317","-1.906184210526317","-1.8239473684210514","-1.8239473684210514","-1.8239473684210514","-56.3603195488724","-56.3603195488724","-56.3603195488724"
"145000","-1.9140789473684223","-1.9140789473684223","-1.9140789473684223","-1.8105263157894727","-1.8105263157894727","-1.8105263157894727","-56.70768796992504","-56.70768796992504","-56.70768796992504"
"146000","-1.7875000000000008","-1.7875000000000008","-1.7875000000000008","-1.8039473684210519","-1.8039473684210519","-1.8039473684210519","-56.79387218045135","-56.79387218045135","-56.79387218045135"
"147000","-1.6802631578947373","-1.6802631578947373","-1.6802631578947373","-1.7964473684210518","-1.7964473684210518","-1.7964473684210518","-56.82453007518819","-56.82453007518819","-56.82453007518819"
"148000","-1.5331578947368423","-1.5331578947368423","-1.5331578947368423","-1.7735526315789463","-1.7735526315789463","-1.7735526315789463","-56.88558270676714","-56.88558270676714","-56.88558270676714"
"149000","-1.3936842105263159","-1.3936842105263159","-1.3936842105263159","-1.7623684210526307","-1.7623684210526307","-1.7623684210526307","-56.897951127819766","-56.897951127819766","-56.897951127819766"
"150000","-1.265","-1.265","-1.265","-1.7386842105263145","-1.7386842105263145","-1.7386842105263145","-57.05045112781977","-57.05045112781977","-57.05045112781977"
"151000","-1.138815789473684","-1.138815789473684","-1.138815789473684","-1.7282894736842094","-1.7282894736842094","-1.7282894736842094","-57.11255639097767","-57.11255639097767","-57.11255639097767"
"152000","-1.1571052631578944","-1.1571052631578944","-1.1571052631578944","-1.7109210526315775","-1.7109210526315775","-1.7109210526315775","-57.128872180451346","-57.128872180451346","-57.128872180451346"
"153000","-1.1640789473684208","-1.1640789473684208","-1.1640789473684208","-1.7107894736842093","-1.7107894736842093","-1.7107894736842093","-57.232759398496476","-57.232759398496476","-57.232759398496476"
"154000","-1.166710526315789","-1.166710526315789","-1.166710526315789","-1.6968421052631566","-1.6968421052631566","-1.6968421052631566","-55.26480075187994","-55.26480075187994","-55.26480075187994"
"155000","-1.1686842105263153","-1.1686842105263153","-1.1686842105263153","-1.672763157894736","-1.672763157894736","-1.672763157894736","-52.10618421052655","-52.10618421052655","-52.10618421052655"
"156000","-1.1728947368421048","-1.1728947368421048","-1.1728947368421048","-1.6606578947368411","-1.6606578947368411","-1.6606578947368411","-51.34378947368444","-51.34378947368444","-51.34378947368444"
