"Step","ofb-final-steps2M-Seed1 - slice1:incoming-traffic","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","static-final-steps2M-Seed1 - slice1:incoming-traffic","static-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","static-final-steps2M-Seed1 - slice1:incoming-traffic__MAX"
"12740","10","10","10","5","5","5","","",""
"12750","14","14","14","11","11","11","","",""
"12800","10","10","10","12","12","12","","",""
"12810","12","12","12","11","11","11","","",""
"12920","10","10","10","7","7","7","","",""
"12950","","","","","","","10","10","10"
"13110","","","","","","","9","9","9"
"13170","7","7","7","10","10","10","","",""
"13200","","","","","","","10","10","10"
"13280","","","","","","","9","9","9"
"13320","","","","","","","13","13","13"
"13400","","","","","","","8","8","8"
"13450","11","11","11","14","14","14","","",""
"13490","","","","","","","10","10","10"
"13590","11","11","11","11","11","11","","",""
"13750","","","","","","","13","13","13"
"13790","","","","","","","10","10","10"
"13820","11","11","11","9","9","9","","",""
"13830","","","","","","","11","11","11"
"13890","","","","","","","11","11","11"
"13920","6","6","6","7","7","7","","",""
"13950","","","","","","","13","13","13"
"14150","7","7","7","12","12","12","","",""
"14220","","","","","","","9","9","9"
"14300","10","10","10","8","8","8","","",""
"14320","10","10","10","8","8","8","","",""
"14330","12","12","12","10","10","10","","",""
"14400","9","9","9","8","8","8","","",""
"14430","","","","","","","9","9","9"
"14520","12","12","12","9","9","9","","",""
"14790","","","","","","","10","10","10"
"14820","12","12","12","6","6","6","","",""
"14960","","","","","","","5","5","5"
"15020","","","","","","","9","9","9"
"15120","","","","","","","7","7","7"
"15130","9","9","9","7","7","7","","",""
"15210","","","","","","","9","9","9"
"15440","10","10","10","9","9","9","","",""
"15460","","","","","","","9","9","9"
"15550","","","","","","","9","9","9"
"15570","","","","","","","14","14","14"
"15680","","","","","","","12","12","12"
"15760","11","11","11","9","9","9","","",""
