"Step","ofb-final-steps2M-Seed1 - slice1:latency_per_packet","ofb-final-steps2M-Seed1 - slice1:latency_per_packet__MIN","ofb-final-steps2M-Seed1 - slice1:latency_per_packet__MAX","dynamic-final-steps2M-Seed1 - slice1:latency_per_packet","dynamic-final-steps2M-Seed1 - slice1:latency_per_packet__MIN","dynamic-final-steps2M-Seed1 - slice1:latency_per_packet__MAX","static-final-steps2M-Seed1 - slice1:latency_per_packet","static-final-steps2M-Seed1 - slice1:latency_per_packet__MIN","static-final-steps2M-Seed1 - slice1:latency_per_packet__MAX"
"6140","","","","15.076923076923077","15.076923076923077","15.076923076923077","","",""
"6160","3","3","3","","","","","",""
"6170","5","5","5","","","","","",""
"6200","14.2","14.2","14.2","","","","","",""
"6210","16.428571428571427","16.428571428571427","16.428571428571427","","","","","",""
"6230","19.77777777777778","19.77777777777778","19.77777777777778","","","","","",""
"6300","","","","","","","17.9","17.9","17.9"
"6360","7.8","7.8","7.8","","","","","",""
"6430","1.5454545454545454","1.5454545454545454","1.5454545454545454","","","","","",""
"6470","0","0","0","","","","","",""
"6520","0","0","0","","","","","",""
"6530","","","","","","","3.6666666666666665","3.6666666666666665","3.6666666666666665"
"6550","0","0","0","2.857142857142857","2.857142857142857","2.857142857142857","","",""
"6600","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","","",""
"6650","","","","","","","15","15","15"
"6680","","","","12.615384615384615","12.615384615384615","12.615384615384615","","",""
"6720","","","","","","","0.7","0.7","0.7"
"6760","2.8","2.8","2.8","","","","","",""
"6800","0.2","0.2","0.2","","","","","",""
"6820","","","","","","","0","0","0"
"6860","0","0","0","","","","","",""
"6970","","","","37.55555555555556","37.55555555555556","37.55555555555556","","",""
"7060","","","","42.9","42.9","42.9","6.4","6.4","6.4"
"7070","","","","43.8","43.8","43.8","","",""
"7080","","","","","","","7","7","7"
"7180","","","","41.142857142857146","41.142857142857146","41.142857142857146","","",""
"7270","","","","26.818181818181817","26.818181818181817","26.818181818181817","","",""
"7300","","","","","","","32","32","32"
"7490","9.181818181818182","9.181818181818182","9.181818181818182","","","","","",""
"7540","","","","40.07692307692308","40.07692307692308","40.07692307692308","","",""
"7630","","","","44.72727272727273","44.72727272727273","44.72727272727273","","",""
"7660","6.5","6.5","6.5","","","","","",""
"7760","","","","","","","2.6","2.6","2.6"
"7850","","","","41.125","41.125","41.125","","",""
"7860","4.416666666666667","4.416666666666667","4.416666666666667","","","","","",""
"7870","","","","44.30769230769231","44.30769230769231","44.30769230769231","","",""
"7890","","","","39","39","39","","",""
"7930","","","","37","37","37","","",""
"8100","1.1818181818181819","1.1818181818181819","1.1818181818181819","","","","","",""
"8140","","","","","","","4.7","4.7","4.7"
"8170","3.4444444444444446","3.4444444444444446","3.4444444444444446","","","","","",""
"8200","","","","23.333333333333332","23.333333333333332","23.333333333333332","","",""
"8310","","","","28.266666666666666","28.266666666666666","28.266666666666666","9.5","9.5","9.5"
"8340","","","","","","","12.6","12.6","12.6"
"8380","","","","28.307692307692307","28.307692307692307","28.307692307692307","","",""
"8420","","","","27.545454545454547","27.545454545454547","27.545454545454547","","",""
"8430","0.1","0.1","0.1","","","","","",""
"8440","","","","33.333333333333336","33.333333333333336","33.333333333333336","","",""
"8470","","","","37","37","37","","",""
"8520","0","0","0","","","","","",""
"8560","","","","","","","1.3333333333333333","1.3333333333333333","1.3333333333333333"
"8570","","","","43.54545454545455","43.54545454545455","43.54545454545455","","",""
"8740","","","","","","","5.75","5.75","5.75"
"8890","3.375","3.375","3.375","","","","","",""
"8950","","","","44.61538461538461","44.61538461538461","44.61538461538461","","",""
"8990","","","","","","","9.625","9.625","9.625"
"9000","","","","","","","13","13","13"
"9030","","","","","","","15.444444444444445","15.444444444444445","15.444444444444445"
"9150","14.583333333333334","14.583333333333334","14.583333333333334","","","","","",""
"9200","","","","16","16","16","0","0","0"
"9240","1.4","1.4","1.4","","","","","",""
"9280","0.18181818181818182","0.18181818181818182","0.18181818181818182","","","","","",""
"9300","0.25","0.25","0.25","","","","","",""
"9390","","","","18","18","18","","",""
"9480","0","0","0","","","","","",""
"9490","0","0","0","","","","","",""
"9530","","","","14.083333333333334","14.083333333333334","14.083333333333334","","",""
"9560","0.4444444444444444","0.4444444444444444","0.4444444444444444","","","","0.4","0.4","0.4"
"9570","2.888888888888889","2.888888888888889","2.888888888888889","","","","","",""
"9590","","","","","","","4.875","4.875","4.875"
"9600","","","","","","","5.2","5.2","5.2"
"9640","","","","","","","2.6","2.6","2.6"
"9700","","","","14.916666666666666","14.916666666666666","14.916666666666666","","",""
"9790","","","","4.9","4.9","4.9","","",""
"9890","0","0","0","","","","","",""
"10000","","","","","","","0","0","0"
"10060","","","","","","","0","0","0"
"10100","","","","","","","6","6","6"
"10120","","","","23.22222222222222","23.22222222222222","23.22222222222222","","",""
"10130","","","","23.818181818181817","23.818181818181817","23.818181818181817","","",""
"10240","8","8","8","","","","","",""
"10270","","","","","","","0","0","0"
"10310","15","15","15","26.75","26.75","26.75","","",""
"10390","","","","","","","5.5","5.5","5.5"
"10440","","","","11","11","11","","",""
"10500","","","","","","","0","0","0"
"10600","20.4","20.4","20.4","","","","","",""
"10640","","","","0.7272727272727273","0.7272727272727273","0.7272727272727273","","",""
"10680","","","","","","","1.4","1.4","1.4"
"10710","","","","1.3636363636363635","1.3636363636363635","1.3636363636363635","","",""
"10810","0","0","0","","","","","",""
"10820","","","","0","0","0","","",""
"10860","","","","10","10","10","","",""
"10950","","","","","","","23","23","23"
"11090","","","","20.8","20.8","20.8","","",""
"11140","","","","","","","11.444444444444445","11.444444444444445","11.444444444444445"
"11200","1.4285714285714286","1.4285714285714286","1.4285714285714286","","","","7.818181818181818","7.818181818181818","7.818181818181818"
"11220","1","1","1","","","","","",""
"11250","0","0","0","","","","","",""
"11430","","","","15.125","15.125","15.125","","",""
"11460","","","","18.333333333333332","18.333333333333332","18.333333333333332","","",""
"11520","","","","","","","22","22","22"
"11550","","","","","","","19.545454545454547","19.545454545454547","19.545454545454547"
"11560","","","","","","","19.2","19.2","19.2"
"11580","","","","","","","18","18","18"
"11650","","","","21.88888888888889","21.88888888888889","21.88888888888889","","",""
"11800","","","","","","","15","15","15"
"11810","","","","","","","16","16","16"
"11850","","","","32","32","32","","",""
"11860","9","9","9","","","","","",""
"11940","","","","20.7","20.7","20.7","","",""
"11970","","","","","","","33.666666666666664","33.666666666666664","33.666666666666664"
"12000","","","","18.75","18.75","18.75","","",""
"12030","","","","","","","41.7","41.7","41.7"
"12040","","","","12.333333333333334","12.333333333333334","12.333333333333334","","",""
"12060","","","","14","14","14","","",""
"12100","","","","","","","33","33","33"
"12180","","","","","","","35.3","35.3","35.3"
"12210","1","1","1","","","","","",""
"12220","0","0","0","","","","","",""
"12230","","","","18.875","18.875","18.875","","",""
"12300","0.7777777777777778","0.7777777777777778","0.7777777777777778","","","","","",""
"12370","","","","19.1","19.1","19.1","","",""
"12380","0","0","0","","","","","",""
"12400","","","","","","","31.444444444444443","31.444444444444443","31.444444444444443"
"12550","","","","20","20","20","","",""
"12640","","","","","","","36.166666666666664","36.166666666666664","36.166666666666664"
"12680","","","","22","22","22","","",""
"12850","","","","4","4","4","","",""
"12860","","","","","","","31.88888888888889","31.88888888888889","31.88888888888889"
"12900","","","","","","","35","35","35"
"13060","0.6","0.6","0.6","11","11","11","","",""
"13080","","","","11.25","11.25","11.25","49.6","49.6","49.6"
"13200","","","","10.2","10.2","10.2","","",""
"13220","0.125","0.125","0.125","12.916666666666666","12.916666666666666","12.916666666666666","","",""
"13270","","","","","","","52.36363636363637","52.36363636363637","52.36363636363637"
"13440","","","","","","","47","47","47"
"13520","","","","9.75","9.75","9.75","","",""
"13540","","","","","","","52","52","52"
"13580","","","","","","","57.2","57.2","57.2"
"13620","","","","16.666666666666668","16.666666666666668","16.666666666666668","","",""
"13650","0.7272727272727273","0.7272727272727273","0.7272727272727273","","","","","",""
"13660","","","","","","","60.75","60.75","60.75"
"13710","0.5","0.5","0.5","","","","","",""
"13760","","","","19.9375","19.9375","19.9375","","",""
"13800","","","","","","","70","70","70"
"13830","","","","","","","68.55555555555556","68.55555555555556","68.55555555555556"
"13870","","","","","","","66.625","66.625","66.625"
"13900","","","","8","8","8","","",""
"13910","","","","","","","69.77777777777777","69.77777777777777","69.77777777777777"
"13920","","","","","","","69.8","69.8","69.8"
"13960","3.6666666666666665","3.6666666666666665","3.6666666666666665","","","","70","70","70"
"14000","","","","8","8","8","","",""
"14070","0.3","0.3","0.3","","","","67","67","67"
"14090","","","","","","","67.2","67.2","67.2"
"14110","","","","6.111111111111111","6.111111111111111","6.111111111111111","","",""
"14180","2.5","2.5","2.5","","","","","",""
"14230","","","","","","","69.44444444444444","69.44444444444444","69.44444444444444"
"14270","","","","4.153846153846154","4.153846153846154","4.153846153846154","","",""
"14360","","","","3.272727272727273","3.272727272727273","3.272727272727273","","",""
"14390","","","","","","","68","68","68"
"14490","","","","","","","67","67","67"
"14590","0","0","0","","","","","",""
"14660","0","0","0","","","","68.75","68.75","68.75"
"14670","","","","14","14","14","","",""
"14710","0","0","0","","","","","",""
"14720","0.5833333333333334","0.5833333333333334","0.5833333333333334","","","","","",""
"14740","1.4444444444444444","1.4444444444444444","1.4444444444444444","","","","","",""
"14750","0.2","0.2","0.2","","","","","",""
"14860","","","","","","","70","70","70"
"15040","0.4","0.4","0.4","","","","","",""
"15150","","","","17.875","17.875","17.875","","",""
"15160","","","","","","","68","68","68"
"15220","","","","16.9","16.9","16.9","","",""
"15330","0.8","0.8","0.8","","","","","",""
"15500","2.3333333333333335","2.3333333333333335","2.3333333333333335","","","","","",""
"15530","","","","","","","63.22222222222222","63.22222222222222","63.22222222222222"
"15620","2.8333333333333335","2.8333333333333335","2.8333333333333335","","","","","",""
"15640","","","","2","2","2","","",""
"15740","","","","","","","62.36363636363637","62.36363636363637","62.36363636363637"
"15760","0","0","0","","","","","",""
"15800","","","","","","","63","63","63"
"15860","","","","8.777777777777779","8.777777777777779","8.777777777777779","67","67","67"
"15910","2.75","2.75","2.75","","","","","",""
"15930","10.333333333333334","10.333333333333334","10.333333333333334","","","","","",""
"15940","","","","2.5","2.5","2.5","","",""
"15950","","","","0","0","0","","",""
"15980","","","","0","0","0","","",""
"16000","","","","","","","65.55555555555556","65.55555555555556","65.55555555555556"
"16030","","","","4.222222222222222","4.222222222222222","4.222222222222222","","",""
"16090","2.3636363636363638","2.3636363636363638","2.3636363636363638","","","","","",""
