step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,slice0:resent,slice1:resent,link_capacity,learner:throughputs,learner:queue_sizes,learner:rho,learner:epsilon
0,4909,5536,0,0,0,3300,0.004,598.255,0.0,16.356,0.00115,63.01533452380954,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4939,5513,0,0,0,3965,0.0,664.086,0.0,18.959,0.0,69.99484761904763,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4918,5470,0,0,0,3899,0.0,657.158,0.0,18.786,0.0,69.99228095238095,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4935,5468,0,0,0,3990,0.0,660.713,0.0,18.898,0.0,69.99543333333335,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4925,5442,0,0,0,3960,0.0,658.383,0.0,18.793,0.0,69.9947142857143,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4887,5503,0,0,0,3949,0.0,663.168,0.0,18.951,0.0,69.9939523809524,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4973,5564,0,0,0,3934,0.002,663.865,0.0,18.94,0.0015,69.9928238095238,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4952,5560,0,0,0,4007,0.001,668.142,0.0,19.143,0.0003333333333333333,69.99370952380951,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4890,5502,0,0,0,3823,0.0,651.741,0.0,18.587,0.0,69.98780000000004,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4942,5417,0,0,0,4040,0.0,662.876,0.0,18.944,0.0,69.99656666666665,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4936,5487,0,0,0,3925,0.001,659.604,0.0,18.856,0.001,69.99344761904764,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4908,5461,0,0,0,3987,0.0,660.9,0.0,18.866,0.0,69.99534761904762,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4899,5534,0,0,0,3907,0.003,661.842,0.0,18.898,0.0010333333333333332,69.99252857142858,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4987,5547,0,0,0,3993,0.0,666.561,0.0,19.052,0.0,69.99511428571431,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4971,5507,0,0,0,4032,0.0,669.412,0.0,19.142,0.0,69.99447142857146,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4898,5481,0,0,0,3914,0.0,656.472,0.0,18.756,0.0,69.9890142857143,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4959,5513,0,0,0,3881,0.0,658.537,0.0,18.815,0.0,69.99479047619047,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4869,5518,0,0,0,4097,0.0,672.323,0.0,19.218,0.0,69.99517142857144,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4979,5559,0,0,0,4050,0.0,673.123,0.0,19.245,0.0,69.9939142857143,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
0,4929,5490,0,0,0,3970,0.0,662.265,0.0,18.888,0.0,69.9945904761905,0,0,1.0,0.0,0.0,0.0,0.009999999999999832
