"Step","00-dynamic","00-dynamic - reward__MIN","00-dynamic - reward__MAX","00-every-100","00-every-100 - reward__MIN","00-every-100 - reward__MAX","00-every-10","00-every-10 - reward__MIN","00-every-10 - reward__MAX","00-static-1","00-static-1 - reward__MIN","00-static-1 - reward__MAX","00-ofb","00-ofb - reward__MIN","00-ofb - reward__MAX"
"1000","0.7271428571428572","0.7271428571428572","0.7271428571428572","0.8380357142857142","0.8380357142857142","0.8380357142857142","0.7512571428571427","0.7512571428571427","0.7512571428571427","0.7515476190476189","0.7515476190476189","0.7515476190476189","0.6552380952380952","0.6552380952380952","0.6552380952380952"
"2000","0.6251190476190477","0.6251190476190477","0.6251190476190477","0.6974404761904761","0.6974404761904761","0.6974404761904761","0.5076119047619045","0.5076119047619045","0.5076119047619045","0.6086309523809526","0.6086309523809526","0.6086309523809526","0.6629499999999996","0.6629499999999996","0.6629499999999996"
"3000","0.582797619047619","0.582797619047619","0.582797619047619","0.4335714285714287","0.4335714285714287","0.4335714285714287","0.7383785714285714","0.7383785714285714","0.7383785714285714","0.6966428571428573","0.6966428571428573","0.6966428571428573","0.43410952380952456","0.43410952380952456","0.43410952380952456"
"4000","0.7281761904761905","0.7281761904761905","0.7281761904761905","0.5559523809523815","0.5559523809523815","0.5559523809523815","0.43601428571428585","0.43601428571428585","0.43601428571428585","0.40071428571428536","0.40071428571428536","0.40071428571428536","0.9691666666666666","0.9691666666666666","0.9691666666666666"
"5000","0.6764904761904768","0.6764904761904768","0.6764904761904768","0.38601190476190406","0.38601190476190406","0.38601190476190406","0.43721428571428533","0.43721428571428533","0.43721428571428533","0.6269357142857142","0.6269357142857142","0.6269357142857142","0.7909523809523806","0.7909523809523806","0.7909523809523806"
"6000","0.7638095238095235","0.7638095238095235","0.7638095238095235","0.40660714285714267","0.40660714285714267","0.40660714285714267","0.25040714285714366","0.25040714285714366","0.25040714285714366","0.7180357142857144","0.7180357142857144","0.7180357142857144","0.8079761904761904","0.8079761904761904","0.8079761904761904"
"7000","0.7659523809523807","0.7659523809523807","0.7659523809523807","0.36083333333333284","0.36083333333333284","0.36083333333333284","0.3882857142857146","0.3882857142857146","0.3882857142857146","0.8729547619047618","0.8729547619047618","0.8729547619047618","0.7915476190476188","0.7915476190476188","0.7915476190476188"
"8000","0.8563095238095237","0.8563095238095237","0.8563095238095237","0.3604761904761904","0.3604761904761904","0.3604761904761904","0.7172833333333334","0.7172833333333334","0.7172833333333334","0.7298214285714287","0.7298214285714287","0.7298214285714287","0.8091666666666665","0.8091666666666665","0.8091666666666665"
"9000","0.8025999999999999","0.8025999999999999","0.8025999999999999","0.3440476190476181","0.3440476190476181","0.3440476190476181","0.6735380952380952","0.6735380952380952","0.6735380952380952","0.798392857142857","0.798392857142857","0.798392857142857","0.8071428571428568","0.8071428571428568","0.8071428571428568"
"10000","0.7678666666666665","0.7678666666666665","0.7678666666666665","0.3501785714285718","0.3501785714285718","0.3501785714285718","0.6463095238095238","0.6463095238095238","0.6463095238095238","0.7980952380952377","0.7980952380952377","0.7980952380952377","0.869345238095238","0.869345238095238","0.869345238095238"
"11000","0.7124000000000001","0.7124000000000001","0.7124000000000001","0.32154761904761886","0.32154761904761886","0.32154761904761886","0.6819642857142854","0.6819642857142854","0.6819642857142854","0.8649404761904763","0.8649404761904763","0.8649404761904763","0.8901785714285715","0.8901785714285715","0.8901785714285715"
