"Step","00-dynamic","00-dynamic - latency-1__MIN","00-dynamic - latency-1__MAX","00-every-100","00-every-100 - latency-1__MIN","00-every-100 - latency-1__MAX","00-every-10","00-every-10 - latency-1__MIN","00-every-10 - latency-1__MAX","00-static-1","00-static-1 - latency-1__MIN","00-static-1 - latency-1__MAX","00-ofb","00-ofb - latency-1__MIN","00-ofb - latency-1__MAX"
"74896","","","","0","0","0","","","","","","","","",""
"74902","","","","","","","","","","0","0","0","0.25","0.25","0.25"
"74910","0","0","0","","","","0.6","0.6","0.6","","","","","",""
"74915","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","0","0","0","","","","","",""
"74918","0","0","0","0","0","0","0","0","0","","","","","",""
"74920","0","0","0","","","","0.25","0.25","0.25","","","","","",""
"74928","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"74931","0","0","0","","","","0","0","0","","","","","",""
"74934","","","","0","0","0","","","","","","","","",""
"74939","","","","0","0","0","","","","","","","","",""
"74942","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","0","0","0","","","","","",""
"74956","0","0","0","","","","0","0","0","","","","","",""
"74977","0","0","0","","","","0","0","0","","","","","",""
"74981","","","","","","","","","","0.5","0.5","0.5","0","0","0"
"74986","0","0","0","0","0","0","0","0","0","","","","","",""
"74987","0","0","0","","","","0","0","0","","","","","",""
"74993","","","","0","0","0","","","","","","","","",""
"74994","","","","","","","","","","0","0","0","0","0","0"
"74997","","","","0","0","0","","","","","","","","",""
"75016","","","","","","","","","","0","0","0","0.5","0.5","0.5"
"75018","","","","","","","","","","0","0","0","0","0","0"
"75020","","","","0","0","0","","","","","","","","",""
"75024","","","","","","","","","","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"75036","","","","","","","","","","0","0","0","0","0","0"
"75039","0","0","0","","","","0","0","0","","","","","",""
"75045","0","0","0","","","","0","0","0","","","","","",""
"75048","","","","0","0","0","","","","","","","","",""
"75050","","","","","","","","","","0","0","0","0","0","0"
"75051","0","0","0","","","","0","0","0","","","","","",""
"75053","","","","","","","","","","0","0","0","1.3333333333333333","1.3333333333333333","1.3333333333333333"
"75055","","","","","","","","","","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"75057","","","","0","0","0","","","","","","","","",""
"75059","","","","0","0","0","","","","","","","","",""
"75061","0","0","0","","","","0","0","0","","","","","",""
"75068","0","0","0","","","","0","0","0","","","","","",""
"75079","","","","","","","","","","0","0","0","3","3","3"
"75081","0","0","0","","","","0","0","0","","","","","",""
"75088","0","0","0","","","","0","0","0","","","","","",""
"75089","0","0","0","","","","0","0","0","","","","","",""
"75092","0","0","0","","","","0","0","0","","","","","",""
"75098","","","","","","","","","","0","0","0","3.5","3.5","3.5"
"75106","","","","","","","","","","0","0","0","2","2","2"
"75115","0","0","0","0","0","0","0","0","0","","","","","",""
"75119","","","","","","","","","","0","0","0","0","0","0"
"75136","","","","","","","","","","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"75143","","","","0","0","0","","","","","","","","",""
"75145","","","","","","","","","","0","0","0","0","0","0"
"75152","0","0","0","","","","0","0","0","","","","","",""
"75158","0","0","0","","","","0","0","0","","","","","",""
"75180","","","","","","","","","","0","0","0","0.5","0.5","0.5"
"75186","","","","0","0","0","","","","","","","","",""
"75187","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0"
"75188","","","","0","0","0","","","","","","","","",""
"75190","","","","0","0","0","","","","","","","","",""
"75198","","","","","","","","","","0","0","0","0","0","0"
"75201","0","0","0","","","","0.75","0.75","0.75","","","","","",""
"75202","","","","0","0","0","","","","","","","","",""
"75205","","","","","","","","","","0","0","0","0","0","0"
"75211","0","0","0","","","","0","0","0","","","","","",""
"75212","0","0","0","","","","0","0","0","","","","","",""
"75229","","","","0","0","0","","","","","","","","",""
"75247","","","","","","","","","","0","0","0","0","0","0"
"75250","","","","","","","","","","0","0","0","0","0","0"
"75261","","","","","","","","","","0","0","0","0","0","0"
"75265","","","","0","0","0","","","","","","","","",""
"75271","0","0","0","","","","0","0","0","","","","","",""
"75281","","","","0","0","0","","","","","","","","",""
"75285","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","1","1","1"
"75288","","","","","","","","","","0","0","0","1.3333333333333333","1.3333333333333333","1.3333333333333333"
"75303","0","0","0","","","","0","0","0","","","","","",""
"75306","0","0","0","","","","0","0","0","","","","","",""
"75310","","","","","","","","","","0","0","0","0","0","0"
"75313","","","","0","0","0","","","","","","","","",""
"75316","","","","","","","","","","0","0","0","0","0","0"
"75317","","","","","","","","","","0","0","0","0","0","0"
"75318","","","","0","0","0","","","","","","","","",""
"75319","0","0","0","","","","0","0","0","","","","","",""
"75330","","","","","","","","","","0","0","0","0","0","0"
"75341","","","","0","0","0","","","","","","","","",""
"75344","","","","0","0","0","","","","","","","","",""
"75345","","","","0","0","0","","","","","","","","",""
"75350","","","","","","","","","","0","0","0","2","2","2"
"75352","0","0","0","","","","0","0","0","","","","","",""
"75356","","","","0","0","0","","","","","","","","",""
"75359","","","","0","0","0","","","","","","","","",""
"75364","","","","","","","","","","0","0","0","0","0","0"
"75367","0","0","0","","","","0","0","0","","","","","",""
"75370","","","","","","","","","","0.5","0.5","0.5","1","1","1"
"75391","","","","0","0","0","","","","","","","","",""
"75393","","","","0","0","0","","","","","","","","",""
"75395","","","","0","0","0","","","","","","","","",""
"75401","0","0","0","","","","0","0","0","","","","","",""
"75410","0","0","0","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","","","","",""
"75418","","","","","","","","","","0","0","0","0","0","0"
"75438","","","","","","","","","","0","0","0","0","0","0"
"75444","","","","","","","","","","0","0","0","0.5","0.5","0.5"
"75466","","","","","","","","","","0","0","0","0","0","0"
"75468","0","0","0","","","","0","0","0","","","","","",""
"75469","0","0","0","","","","0","0","0","","","","","",""
"75471","","","","0","0","0","","","","","","","","",""
"75484","0","0","0","","","","0","0","0","","","","","",""
"75490","1","1","1","","","","0.6","0.6","0.6","","","","","",""
"75495","","","","0","0","0","","","","","","","","",""
"75497","","","","0","0","0","","","","","","","","",""
"75505","","","","","","","","","","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"75507","","","","","","","","","","0","0","0","0","0","0"
"75515","0","0","0","","","","0","0","0","","","","","",""
"75519","0","0","0","","","","0","0","0","","","","","",""
"75521","0","0","0","","","","0","0","0","","","","","",""
"75523","","","","0","0","0","","","","0","0","0","0","0","0"
"75525","0","0","0","","","","0","0","0","","","","","",""
"75545","0","0","0","","","","0","0","0","","","","","",""
"75550","","","","","","","","","","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"75557","0","0","0","","","","0","0","0","","","","","",""
"75560","","","","0","0","0","","","","","","","","",""
"75566","","","","0","0","0","","","","","","","","",""
"75570","","","","0","0","0","","","","","","","","",""
"75573","","","","","","","","","","0","0","0","0","0","0"
"75582","","","","0","0","0","","","","","","","","",""
"75587","0","0","0","","","","0","0","0","","","","","",""
"75590","","","","0","0","0","","","","","","","","",""
"75594","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"75606","","","","0","0","0","","","","","","","","",""
"75609","","","","0","0","0","","","","","","","","",""
"75614","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"75616","","","","0","0","0","","","","","","","","",""
"75620","0","0","0","","","","0.8","0.8","0.8","","","","","",""
"75629","","","","0","0","0","","","","","","","","",""
"75660","","","","","","","","","","0","0","0","0","0","0"
"75666","0","0","0","","","","0","0","0","","","","","",""
"75674","0","0","0","","","","0","0","0","","","","2","2","2"
"75675","0","0","0","","","","0","0","0","","","","","",""
"75676","0","0","0","","","","0","0","0","","","","","",""
"75687","","","","","","","","","","0","0","0","","",""
"75689","","","","","","","","","","0","0","0","","",""
"75692","0","0","0","","","","0","0","0","","","","","",""
"75695","","","","","","","","","","","","","0","0","0"
"75697","","","","0","0","0","","","","","","","","",""
"75702","","","","","","","","","","0.5","0.5","0.5","","",""
"75714","","","","","","","","","","","","","0","0","0"
"75716","","","","0","0","0","","","","","","","","",""
"75719","","","","","","","","","","0","0","0","","",""
"75723","","","","0","0","0","","","","","","","","",""
"75724","","","","","","","","","","","","","0","0","0"
"75726","","","","0","0","0","","","","","","","","",""
"75729","","","","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"75733","","","","","","","","","","0","0","0","0","0","0"
"75737","","","","","","","","","","","","","0","0","0"
"75744","","","","","","","","","","0","0","0","","",""
"75746","","","","0","0","0","","","","","","","","",""
"75747","","","","","","","","","","0","0","0","","",""
"75757","","","","","","","","","","","","","1.3333333333333333","1.3333333333333333","1.3333333333333333"
"75762","0","0","0","","","","0","0","0","","","","","",""
"75767","","","","","","","","","","0","0","0","0","0","0"
"75768","","","","0","0","0","","","","","","","","",""
"75771","","","","","","","","","","","","","0.25","0.25","0.25"
"75772","","","","0","0","0","","","","","","","","",""
"75775","","","","0","0","0","","","","","","","","",""
"75777","","","","","","","","","","0","0","0","","",""
"75786","0","0","0","","","","0","0","0","","","","","",""
"75789","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","",""
"75796","","","","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"75798","","","","0","0","0","","","","","","","","",""
"75805","","","","0","0","0","","","","0","0","0","0","0","0"
"75808","0","0","0","","","","0","0","0","","","","","",""
"75812","0","0","0","","","","0","0","0","","","","","",""
"75820","","","","0","0","0","","","","","","","","",""
"75824","0","0","0","","","","0","0","0","","","","","",""
"75825","0","0","0","","","","0","0","0","","","","","",""
"75828","","","","0","0","0","","","","","","","0","0","0"
"75831","","","","","","","","","","0","0","0","","",""
"75832","","","","","","","","","","0","0","0","","",""
"75838","","","","0","0","0","","","","","","","","",""
"75839","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","0","0","0","","","","","",""
"75840","0","0","0","","","","0.8","0.8","0.8","","","","","",""
"75841","","","","","","","","","","0","0","0","","",""
"75847","","","","0","0","0","","","","","","","","",""
"75850","","","","0","0","0","","","","0","0","0","","",""
"75851","","","","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"75857","","","","0","0","0","","","","","","","","",""
"75859","","","","","","","","","","","","","0","0","0"
"75865","","","","0","0","0","","","","","","","","",""
"75868","","","","0","0","0","","","","0","0","0","","",""
"75870","0","0","0","","","","0.4","0.4","0.4","","","","","",""
"75872","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","",""
"75881","0","0","0","","","","1","1","1","","","","","",""
"75890","0","0","0","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","","",""
"75891","","","","","","","","","","","","","0","0","0"
"75893","0","0","0","","","","0","0","0","","","","","",""
"75898","0","0","0","","","","0","0","0","","","","","",""
"75905","","","","","","","","","","","","","0","0","0"
"75912","0","0","0","","","","0","0","0","1","1","1","","",""
"75918","","","","0","0","0","","","","","","","","",""
"75943","","","","","","","","","","0","0","0","","",""
"75947","","","","","","","","","","0.5","0.5","0.5","","",""
"75953","","","","","","","","","","0","0","0","","",""
"75959","","","","0","0","0","","","","","","","","",""
"75960","0","0","0","","","","0.4","0.4","0.4","0","0","0","","",""
"75962","","","","","","","","","","","","","0","0","0"
"75972","","","","0","0","0","","","","","","","","",""
"75975","0","0","0","","","","0","0","0","","","","","",""
"75976","0","0","0","","","","0","0","0","","","","","",""
"75977","","","","","","","","","","0","0","0","","",""
"75979","","","","0","0","0","","","","","","","","",""
"75989","","","","0","0","0","","","","","","","","",""
"75991","0","0","0","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","","",""
"75997","","","","0","0","0","","","","","","","","",""
"75998","","","","","","","","","","","","","0","0","0"
"76012","","","","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"76018","","","","0","0","0","","","","","","","","",""
"76038","0","0","0","","","","0","0","0","","","","","",""
"76039","","","","","","","","","","","","","0.5","0.5","0.5"
"76040","0","0","0","","","","1","1","1","","","","","",""
"76043","","","","","","","","","","","","","1","1","1"
"76047","","","","","","","","","","0","0","0","","",""
"76056","","","","","","","","","","0","0","0","","",""
"76062","0","0","0","","","","0","0","0","","","","","",""
"76069","","","","","","","","","","","","","0","0","0"
"76073","0","0","0","","","","0","0","0","","","","","",""
"76076","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","",""
"76080","","","","","","","","","","0.5","0.5","0.5","","",""
"76082","","","","","","","","","","","","","1.3333333333333333","1.3333333333333333","1.3333333333333333"
"76097","","","","","","","","","","0","0","0","","",""
"76099","","","","","","","","","","0","0","0","","",""
"76100","","","","0.75","0.75","0.75","","","","","","","","",""
"76104","0","0","0","0","0","0","0","0","0","","","","","",""
"76114","","","","","","","","","","0","0","0","","",""
"76115","0.5","0.5","0.5","","","","0","0","0","","","","","",""
"76116","","","","0","0","0","","","","","","","","",""
"76134","","","","","","","","","","","","","0","0","0"
"76135","","","","0","0","0","","","","","","","","",""
"76141","","","","","","","","","","0","0","0","","",""
"76143","","","","","","","","","","","","","0","0","0"
"76158","","","","0","0","0","","","","","","","","",""
"76162","","","","","","","","","","0","0","0","","",""
"76171","","","","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"76174","","","","","","","","","","","","","0","0","0"
"76177","","","","0","0","0","","","","","","","","",""
"76179","0.25","0.25","0.25","","","","0","0","0","","","","","",""
"76200","","","","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"76202","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","",""
"76204","","","","","","","","","","","","","0","0","0"
"76208","","","","0","0","0","","","","","","","","",""
"76215","0","0","0","","","","0","0","0","","","","","",""
"76217","","","","","","","","","","0","0","0","","",""
"76219","0.5","0.5","0.5","","","","0","0","0","","","","","",""
"76230","0","0","0","","","","0.6","0.6","0.6","","","","","",""
"76233","","","","","","","","","","0.25","0.25","0.25","","",""
"76234","","","","","","","","","","","","","0","0","0"
"76248","","","","","","","","","","","","","0.25","0.25","0.25"
"76252","","","","","","","","","","","","","0","0","0"
"76256","","","","0","0","0","","","","","","","","",""
"76258","","","","0","0","0","","","","","","","","",""
"76268","","","","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"76273","","","","","","","","","","0","0","0","","",""
"76280","","","","","","","","","","","","","0","0","0"
"76283","","","","","","","","","","0","0","0","","",""
"76296","","","","","","","","","","","","","0","0","0"
"76299","","","","","","","","","","","","","0","0","0"
"76300","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","","","","","",""
"76309","","","","0","0","0","","","","","","","","",""
"76310","","","","","","","","","","1.6666666666666667","1.6666666666666667","1.6666666666666667","","",""
"76313","","","","","","","","","","","","","2","2","2"
"76328","","","","0","0","0","","","","","","","","",""
"76329","","","","","","","","","","0","0","0","","",""
"76350","","","","0","0","0","","","","0","0","0","","",""
"76353","","","","0","0","0","","","","","","","","",""
"76354","","","","0","0","0","","","","","","","","",""
"76363","","","","","","","","","","0","0","0","","",""
"76366","","","","0","0","0","","","","","","","","",""
"76371","0","0","0","","","","0","0","0","","","","","",""
"76373","","","","0","0","0","","","","","","","","",""
"76375","0","0","0","","","","0","0","0","","","","","",""
"76388","","","","","","","","","","","","","0.5","0.5","0.5"
"76389","","","","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"76392","","","","0","0","0","","","","","","","","",""
"76395","","","","","","","","","","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"76398","0","0","0","","","","0","0","0","","","","","",""
"76402","","","","0","0","0","","","","","","","","",""
"76407","","","","0","0","0","","","","","","","","",""
"76412","0","0","0","","","","0","0","0","","","","","",""
"76416","","","","","","","","","","","","","0","0","0"
"76418","","","","0","0","0","","","","","","","","",""
"76422","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","",""
"76424","","","","","","","","","","","","","0","0","0"
"76434","","","","0","0","0","","","","","","","","",""
"76440","","","","","","","","","","","","","0.5","0.5","0.5"
"76441","","","","0","0","0","","","","","","","","",""
"76442","","","","0","0","0","","","","","","","","",""
"76446","","","","","","","","","","","","","0","0","0"
"76467","","","","0","0","0","","","","","","","","",""
"76470","","","","","","","","","","0.5","0.5","0.5","","",""
"76473","0","0","0","","","","0","0","0","","","","","",""
"76480","","","","","","","","","","","","","0","0","0"
"76487","","","","","","","","","","0","0","0","","",""
"76490","","","","0","0","0","","","","","","","","",""
"76497","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","",""
"76499","0","0","0","","","","0","0","0","","","","","",""
"76501","","","","","","","","","","","","","0","0","0"
"76511","","","","","","","","","","0","0","0","","",""
"76512","","","","0","0","0","","","","","","","","",""
"76514","0","0","0","","","","0","0","0","","","","","",""
"76515","","","","","","","","","","0","0","0","","",""
"76516","0","0","0","","","","0","0","0","","","","","",""
"76525","","","","0","0","0","","","","","","","","",""
"76542","","","","0","0","0","","","","","","","","",""
"76544","","","","","","","","","","","","","0","0","0"
"76549","","","","0","0","0","","","","","","","","",""
"76554","","","","0","0","0","","","","","","","","",""
"76556","","","","","","","","","","0","0","0","","",""
"76559","","","","0","0","0","","","","","","","","",""
"76566","","","","","","","","","","","","","0","0","0"
"76572","","","","","","","","","","","","","0","0","0"
"76574","1","1","1","","","","0","0","0","","","","","",""
"76581","","","","0","0","0","","","","","","","","",""
"76583","0","0","0","","","","0","0","0","","","","","",""
"76584","","","","","","","","","","","","","0","0","0"
"76586","","","","","","","","","","","","","0","0","0"
"76590","0","0","0","","","","0.6","0.6","0.6","","","","","",""
"76591","","","","","","","","","","0","0","0","","",""
"76593","0","0","0","","","","0","0","0","","","","","",""
"76608","0","0","0","","","","0","0","0","","","","","",""
"76611","0","0","0","","","","0.6","0.6","0.6","","","","","",""
"76612","","","","0","0","0","","","","","","","","",""
"76620","0","0","0","","","","0.25","0.25","0.25","","","","","",""
"76622","","","","0","0","0","","","","","","","","",""
"76626","","","","0","0","0","","","","","","","","",""
"76629","0","0","0","","","","0","0","0","","","","","",""
"76632","","","","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"76638","","","","","","","","","","","","","1","1","1"
"76645","","","","","","","","","","0","0","0","0","0","0"
"76646","","","","","","","","","","0","0","0","","",""
"76647","","","","0","0","0","","","","","","","","",""
"76650","0","0","0","","","","0.2","0.2","0.2","","","","","",""
"76653","","","","","","","","","","","","","0","0","0"
"76663","0","0","0","","","","0","0","0","","","","","",""
"76671","","","","","","","","","","0","0","0","","",""
"76673","","","","","","","","","","","","","0","0","0"
"76675","","","","0","0","0","","","","","","","","",""
"76676","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","",""
"76678","","","","0","0","0","","","","","","","","",""
"76683","","","","0","0","0","","","","","","","0","0","0"
"76692","0","0","0","","","","0","0","0","","","","","",""
"76694","","","","","","","","","","0","0","0","","",""
"76699","","","","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"76707","","","","","","","","","","0","0","0","","",""
"76710","","","","0","0","0","","","","","","","","",""
"76725","0","0","0","","","","0","0","0","","","","","",""
"76730","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","",""
"76738","","","","0","0","0","","","","","","","","",""
"76742","","","","","","","","","","","","","0","0","0"
"76743","","","","","","","","","","","","","0","0","0"
"76750","","","","","","","","","","","","","0","0","0"
"76751","","","","","","","","","","0","0","0","","",""
"76756","","","","","","","","","","","","","0","0","0"
"76759","","","","","","","","","","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"76763","","","","0","0","0","","","","","","","","",""
"76765","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","",""
"76772","","","","0","0","0","","","","","","","","",""
"76775","0","0","0","","","","0","0","0","","","","","",""
"76779","","","","0","0","0","","","","","","","0","0","0"
"76782","","","","","","","","","","0","0","0","","",""
"76783","","","","","","","","","","0","0","0","","",""
"76785","","","","0","0","0","","","","","","","","",""
"76794","","","","0","0","0","","","","","","","","",""
"76800","","","","1","1","1","","","","","","","","",""
"76803","0","0","0","","","","0","0","0","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"76804","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"76805","1","1","1","","","","0","0","0","","","","","",""
"76806","","","","","","","","","","","","","0","0","0"
"76807","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","0","0","0","0.25","0.25","0.25","","",""
"76808","0","0","0","0","0","0","0","0","0","","","","","",""
"76811","","","","","","","","","","0.25","0.25","0.25","","",""
"76812","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0"
"76817","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","",""
"76823","0","0","0","","","","0","0","0","","","","","",""
"76824","","","","0","0","0","","","","","","","0","0","0"
"76826","0","0","0","","","","0","0","0","","","","","",""
"76831","0","0","0","","","","0.5","0.5","0.5","","","","","",""
"76834","","","","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"76835","","","","0","0","0","","","","","","","","",""
"76846","0","0","0","","","","0","0","0","","","","0","0","0"
"76858","","","","0","0","0","","","","","","","","",""
"76871","0","0","0","","","","0","0","0","","","","","",""
"76876","0","0","0","","","","0","0","0","","","","","",""
"76879","0","0","0","","","","0","0","0","","","","","",""
"76880","","","","","","","","","","","","","0","0","0"
"76886","","","","0","0","0","","","","","","","","",""
"76889","","","","0","0","0","","","","","","","","",""
"76893","0","0","0","","","","0","0","0","","","","","",""
"76894","","","","","","","","","","0","0","0","","",""
"76902","","","","","","","","","","","","","0","0","0"
"76903","","","","","","","","","","","","","0","0","0"
"76906","","","","","","","","","","0","0","0","","",""
"76907","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","0","0","0","","","","","",""
"76913","0","0","0","","","","0.5","0.5","0.5","","","","","",""
"76921","","","","0","0","0","","","","0","0","0","","",""
"76926","","","","","","","","","","0","0","0","0","0","0"
"76929","0","0","0","","","","0","0","0","","","","","",""
"76930","","","","0","0","0","","","","","","","","",""
"76934","0","0","0","","","","0","0","0","","","","","",""
"76936","0","0","0","","","","0","0","0","","","","","",""
"76937","","","","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"76939","","","","","","","","","","","","","0.25","0.25","0.25"
"76940","0","0","0","","","","0.2","0.2","0.2","","","","","",""
"76942","","","","","","","","","","","","","0","0","0"
"76954","","","","","","","","","","","","","0","0","0"
"76956","","","","","","","","","","1","1","1","","",""
"76971","","","","","","","","","","0","0","0","1","1","1"
"76975","0.5","0.5","0.5","0","0","0","0","0","0","","","","","",""
"76987","","","","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"76988","","","","0","0","0","","","","","","","","",""
"76995","1","1","1","","","","0","0","0","","","","","",""
"76996","0","0","0","","","","0","0","0","","","","","",""
"76997","1","1","1","","","","0","0","0","","","","","",""
"77012","0","0","0","","","","0","0","0","","","","","",""
"77013","","","","0","0","0","","","","","","","","",""
"77016","","","","","","","","","","0","0","0","","",""
"77020","","","","0","0","0","","","","","","","","",""
"77022","","","","","","","","","","","","","0","0","0"
"77023","","","","","","","","","","0","0","0","","",""
"77025","","","","","","","","","","0","0","0","","",""
"77027","1","1","1","","","","0","0","0","","","","","",""
"77038","","","","0","0","0","","","","0","0","0","0.5","0.5","0.5"
"77040","","","","","","","","","","0","0","0","0.5","0.5","0.5"
"77042","0","0","0","","","","0","0","0","","","","0","0","0"
"77043","","","","0","0","0","","","","","","","","",""
"77044","","","","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"77046","","","","","","","","","","","","","0.5","0.5","0.5"
"77058","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","",""
"77064","","","","0","0","0","","","","","","","","",""
"77066","","","","0","0","0","","","","","","","","",""
"77067","","","","","","","","","","","","","0","0","0"
"77069","0","0","0","","","","0","0","0","","","","","",""
"77071","0","0","0","","","","0.25","0.25","0.25","0","0","0","","",""
"77074","","","","0","0","0","","","","","","","","",""
"77077","","","","","","","","","","","","","1","1","1"
"77081","","","","0","0","0","","","","","","","","",""
"77083","","","","0","0","0","","","","","","","0.25","0.25","0.25"
"77085","","","","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"77086","0","0","0","","","","0","0","0","","","","","",""
"77097","","","","","","","","","","0","0","0","","",""
"77114","","","","0","0","0","","","","","","","","",""
"77116","","","","","","","","","","","","","0.25","0.25","0.25"
"77117","0","0","0","0","0","0","0","0","0","","","","","",""
"77118","","","","","","","","","","0","0","0","","",""
"77120","","","","","","","","","","0","0","0","","",""
"77133","","","","","","","","","","","","","0","0","0"
"77135","0","0","0","","","","0","0","0","","","","","",""
"77137","","","","0","0","0","","","","","","","","",""
"77143","","","","","","","","","","0","0","0","","",""
"77149","","","","0","0","0","","","","","","","","",""
"77158","","","","0","0","0","","","","","","","","",""
"77161","","","","0","0","0","","","","","","","","",""
"77166","","","","","","","","","","0","0","0","","",""
"77167","","","","0","0","0","","","","","","","","",""
"77176","","","","","","","","","","0","0","0","","",""
"77180","0","0","0","","","","0.6","0.6","0.6","","","","","",""
"77183","","","","","","","","","","","","","0","0","0"
"77187","","","","","","","","","","","","","0","0","0"
"77189","1","1","1","","","","0","0","0","","","","","",""
"77193","","","","","","","","","","","","","0","0","0"
"77201","0.6666666666666666","0.6666666666666666","0.6666666666666666","","","","0","0","0","","","","","",""
"77206","","","","","","","","","","","","","0","0","0"
"77208","","","","","","","","","","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"77209","","","","0","0","0","","","","","","","","",""
"77210","","","","0","0","0","","","","","","","","",""
"77212","","","","0","0","0","","","","","","","","",""
"77222","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","",""
"77241","","","","","","","","","","","","","0","0","0"
"77244","0","0","0","","","","0","0","0","0","0","0","","",""
"77246","0","0","0","0","0","0","0","0","0","","","","","",""
"77249","","","","","","","","","","","","","0","0","0"
"77250","","","","0","0","0","","","","","","","","",""
"77251","","","","0","0","0","","","","","","","","",""
"77259","","","","","","","","","","","","","0","0","0"
"77267","0.5","0.5","0.5","","","","0","0","0","","","","","",""
"77271","","","","","","","","","","0","0","0","","",""
"77275","","","","","","","","","","0.5","0.5","0.5","","",""
"77276","","","","","","","","","","","","","0","0","0"
"77285","","","","0","0","0","","","","","","","","",""
"77288","0","0","0","","","","0.5","0.5","0.5","","","","","",""
"77303","","","","0","0","0","","","","","","","","",""
"77304","","","","0","0","0","","","","","","","","",""
"77308","","","","","","","","","","1","1","1","","",""
"77311","0","0","0","0","0","0","0","0","0","","","","","",""
"77318","","","","0","0","0","","","","","","","","",""
"77325","","","","0","0","0","","","","","","","","",""
"77329","","","","","","","","","","","","","0","0","0"
"77333","0","0","0","","","","0","0","0","","","","","",""
"77334","","","","0","0","0","","","","","","","","",""
"77340","0","0","0","","","","0.25","0.25","0.25","","","","0","0","0"
"77341","0","0","0","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","","",""
"77344","","","","","","","","","","","","","0","0","0"
"77349","","","","","","","","","","","","","0","0","0"
"77353","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","",""
"77355","","","","0","0","0","","","","","","","","",""
"77361","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","","",""
