"Step","00-dynamic","00-dynamic - latency-1__MIN","00-dynamic - latency-1__MAX","00-every-100","00-every-100 - latency-1__MIN","00-every-100 - latency-1__MAX","00-every-10","00-every-10 - latency-1__MIN","00-every-10 - latency-1__MAX","00-static-1","00-static-1 - latency-1__MIN","00-static-1 - latency-1__MAX","00-ofb","00-ofb - latency-1__MIN","00-ofb - latency-1__MAX"
"513","","","","","","","0","0","0","","","","","",""
"514","","","","0","0","0","","","","","","","","",""
"533","","","","0","0","0","","","","","","","","",""
"539","","","","0","0","0","","","","","","","","",""
"548","","","","","","","0","0","0","","","","","",""
"549","0","0","0","","","","","","","","","","","",""
"554","","","","","","","","","","0","0","0","0","0","0"
"563","","","","0","0","0","0","0","0","","","","","",""
"571","","","","0","0","0","","","","","","","","",""
"578","","","","0","0","0","","","","","","","","",""
"587","","","","0","0","0","","","","","","","","",""
"588","0","0","0","","","","","","","","","","","",""
"589","","","","0","0","0","","","","","","","","",""
"596","","","","0","0","0","","","","","","","","",""
"597","","","","","","","","","","0","0","0","0","0","0"
"600","","","","","","","","","","0","0","0","0","0","0"
"605","","","","","","","","","","0","0","0","0","0","0"
"611","0","0","0","","","","","","","","","","","",""
"613","","","","","","","","","","0","0","0","0","0","0"
"615","0","0","0","","","","","","","","","","","",""
"621","","","","","","","0","0","0","","","","","",""
"622","0","0","0","0","0","0","","","","","","","","",""
"629","","","","","","","","","","0","0","0","0","0","0"
"631","0","0","0","","","","","","","","","","","",""
"642","","","","","","","0","0","0","","","","","",""
"643","0","0","0","","","","","","","","","","","",""
"646","","","","","","","","","","0","0","0","0","0","0"
"647","","","","0","0","0","","","","","","","","",""
"653","0","0","0","","","","","","","","","","","",""
"655","0","0","0","","","","","","","","","","","",""
"660","0","0","0","","","","","","","","","","","",""
"662","","","","","","","0","0","0","","","","","",""
"677","","","","","","","0","0","0","","","","","",""
"680","","","","","","","","","","0","0","0","0","0","0"
"681","","","","","","","","","","0","0","0","0","0","0"
"689","","","","","","","","","","0","0","0","0","0","0"
"696","","","","0","0","0","","","","","","","","",""
"697","0","0","0","","","","","","","","","","","",""
"699","","","","","","","0","0","0","","","","","",""
"703","0","0","0","","","","","","","","","","","",""
"708","0","0","0","","","","","","","","","","","",""
"713","","","","0","0","0","","","","0","0","0","0","0","0"
"719","0","0","0","","","","","","","","","","","",""
"721","0","0","0","","","","","","","","","","","",""
"733","","","","","","","","","","0.5","0.5","0.5","0","0","0"
"738","","","","","","","","","","0","0","0","0","0","0"
"740","0","0","0","","","","","","","","","","","",""
"750","0.4","0.4","0.4","","","","","","","","","","","",""
"756","","","","0","0","0","","","","","","","","",""
"764","","","","","","","0","0","0","","","","","",""
"766","","","","","","","0","0","0","","","","","",""
"770","0.75","0.75","0.75","17","17","17","0.4","0.4","0.4","","","","","",""
"773","0","0","0","","","","","","","","","","","",""
"777","0","0","0","","","","","","","","","","","",""
"790","0","0","0","","","","7.333333333333333","7.333333333333333","7.333333333333333","","","","","",""
"792","","","","","","","","","","0","0","0","0","0","0"
"794","","","","","","","","","","0","0","0","0","0","0"
"795","","","","","","","9.5","9.5","9.5","","","","","",""
"800","","","","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0"
"802","","","","","","","","","","0","0","0","0","0","0"
"808","","","","","","","","","","0","0","0","0","0","0"
"811","","","","0","0","0","","","","","","","","",""
"815","","","","","","","","","","0","0","0","0","0","0"
"826","","","","8","8","8","","","","","","","","",""
"831","3","3","3","","","","","","","","","","","",""
"837","0","0","0","","","","","","","","","","","",""
"850","","","","","","","0","0","0","","","","","",""
"853","","","","","","","","","","0","0","0","0","0","0"
"856","1","1","1","","","","","","","","","","","",""
"859","","","","","","","0","0","0","","","","","",""
"860","0","0","0","","","","","","","","","","","",""
"876","","","","0","0","0","","","","","","","","",""
"893","","","","","","","","","","0","0","0","0","0","0"
"896","0","0","0","","","","","","","","","","","",""
"908","","","","","","","","","","0","0","0","0","0","0"
"916","0.4","0.4","0.4","","","","","","","","","","","",""
"917","","","","0","0","0","","","","","","","","",""
"919","0","0","0","","","","","","","","","","","",""
"920","","","","","","","","","","0","0","0","0","0","0"
"925","0","0","0","","","","","","","","","","","",""
"928","","","","","","","44","44","44","","","","","",""
"930","","","","","","","","","","0","0","0","0","0","0"
"931","","","","","","","","","","0","0","0","0","0","0"
"934","0","0","0","","","","","","","0","0","0","0","0","0"
"935","","","","","","","","","","0","0","0","0","0","0"
"943","","","","","","","44.5","44.5","44.5","","","","","",""
"946","","","","","","","0","0","0","","","","","",""
"952","2.625","2.625","2.625","","","","0","0","0","","","","","",""
"960","0.6666666666666666","0.6666666666666666","0.6666666666666666","","","","0","0","0","","","","","",""
"961","0","0","0","","","","","","","0","0","0","0","0","0"
"964","0","0","0","","","","","","","","","","","",""
"965","","","","","","","","","","0","0","0","0","0","0"
"968","","","","","","","64","64","64","","","","","",""
"971","","","","","","","","","","0","0","0","0","0","0"
"975","","","","","","","63","63","63","","","","","",""
"977","3","3","3","","","","","","","","","","","",""
"979","","","","","","","0","0","0","","","","","",""
"981","","","","0","0","0","","","","0","0","0","0","0","0"
"984","","","","0","0","0","","","","","","","","",""
"989","","","","","","","","","","0","0","0","0","0","0"
"1006","","","","","","","0","0","0","","","","","",""
"1012","","","","","","","70","70","70","","","","","",""
"1013","","","","","","","70","70","70","","","","","",""
"1026","","","","","","","62.142857142857146","62.142857142857146","62.142857142857146","","","","","",""
"1032","0","0","0","","","","","","","0","0","0","0","0","0"
"1037","","","","0","0","0","","","","0","0","0","0","0","0"
"1039","0","0","0","","","","","","","","","","","",""
"1043","","","","","","","52.8","52.8","52.8","","","","","",""
"1046","","","","0","0","0","","","","","","","","",""
"1048","","","","","","","50","50","50","0","0","0","0","0","0"
"1051","","","","","","","0","0","0","","","","","",""
"1053","","","","","","","53","53","53","","","","","",""
"1054","","","","","","","0","0","0","","","","","",""
"1061","","","","0","0","0","","","","","","","","",""
"1077","0","0","0","","","","","","","","","","","",""
"1084","","","","","","","","","","0","0","0","0","0","0"
"1087","0","0","0","","","","","","","","","","","",""
"1092","","","","0","0","0","","","","","","","","",""
"1094","","","","","","","70","70","70","","","","","",""
"1105","","","","0","0","0","67.66666666666667","67.66666666666667","67.66666666666667","","","","","",""
"1110","0","0","0","","","","","","","","","","","",""
"1111","","","","","","","67.66666666666667","67.66666666666667","67.66666666666667","","","","","",""
"1121","","","","","","","","","","0","0","0","0","0","0"
"1124","","","","0","0","0","","","","","","","","",""
"1131","","","","","","","","","","2","2","2","0","0","0"
"1135","","","","0","0","0","","","","","","","","",""
"1136","0","0","0","","","","","","","","","","","",""
"1137","","","","","","","","","","2.6666666666666665","2.6666666666666665","2.6666666666666665","0","0","0"
"1140","","","","","","","","","","2","2","2","0","0","0"
"1142","","","","","","","69.33333333333333","69.33333333333333","69.33333333333333","","","","","",""
"1144","","","","2","2","2","","","","","","","","",""
"1147","0","0","0","","","","","","","","","","","",""
"1150","","","","3.5","3.5","3.5","","","","","","","","",""
"1151","","","","3.3333333333333335","3.3333333333333335","3.3333333333333335","","","","","","","","",""
"1152","0.2","0.2","0.2","","","","","","","","","","","",""
"1159","","","","0","0","0","0","0","0","0","0","0","34.57142857142857","34.57142857142857","34.57142857142857"
"1163","0","0","0","","","","","","","17.5","17.5","17.5","25.8","25.8","25.8"
"1164","0","0","0","","","","","","","","","","","",""
"1168","","","","","","","","","","0","0","0","10.5","10.5","10.5"
"1172","","","","0","0","0","","","","","","","","",""
"1174","","","","0","0","0","","","","","","","","",""
"1188","","","","31.5","31.5","31.5","","","","","","","","",""
"1190","","","","","","","63.2","63.2","63.2","","","","","",""
"1192","","","","","","","","","","41","41","41","0","0","0"
