"Step","00-dynamic","00-dynamic - dead-1__MIN","00-dynamic - dead-1__MAX","00-every-100","00-every-100 - dead-1__MIN","00-every-100 - dead-1__MAX","00-every-10","00-every-10 - dead-1__MIN","00-every-10 - dead-1__MAX","00-static-1","00-static-1 - dead-1__MIN","00-static-1 - dead-1__MAX","00-ofb","00-ofb - dead-1__MIN","00-ofb - dead-1__MAX"
"748","","","","","","","0","0","0","","","","","",""
"749","","","","","","","0","0","0","","","","","",""
"751","0","0","0","","","","","","","0","0","0","0","0","0"
"754","0","0","0","","","","","","","0","0","0","0","0","0"
"756","0","0","0","","","","","","","0","0","0","0","0","0"
"757","","","","0","0","0","","","","","","","","",""
"758","","","","","","","0","0","0","","","","","",""
"759","","","","","","","0","0","0","","","","","",""
"762","","","","","","","0","0","0","","","","","",""
"763","0","0","0","","","","","","","0","0","0","0","0","0"
"764","","","","","","","0","0","0","","","","","",""
"771","","","","","","","0","0","0","","","","","",""
"774","","","","","","","0","0","0","","","","","",""
"776","","","","","","","0","0","0","","","","","",""
"783","","","","0","0","0","","","","","","","","",""
"786","","","","","","","0","0","0","","","","","",""
"789","0","0","0","","","","","","","0","0","0","0","0","0"
"809","0","0","0","","","","","","","0","0","0","0","0","0"
"817","0","0","0","","","","","","","0","0","0","0","0","0"
"820","","","","","","","0","0","0","","","","","",""
"827","0","0","0","","","","","","","0","0","0","0","0","0"
"830","","","","","","","0","0","0","","","","","",""
"842","0","0","0","","","","","","","0","0","0","0","0","0"
"843","","","","0","0","0","","","","","","","","",""
"848","0","0","0","","","","","","","0","0","0","0","0","0"
"853","","","","","","","0","0","0","","","","","",""
"862","0","0","0","","","","","","","0","0","0","0","0","0"
"881","0","0","0","","","","","","","0","0","0","0","0","0"
"882","","","","","","","0","0","0","","","","","",""
"888","0","0","0","","","","","","","0","0","0","0","0","0"
"889","","","","0","0","0","","","","","","","","",""
"890","","","","0","0","0","","","","","","","","",""
"898","","","","","","","0","0","0","","","","","",""
"900","","","","","","","0","0","0","","","","","",""
"916","","","","0","0","0","","","","","","","","",""
"918","0","0","0","","","","","","","0","0","0","0","0","0"
"921","","","","0","0","0","","","","","","","","",""
"924","","","","","","","0","0","0","","","","","",""
"926","0","0","0","","","","","","","0","0","0","0","0","0"
"927","","","","","","","0","0","0","","","","","",""
"929","","","","","","","0","0","0","","","","","",""
"942","","","","0","0","0","","","","","","","","",""
"944","","","","0","0","0","","","","","","","","",""
"956","0","0","0","0","0","0","","","","0","0","0","0","0","0"
"966","0","0","0","0","0","0","","","","0","0","0","0","0","0"
"969","","","","0","0","0","0","0","0","","","","","",""
"978","0","0","0","","","","","","","0","0","0","0","0","0"
"985","0","0","0","","","","","","","0","0","0","0","0","0"
"1004","","","","0","0","0","","","","","","","","",""
"1008","","","","","","","2","2","2","","","","","",""
"1009","","","","0","0","0","","","","","","","","",""
"1012","","","","0","0","0","","","","","","","","",""
"1014","","","","0","0","0","","","","","","","","",""
"1022","0","0","0","","","","","","","0","0","0","0","0","0"
"1026","","","","","","","0","0","0","","","","","",""
"1032","0","0","0","","","","","","","0","0","0","0","0","0"
"1034","","","","","","","0","0","0","","","","","",""
"1040","0","0","0","","","","","","","0","0","0","0","0","0"
"1045","","","","","","","0","0","0","","","","","",""
"1047","","","","","","","0","0","0","","","","","",""
"1049","","","","0","0","0","","","","","","","","",""
"1054","0","0","0","","","","","","","0","0","0","0","0","0"
"1066","","","","0","0","0","","","","","","","","",""
"1068","0","0","0","","","","","","","0","0","0","0","0","0"
"1070","","","","0","0","0","","","","","","","","",""
"1089","","","","","","","1","1","1","","","","","",""
"1095","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"1106","0","0","0","","","","","","","0","0","0","0","0","0"
"1107","","","","0","0","0","","","","","","","","",""
"1109","","","","0","0","0","","","","","","","","",""
"1110","","","","0","0","0","0","0","0","","","","","",""
"1115","0","0","0","","","","","","","0","0","0","0","0","0"
"1128","0","0","0","","","","","","","0","0","0","0","0","0"
"1130","0","0","0","","","","","","","0","0","0","0","0","0"
"1131","","","","0","0","0","","","","","","","","",""
"1132","","","","","","","3","3","3","","","","","",""
"1133","0","0","0","","","","","","","0","0","0","0","0","0"
"1139","0","0","0","","","","","","","0","0","0","0","0","0"
"1144","","","","","","","0","0","0","","","","","",""
"1147","","","","0","0","0","","","","","","","","",""
"1158","","","","0","0","0","","","","","","","","",""
"1160","","","","","","","1","1","1","","","","","",""
"1165","0","0","0","","","","","","","0","0","0","0","0","0"
"1166","0","0","0","","","","","","","0","0","0","0","0","0"
"1170","","","","0","0","0","","","","","","","","",""
"1174","0","0","0","","","","","","","0","0","0","0","0","0"
"1175","","","","","","","0","0","0","","","","","",""
"1176","","","","","","","0","0","0","","","","","",""
"1177","","","","0","0","0","","","","","","","","",""
"1191","0","0","0","","","","","","","0","0","0","0","0","0"
"1193","","","","0","0","0","","","","","","","","",""
"1195","","","","","","","0","0","0","","","","","",""
"1197","0","0","0","","","","","","","0","0","0","0","0","0"
"1202","0","0","0","","","","","","","0","0","0","0","0","0"
"1213","0","0","0","","","","","","","0","0","0","0","0","0"
"1217","","","","0","0","0","","","","","","","","",""
"1220","","","","","","","0","0","0","","","","","",""
"1221","","","","0","0","0","","","","","","","","",""
"1228","0","0","0","","","","","","","0","0","0","0","0","0"
"1230","","","","0","0","0","","","","","","","","",""
"1233","","","","0","0","0","0","0","0","","","","","",""
"1238","","","","","","","0","0","0","","","","","",""
"1242","","","","0","0","0","","","","","","","","",""
"1250","","","","0","0","0","","","","","","","","",""
"1254","","","","0","0","0","","","","","","","","",""
"1255","","","","","","","0","0","0","","","","","",""
"1275","0","0","0","","","","","","","0","0","0","0","0","0"
"1276","","","","","","","0","0","0","","","","","",""
"1281","0","0","0","","","","","","","0","0","0","0","0","0"
"1285","","","","","","","0","0","0","","","","","",""
"1287","","","","0","0","0","","","","","","","","",""
"1291","","","","0","0","0","","","","","","","","",""
"1292","","","","0","0","0","","","","","","","","",""
"1293","","","","","","","0","0","0","","","","","",""
"1298","","","","0","0","0","0","0","0","","","","","",""
"1311","","","","","","","0","0","0","","","","","",""
"1312","0","0","0","","","","","","","0","0","0","0","0","0"
"1313","","","","0","0","0","","","","","","","","",""
"1323","0","0","0","","","","","","","0","0","0","0","0","0"
"1326","0","0","0","","","","","","","0","0","0","0","0","0"
"1328","0","0","0","","","","","","","0","0","0","0","0","0"
"1329","","","","","","","0","0","0","","","","","",""
"1332","0","0","0","","","","","","","0","0","0","0","0","0"
"1337","0","0","0","","","","","","","0","0","0","0","0","0"
"1342","","","","0","0","0","","","","","","","","",""
"1347","","","","0","0","0","","","","","","","","",""
"1367","","","","","","","0","0","0","","","","","",""
"1374","0","0","0","","","","","","","0","0","0","0","0","0"
"1384","0","0","0","","","","","","","0","0","0","0","0","0"
"1388","","","","","","","0","0","0","","","","","",""
"1394","","","","","","","0","0","0","","","","","",""
"1399","","","","0","0","0","","","","","","","","",""
"1400","","","","","","","0","0","0","","","","","",""
"1416","","","","0","0","0","","","","","","","","",""
"1418","","","","0","0","0","","","","","","","","",""
