"Step","00-dynamic","00-dynamic - drop-0__MIN","00-dynamic - drop-0__MAX","00-every-100","00-every-100 - drop-0__MIN","00-every-100 - drop-0__MAX","00-every-10","00-every-10 - drop-0__MIN","00-every-10 - drop-0__MAX","00-static-1","00-static-1 - drop-0__MIN","00-static-1 -drop-0__MAX","00-ofb","00-ofb - drop-0__MIN","00-ofb - drop-0__MAX"
"479","","","","","","","","","","","","","5","5","5"
"480","6","6","6","","","","","","","","","","","",""
"482","","","","12","12","12","","","","","","","","",""
"483","","","","","","","6","6","6","11","11","11","","",""
"485","","","","","","","","","","","","","8","8","8"
"491","4","4","4","","","","8","8","8","","","","13","13","13"
"495","","","","","","","6","6","6","","","","","",""
"496","","","","17","17","17","","","","","","","","",""
"498","","","","","","","","","","7","7","7","","",""
"500","","","","11","11","11","","","","","","","","",""
"514","","","","","","","","","","","","","6","6","6"
"518","","","","8","8","8","","","","","","","","",""
"519","0","0","0","","","","","","","","","","","",""
"522","0","0","0","","","","9","9","9","","","","","",""
"523","2","2","2","","","","","","","","","","","",""
"526","","","","","","","","","","9","9","9","","",""
"527","","","","","","","","","","","","","9","9","9"
"531","","","","12","12","12","","","","","","","","",""
"532","","","","","","","","","","","","","12","12","12"
"534","","","","12","12","12","","","","","","","","",""
"535","","","","","","","5","5","5","","","","","",""
"540","","","","","","","13","13","13","","","","","",""
"542","","","","","","","","","","11","11","11","","",""
"544","","","","","","","","","","","","","12","12","12"
"546","","","","","","","","","","12","12","12","","",""
"547","","","","","","","","","","9","9","9","","",""
"549","","","","9","9","9","4","4","4","","","","","",""
"552","2","2","2","","","","","","","","","","","",""
"553","","","","","","","","","","0","0","0","0","0","0"
"556","","","","","","","","","","5","5","5","","",""
"558","","","","5","5","5","","","","","","","","",""
"560","","","","","","","","","","","","","6","6","6"
"561","8","8","8","","","","","","","","","","","",""
"568","","","","","","","","","","","","","4","4","4"
"573","","","","","","","","","","10","10","10","","",""
"586","","","","8","8","8","","","","","","","","",""
"589","11","11","11","","","","","","","","","","","",""
"592","","","","7","7","7","","","","6","6","6","","",""
"596","","","","0","0","0","","","","","","","","",""
"598","","","","2","2","2","","","","","","","","",""
"603","","","","1","1","1","","","","","","","","",""
"604","6","6","6","","","","","","","","","","","",""
"607","","","","","","","3","3","3","","","","","",""
"611","14","14","14","","","","9","9","9","","","","","",""
"612","","","","4","4","4","","","","","","","","",""
"618","5","5","5","","","","","","","","","","","",""
"619","","","","","","","","","","6","6","6","","",""
"622","","","","","","","","","","","","","2","2","2"
"633","","","","","","","","","","8","8","8","","",""
"636","5","5","5","","","","","","","","","","","",""
"641","13","13","13","","","","","","","","","","","",""
"644","","","","","","","","","","","","","10","10","10"
"646","","","","","","","7","7","7","","","","","",""
"649","4","4","4","","","","","","","","","","","",""
"651","","","","4","4","4","","","","","","","","",""
"652","","","","","","","","","","","","","8","8","8"
"660","5","5","5","","","","","","","","","","","",""
"661","","","","","","","","","","13","13","13","","",""
"663","","","","","","","","","","","","","8","8","8"
"667","","","","","","","","","","5","5","5","","",""
"674","","","","","","","4","4","4","","","","","",""
"680","","","","5","5","5","10","10","10","","","","","",""
"684","","","","","","","4","4","4","","","","","",""
"688","6","6","6","","","","","","","","","","","",""
"702","","","","","","","","","","6","6","6","","",""
"707","","","","","","","","","","8","8","8","","",""
"709","5","5","5","","","","","","","","","","","",""
"713","","","","","","","","","","8","8","8","","",""
"716","","","","","","","","","","","","","9","9","9"
"720","","","","","","","","","","","","","14","14","14"
"722","","","","","","","","","","","","","11","11","11"
"724","","","","","","","","","","","","","11","11","11"
"728","","","","0","0","0","6","6","6","","","","","",""
"731","5","5","5","","","","","","","","","","","",""
"732","","","","","","","","","","","","","10","10","10"
"737","","","","","","","","","","","","","8","8","8"
"738","","","","0","0","0","","","","","","","","",""
"744","","","","","","","14","14","14","","","","","",""
"750","","","","","","","","","","0","0","0","","",""
"763","","","","","","","","","","8","8","8","","",""
"764","","","","","","","","","","","","","9","9","9"
"773","","","","","","","","","","4","4","4","","",""
"780","6","6","6","","","","","","","","","","","",""
"784","","","","0","0","0","","","","","","","","",""
"785","","","","","","","0","0","0","","","","","",""
"788","","","","","","","0","0","0","","","","","",""
"790","","","","","","","","","","","","","10","10","10"
"793","","","","","","","0","0","0","","","","3","3","3"
"796","","","","","","","0","0","0","","","","","",""
"798","","","","","","","0","0","0","","","","","",""
"799","","","","","","","","","","3","3","3","","",""
"800","","","","","","","1","1","1","","","","10","10","10"
"802","","","","","","","","","","","","","11","11","11"
"805","2","2","2","","","","","","","0","0","0","","",""
"806","","","","","","","6","6","6","","","","","",""
"808","","","","","","","","","","","","","11","11","11"
"809","","","","","","","","","","","","","12","12","12"
"810","","","","","","","","","","0","0","0","","",""
"811","","","","0","0","0","","","","","","","","",""
"816","","","","0","0","0","","","","","","","","",""
"818","","","","","","","","","","","","","8","8","8"
"822","","","","","","","","","","","","","15","15","15"
"830","","","","","","","","","","0","0","0","","",""
"837","8","8","8","","","","","","","","","","","",""
"838","5","5","5","","","","","","","0","0","0","","",""
"842","","","","","","","","","","","","","13","13","13"
"849","","","","","","","","","","1","1","1","","",""
"850","8","8","8","","","","","","","","","","","",""
"855","","","","","","","0","0","0","","","","","",""
"856","9","9","9","","","","","","","","","","","",""
"858","","","","0","0","0","","","","","","","","",""
"864","","","","","","","0","0","0","","","","","",""
"871","4","4","4","","","","","","","","","","","",""
"876","","","","","","","0","0","0","","","","","",""
"883","","","","","","","","","","","","","9","9","9"
"884","","","","","","","","","","","","","5","5","5"
"886","","","","10","10","10","","","","","","","","",""
"887","","","","","","","0","0","0","","","","","",""
"888","","","","8","8","8","","","","","","","","",""
"900","","","","","","","","","","","","","11","11","11"
"902","","","","","","","","","","6","6","6","","",""
"903","","","","","","","","","","8","8","8","","",""
"911","","","","","","","","","","","","","14","14","14"
"915","10","10","10","","","","","","","","","","","",""
"919","","","","","","","","","","5","5","5","","",""
"923","5","5","5","","","","","","","","","","","",""
"927","10","10","10","","","","","","","","","","","",""
"930","","","","","","","","","","","","","13","13","13"
"932","","","","","","","","","","2","2","2","","",""
"937","","","","0","0","0","","","","","","","","",""
"939","","","","0","0","0","0","0","0","","","","","",""
"942","5","5","5","","","","","","","","","","","",""
"948","","","","","","","0","0","0","","","","","",""
"950","","","","","","","","","","1","1","1","","",""
"953","","","","0","0","0","","","","","","","","",""
"954","","","","","","","","","","1","1","1","","",""
"958","","","","","","","","","","","","","4","4","4"
"959","8","8","8","","","","","","","","","","","",""
"960","","","","","","","","","","0","0","0","","",""
"963","","","","","","","","","","","","","3","3","3"
"966","4","4","4","","","","","","","","","","","",""
"973","","","","","","","","","","","","","13","13","13"
"975","","","","0","0","0","0","0","0","10","10","10","","",""
"976","","","","","","","","","","11","11","11","7","7","7"
"980","","","","","","","0","0","0","","","","","",""
"984","","","","","","","","","","11","11","11","","",""
"987","0","0","0","","","","","","","","","","","",""
"988","","","","","","","","","","","","","7","7","7"
"994","","","","8","8","8","","","","","","","","",""
"996","0","0","0","","","","","","","","","","","",""
"998","","","","9","9","9","","","","","","","","",""
"1003","","","","","","","0","0","0","","","","","",""
"1004","","","","10","10","10","","","","11","11","11","","",""
"1006","","","","5","5","5","","","","","","","","",""
"1008","","","","","","","0","0","0","","","","","",""
"1009","","","","","","","","","","","","","4","4","4"
"1017","","","","","","","","","","","","","0","0","0"
"1019","","","","","","","","","","14","14","14","","",""
"1020","5","5","5","","","","","","","","","","","",""
"1026","","","","","","","","","","8","8","8","","",""
"1029","","","","","","","","","","","","","7","7","7"
"1035","","","","","","","0","0","0","","","","","",""
"1037","","","","","","","0","0","0","","","","5","5","5"
"1042","8","8","8","","","","","","","","","","","",""
"1046","","","","","","","","","","","","","2","2","2"
"1047","","","","","","","0","0","0","","","","","",""
"1050","","","","","","","0","0","0","","","","","",""
"1055","","","","","","","0","0","0","","","","","",""
"1064","","","","","","","0","0","0","","","","","",""
"1065","","","","","","","0","0","0","","","","","",""
"1067","","","","","","","","","","","","","0","0","0"
"1068","2","2","2","","","","","","","","","","","",""
"1071","4","4","4","","","","","","","","","","","",""
"1075","0","0","0","","","","","","","","","","","",""
"1076","","","","","","","0","0","0","1","1","1","","",""
"1088","","","","7","7","7","","","","","","","","",""
"1090","","","","9","9","9","","","","","","","","",""
"1095","","","","","","","","","","","","","0","0","0"
"1098","","","","1","1","1","","","","","","","0","0","0"
"1102","","","","2","2","2","","","","","","","","",""
"1103","1","1","1","","","","0","0","0","","","","","",""
"1110","","","","","","","0","0","0","","","","","",""
"1115","","","","1","1","1","0","0","0","","","","","",""
"1124","","","","","","","","","","0","0","0","","",""
"1125","","","","","","","","","","1","1","1","","",""
"1126","","","","","","","","","","","","","0","0","0"
"1137","","","","","","","","","","","","","0","0","0"
"1146","","","","","","","0","0","0","","","","","",""
"1153","","","","","","","0","0","0","","","","","",""
"1156","","","","","","","","","","0","0","0","","",""
"1160","5","5","5","","","","","","","","","","","",""
"1161","","","","","","","","","","0","0","0","","",""
"1164","","","","0","0","0","","","","","","","","",""
"1165","","","","","","","","","","0","0","0","","",""
"1167","","","","","","","","","","0","0","0","0","0","0"
"1170","","","","0","0","0","","","","","","","","",""
"1172","","","","0","0","0","","","","","","","","",""
"1179","","","","0","0","0","","","","","","","","",""
"1183","","","","","","","","","","","","","8","8","8"
"1189","4","4","4","","","","","","","","","","","",""
"1196","","","","","","","","","","","","","9","9","9"
"1200","1","1","1","","","","","","","","","","","",""
"1202","","","","","","","","","","","","","7","7","7"
"1217","","","","","","","","","","0","0","0","","",""
"1222","","","","","","","","","","0","0","0","","",""
"1226","","","","","","","","","","0","0","0","","",""
"1227","4","4","4","","","","","","","","","","","",""
"1229","","","","0","0","0","","","","","","","","",""
"1230","4","4","4","","","","","","","","","","","",""
"1233","","","","","","","5","5","5","","","","","",""
"1236","","","","0","0","0","3","3","3","","","","","",""
"1238","","","","","","","","","","","","","11","11","11"
"1248","","","","","","","","","","","","","2","2","2"
"1250","","","","","","","","","","4","4","4","","",""
"1251","","","","","","","0","0","0","","","","","",""
"1253","","","","","","","","","","","","","1","1","1"
"1258","","","","","","","","","","2","2","2","","",""
"1260","","","","4","4","4","","","","","","","","",""
"1261","","","","5","5","5","","","","","","","","",""
"1262","","","","","","","","","","8","8","8","0","0","0"
"1270","","","","","","","13","13","13","","","","","",""
"1276","","","","","","","","","","9","9","9","","",""
"1282","10","10","10","","","","","","","","","","","",""
"1287","4","4","4","","","","","","","","","","","",""
"1291","","","","","","","16","16","16","","","","0","0","0"
"1298","","","","","","","","","","","","","0","0","0"
"1300","15","15","15","","","","","","","","","","","",""
"1301","","","","","","","","","","0","0","0","","",""
"1306","","","","","","","","","","2","2","2","","",""
"1323","","","","","","","","","","11","11","11","","",""
"1325","","","","","","","6","6","6","","","","","",""
"1331","","","","11","11","11","","","","","","","0","0","0"
"1333","6","6","6","","","","10","10","10","","","","","",""
"1335","","","","10","10","10","","","","","","","0","0","0"
"1340","8","8","8","","","","","","","1","1","1","","",""
"1341","","","","","","","","","","","","","7","7","7"
"1342","","","","","","","10","10","10","","","","","",""
"1347","","","","","","","","","","0","0","0","","",""
"1349","","","","","","","10","10","10","","","","","",""
"1351","","","","","","","","","","","","","12","12","12"
"1352","","","","","","","","","","3","3","3","","",""
"1355","","","","","","","4","4","4","","","","","",""
"1356","","","","","","","","","","0","0","0","","",""
"1365","5","5","5","","","","","","","","","","","",""
"1366","","","","","","","","","","0","0","0","","",""
"1373","","","","","","","","","","0","0","0","","",""
"1378","","","","0","0","0","","","","","","","","",""
"1379","","","","","","","","","","0","0","0","","",""
"1383","","","","","","","5","5","5","","","","","",""
"1384","","","","","","","","","","","","","10","10","10"
"1386","8","8","8","","","","","","","","","","","",""
"1387","","","","","","","15","15","15","","","","","",""
"1392","5","5","5","","","","","","","","","","","",""
"1395","","","","","","","13","13","13","","","","","",""
