"Step","102-static-1","102-static-1 - dead-1__MIN","102-static-1 - dead-1__MAX","102-ofb","102-ofbt - dead-1__MIN","102-ofbt - dead-1__MAX","102-dynamic","102-dynamic - dead-1__MIN","102-dynamic - dead-1__MAX","102-every-10","102-every-10 - dead-1__MIN","102-every-10 - dead-1__MAX","102-every-100","102-every-100 - dead-1__MIN","102-every-100 - dead-1__MAX"
"448","","","","","","","0","0","0","","","","","",""
"450","0","0","0","","","","","","","","","","","",""
"451","","","","","","","0","0","0","","","","","",""
"453","","","","","","","","","","","","","0","0","0"
"455","0","0","0","","","","","","","","","","","",""
"461","","","","","","","0","0","0","","","","","",""
"463","","","","","","","","","","0","0","0","","",""
"465","","","","","","","0","0","0","","","","","",""
"471","","","","","","","","","","","","","0","0","0"
"472","0","0","0","","","","","","","","","","","",""
"477","0","0","0","","","","","","","","","","","",""
"482","0","0","0","","","","","","","","","","","",""
"487","","","","","","","0","0","0","","","","0","0","0"
"488","","","","0","0","0","","","","","","","","",""
"491","0","0","0","","","","","","","","","","0","0","0"
"494","","","","0","0","0","","","","","","","","",""
"503","","","","0","0","0","","","","","","","","",""
"510","","","","0","0","0","","","","","","","","",""
"514","","","","","","","","","","","","","0","0","0"
"521","","","","0","0","0","0","0","0","","","","","",""
"522","","","","","","","","","","0","0","0","","",""
"523","","","","","","","","","","0","0","0","","",""
"530","","","","0","0","0","","","","0","0","0","","",""
"532","","","","","","","","","","","","","0","0","0"
"534","","","","","","","","","","","","","0","0","0"
"536","","","","","","","0","0","0","","","","","",""
"542","","","","","","","0","0","0","","","","","",""
"553","","","","","","","","","","","","","0","0","0"
"554","","","","","","","","","","","","","0","0","0"
"567","","","","0","0","0","","","","","","","","",""
"568","","","","0","0","0","","","","","","","","",""
"571","","","","","","","","","","0","0","0","","",""
"572","","","","0","0","0","","","","0","0","0","","",""
"575","","","","","","","","","","0","0","0","","",""
"579","","","","","","","","","","0","0","0","","",""
"583","","","","","","","0","0","0","","","","0","0","0"
"585","","","","","","","","","","","","","0","0","0"
"586","","","","","","","","","","","","","0","0","0"
"591","","","","","","","0","0","0","","","","","",""
"592","","","","","","","0","0","0","","","","","",""
"597","","","","0","0","0","","","","","","","","",""
"603","","","","","","","0","0","0","","","","","",""
"607","","","","0","0","0","","","","","","","","",""
"609","0","0","0","","","","","","","0","0","0","","",""
"610","","","","","","","","","","0","0","0","","",""
"615","","","","","","","","","","0","0","0","","",""
"619","0","0","0","","","","","","","0","0","0","","",""
"624","","","","","","","","","","","","","0","0","0"
"625","","","","","","","","","","","","","0","0","0"
"628","","","","0","0","0","","","","","","","","",""
"629","0","0","0","","","","","","","","","","","",""
"632","","","","0","0","0","","","","","","","","",""
"633","","","","","","","","","","0","0","0","","",""
"634","","","","","","","","","","","","","0","0","0"
"647","","","","","","","","","","","","","0","0","0"
"650","","","","0","0","0","","","","","","","","",""
"652","","","","","","","","","","","","","0","0","0"
"654","","","","0","0","0","","","","","","","","",""
"659","0","0","0","","","","","","","","","","","",""
"661","0","0","0","","","","","","","","","","","",""
"668","0","0","0","","","","","","","","","","","",""
"669","","","","","","","","","","","","","0","0","0"
"670","","","","","","","0","0","0","","","","0","0","0"
"671","0","0","0","","","","","","","","","","","",""
"673","","","","","","","","","","0","0","0","","",""
"676","","","","","","","","","","","","","0","0","0"
"677","","","","","","","","","","0","0","0","0","0","0"
"682","","","","","","","","","","","","","0","0","0"
"688","","","","0","0","0","","","","","","","","",""
"690","0","0","0","","","","","","","","","","","",""
"691","0","0","0","","","","","","","","","","","",""
"694","0","0","0","","","","","","","","","","","",""
"697","","","","0","0","0","","","","","","","","",""
"711","","","","","","","0","0","0","","","","","",""
"713","","","","0","0","0","","","","","","","","",""
"714","0","0","0","","","","","","","","","","","",""
"717","","","","0","0","0","","","","0","0","0","","",""
"725","","","","0","0","0","","","","","","","","",""
"726","","","","","","","","","","","","","0","0","0"
"731","","","","","","","0","0","0","","","","","",""
