"Step","102-static-1","102-static-1 - drop-0__MIN","102-static-1 - drop-0__MAX","102-ofb","102-ofbt - drop-0__MIN","102-ofbt - drop-0__MAX","102-dynamic","102-dynamic - drop-0__MIN","102-dynamic - drop-0__MAX","102-every-10","102-every-10 - drop-0__MIN","102-every-10 - drop-0__MAX","102-every-100","102-every-100 - drop-0__MIN","102-every-100 - drop-0__MAX"
"491","0","0","0","","","","","","","","","","","",""
"492","","","","","","","0","0","0","","","","","",""
"493","","","","","","","","","","","","","0","0","0"
"496","","","","","","","0","0","0","","","","0","0","0"
"502","","","","0","0","0","","","","0","0","0","","",""
"503","","","","","","","","","","0","0","0","","",""
"510","","","","","","","","","","0","0","0","","",""
"517","","","","0","0","0","","","","","","","","",""
"518","","","","","","","","","","","","","0","0","0"
"519","","","","","","","","","","","","","0","0","0"
"521","","","","","","","","","","","","","0","0","0"
"522","","","","0","0","0","","","","","","","","",""
"523","","","","","","","0","0","0","","","","","",""
"527","","","","","","","0","0","0","","","","","",""
"529","","","","0","0","0","","","","","","","","",""
"532","","","","","","","","","","","","","0","0","0"
"538","","","","","","","0","0","0","","","","","",""
"540","","","","","","","0","0","0","","","","","",""
"547","","","","","","","0","0","0","","","","","",""
"549","","","","","","","0","0","0","","","","","",""
"557","","","","","","","0","0","0","","","","","",""
"561","0","0","0","","","","","","","0","0","0","","",""
"564","","","","","","","","","","0","0","0","","",""
"567","","","","","","","0","0","0","","","","","",""
"570","","","","","","","","","","","","","0","0","0"
"574","","","","","","","","","","","","","0","0","0"
"577","","","","","","","","","","0","0","0","","",""
"580","","","","0","0","0","","","","","","","","",""
"584","3","3","3","","","","","","","","","","","",""
"585","","","","","","","","","","","","","0","0","0"
"593","","","","0","0","0","","","","","","","0","0","0"
"597","","","","0","0","0","","","","","","","","",""
"620","","","","","","","","","","0","0","0","","",""
"625","","","","","","","","","","0","0","0","","",""
"634","9","9","9","","","","","","","","","","","",""
"636","","","","","","","","","","0","0","0","","",""
"637","6","6","6","","","","","","","","","","","",""
"642","","","","","","","","","","3","3","3","","",""
"647","","","","","","","3","3","3","","","","","",""
"648","4","4","4","","","","","","","","","","","",""
"650","","","","","","","","","","10","10","10","","",""
"651","","","","","","","","","","4","4","4","","",""
"661","","","","","","","1","1","1","","","","0","0","0"
"665","6","6","6","","","","","","","","","","","",""
"671","0","0","0","","","","","","","","","","","",""
"672","","","","1","1","1","","","","2","2","2","","",""
"677","","","","","","","","","","2","2","2","","",""
"678","","","","3","3","3","","","","","","","","",""
"684","4","4","4","","","","","","","","","","","",""
"685","","","","","","","4","4","4","0","0","0","0","0","0"
"692","4","4","4","","","","","","","","","","","",""
"697","3","3","3","","","","","","","","","","","",""
"698","","","","","","","","","","","","","0","0","0"
"700","","","","","","","0","0","0","","","","","",""
"702","","","","1","1","1","","","","","","","","",""
"709","","","","","","","","","","","","","0","0","0"
"710","","","","","","","0","0","0","","","","","",""
"711","","","","","","","","","","6","6","6","","",""
"712","","","","6","6","6","","","","","","","","",""
"715","","","","","","","0","0","0","","","","","",""
"716","","","","2","2","2","","","","","","","","",""
"717","","","","","","","","","","","","","0","0","0"
"718","","","","","","","0","0","0","","","","0","0","0"
"721","","","","","","","","","","8","8","8","","",""
"725","0","0","0","","","","","","","","","","","",""
"730","","","","","","","0","0","0","","","","0","0","0"
"733","","","","","","","","","","5","5","5","","",""
"735","","","","","","","0","0","0","","","","","",""
"739","","","","0","0","0","","","","","","","","",""
"741","","","","0","0","0","","","","","","","","",""
"744","0","0","0","","","","","","","","","","","",""
"746","","","","","","","","","","10","10","10","","",""
"750","0","0","0","","","","","","","","","","0","0","0"
"751","","","","","","","0","0","0","","","","","",""
"752","","","","","","","","","","","","","0","0","0"
"753","","","","","","","","","","","","","0","0","0"
"755","0","0","0","","","","","","","","","","","",""
"757","","","","","","","0","0","0","","","","","",""
"758","","","","","","","","","","5","5","5","","",""
"762","0","0","0","","","","","","","","","","0","0","0"
"768","","","","","","","","","","","","","0","0","0"
"771","","","","0","0","0","","","","","","","","",""
"773","","","","","","","","","","","","","0","0","0"
"775","","","","","","","0","0","0","","","","","",""
"776","","","","","","","0","0","0","","","","","",""
"780","0","0","0","","","","","","","","","","0","0","0"
"781","","","","0","0","0","","","","","","","","",""
"783","0","0","0","","","","","","","","","","","",""
"787","","","","","","","2","2","2","","","","","",""
"789","0","0","0","","","","","","","","","","","",""
"790","","","","","","","","","","","","","0","0","0"
"791","","","","","","","","","","0","0","0","","",""
"794","","","","0","0","0","","","","0","0","0","","",""
"807","","","","0","0","0","","","","","","","","",""
"811","","","","","","","","","","","","","0","0","0"
"812","","","","","","","","","","0","0","0","","",""
"814","","","","0","0","0","","","","","","","","",""
"821","","","","","","","","","","","","","0","0","0"
"823","0","0","0","","","","","","","","","","","",""
"828","","","","","","","0","0","0","","","","","",""
"831","","","","","","","0","0","0","","","","","",""
"832","","","","","","","","","","","","","0","0","0"
"834","","","","","","","","","","0","0","0","","",""
"839","","","","","","","0","0","0","","","","","",""
"842","","","","0","0","0","","","","","","","","",""
"844","","","","","","","0","0","0","0","0","0","","",""
"848","","","","","","","","","","","","","0","0","0"
"850","","","","","","","","","","0","0","0","","",""
"855","0","0","0","0","0","0","0","0","0","","","","","",""
"863","","","","0","0","0","","","","","","","","",""
"864","","","","0","0","0","","","","","","","","",""
"865","","","","0","0","0","","","","","","","","",""
"867","","","","0","0","0","","","","","","","","",""
"869","","","","0","0","0","","","","","","","","",""
"874","","","","","","","","","","","","","0","0","0"
"877","0","0","0","","","","","","","","","","","",""
"878","0","0","0","","","","","","","0","0","0","","",""
"881","","","","","","","","","","","","","0","0","0"
"890","","","","","","","","","","0","0","0","","",""
"891","0","0","0","","","","","","","","","","","",""
"892","0","0","0","0","0","0","","","","","","","","",""
"893","","","","","","","","","","0","0","0","","",""
"894","","","","0","0","0","","","","","","","","",""
"898","0","0","0","","","","","","","","","","","",""
"901","","","","0","0","0","","","","","","","","",""
"902","0","0","0","","","","","","","","","","0","0","0"
"904","","","","0","0","0","","","","","","","","",""
"906","","","","","","","2","2","2","","","","0","0","0"
"918","","","","","","","","","","","","","0","0","0"
"920","0","0","0","","","","0","0","0","","","","","",""
"924","0","0","0","","","","","","","0","0","0","","",""
"930","","","","","","","","","","0","0","0","","",""
"932","","","","","","","","","","","","","0","0","0"
"939","","","","","","","","","","0","0","0","","",""
"941","","","","","","","","","","","","","0","0","0"
"942","0","0","0","","","","","","","","","","","",""
"944","","","","0","0","0","","","","","","","","",""
"945","","","","","","","","","","0","0","0","","",""
"949","","","","","","","","","","0","0","0","","",""
"950","","","","0","0","0","","","","","","","","",""
"951","","","","0","0","0","","","","0","0","0","","",""
"955","0","0","0","","","","","","","","","","","",""
"959","","","","","","","","","","0","0","0","","",""
"961","","","","","","","4","4","4","","","","","",""
"962","","","","0","0","0","","","","","","","","",""
"964","","","","","","","3","3","3","","","","","",""
"967","","","","","","","","","","0","0","0","","",""
"968","0","0","0","","","","","","","","","","","",""
"969","","","","0","0","0","","","","","","","","",""
"975","","","","","","","0","0","0","0","0","0","","",""
"979","","","","","","","0","0","0","","","","","",""
"981","","","","0","0","0","","","","","","","","",""
"983","","","","","","","","","","0","0","0","","",""
"989","","","","","","","","","","","","","0","0","0"
"999","","","","","","","","","","","","","0","0","0"
"1001","","","","","","","","","","0","0","0","","",""
"1006","","","","","","","","","","","","","0","0","0"
"1010","","","","0","0","0","","","","","","","","",""
"1011","","","","","","","","","","0","0","0","","",""
"1012","","","","","","","","","","","","","0","0","0"
"1017","","","","","","","","","","","","","0","0","0"
"1018","","","","","","","","","","0","0","0","","",""
"1028","","","","","","","0","0","0","","","","","",""
"1029","","","","","","","0","0","0","","","","","",""
"1031","","","","","","","0","0","0","","","","","",""
"1035","1","1","1","","","","","","","0","0","0","","",""
"1036","","","","","","","0","0","0","","","","","",""
"1038","","","","","","","","","","0","0","0","","",""
"1049","","","","","","","5","5","5","","","","","",""
"1053","4","4","4","0","0","0","","","","","","","","",""
"1059","","","","","","","","","","","","","0","0","0"
"1070","","","","","","","","","","","","","0","0","0"
"1073","0","0","0","","","","","","","0","0","0","","",""
"1078","0","0","0","","","","","","","","","","","",""
"1081","","","","","","","","","","0","0","0","","",""
"1088","","","","","","","","","","0","0","0","","",""
"1106","","","","","","","0","0","0","","","","","",""
"1113","","","","","","","","","","","","","0","0","0"
"1117","","","","","","","0","0","0","0","0","0","","",""
"1124","","","","0","0","0","","","","","","","","",""
"1133","","","","","","","","","","","","","0","0","0"
"1134","","","","","","","7","7","7","","","","","",""
"1141","","","","","","","0","0","0","","","","","",""
"1142","","","","","","","0","0","0","","","","0","0","0"
"1145","","","","","","","","","","0","0","0","","",""
"1146","","","","","","","","","","0","0","0","","",""
"1147","","","","0","0","0","","","","","","","","",""
"1148","","","","","","","","","","0","0","0","0","0","0"
"1149","","","","0","0","0","","","","","","","","",""
"1157","","","","","","","","","","","","","0","0","0"
"1163","","","","0","0","0","","","","","","","","",""
"1166","","","","","","","","","","0","0","0","","",""
"1168","","","","","","","","","","0","0","0","0","0","0"
"1172","","","","","","","","","","","","","0","0","0"
"1178","","","","","","","","","","0","0","0","","",""
"1179","","","","","","","0","0","0","","","","","",""
"1181","0","0","0","","","","","","","","","","","",""
"1184","0","0","0","","","","","","","","","","","",""
"1199","","","","0","0","0","","","","","","","","",""
"1203","","","","0","0","0","","","","","","","","",""
"1204","","","","0","0","0","","","","","","","","",""
"1205","0","0","0","0","0","0","","","","","","","","",""
"1206","","","","0","0","0","","","","","","","","",""
"1207","","","","","","","","","","","","","0","0","0"
"1220","","","","","","","","","","","","","0","0","0"
"1221","","","","","","","","","","0","0","0","0","0","0"
"1223","","","","","","","","","","0","0","0","","",""
"1225","","","","","","","6","6","6","","","","","",""
"1226","","","","","","","5","5","5","","","","","",""
