a b greedy - reward1 -- v nonGreedy - reward2
[+] Greedy: 0 - (0.0) -- Non-Greedy: 0 - (0.0)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-36.04044117647058)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-124.6213235294119)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-94.00000000000006)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-142.61397058823547)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-200.11764705882385)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-45.3529411764706)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-185.2941176470591)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-118.88235294117662)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-135.94117647058852)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-76.93382352941175)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-223.50367647058832)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-170.93750000000003)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-107.51102941176471)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-158.38602941176472)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-130.26838235294127)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-114.79779411764707)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-128.4411764705883)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-80.25367647058825)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-154.0294117647059)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-266.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-286.9375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-364.625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-322.25)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-321.3125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-305.0625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-353.3125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-290.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-138.57720588235293)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-138.29411764705912)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-82.9742647058824)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-95.98161764705894)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-123.76838235294136)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-114.55147058823535)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-98.79411764705887)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-157.1875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-53.17647058823536)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-50.35294117647059)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-124.47058823529412)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-151.39338235294144)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-45.268382352941174)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-211.0698529411765)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-186.24632352941222)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-48.34191176470593)
